date,1. open,2. high,3. low,4. close,5. volume
2021-01-12,33.15,33.34,32.31,32.66,2901766.0
2021-01-11,33.97,34.17,32.98,33.11,4498913.0
2021-01-08,33.6,34.08,33.34,33.75,3815710.0
2021-01-07,33.41,33.58,32.42,33.2,2778314.0
2021-01-06,33.63,34.2,33.28,33.59,4787526.0
2021-01-05,33.45,34.84,33.35,34.25,3612992.0
2021-01-04,33.84,34.38,32.95,33.5,5922254.0
2020-12-31,33.45,33.77,32.88,33.73,2394511.0
2020-12-30,32.06,33.52,32.05,33.25,2189083.0
2020-12-29,32.0,32.16,31.74,32.03,2510830.0
2020-12-28,32.34,32.36,31.19,31.9,3451808.0
2020-12-24,32.215,32.3,31.58,31.99,4290636.0
2020-12-23,32.96,33.06,32.39,32.63,2741992.0
2020-12-22,33.73,33.75,32.85,32.95,1672164.0
2020-12-21,33.34,33.74,33.07,33.6,3379915.0
2020-12-18,35.04,35.07,34.135,34.61,3597131.0
2020-12-17,35.04,35.19,34.365,34.91,2219476.0
2020-12-16,34.49,35.27,34.435,35.14,3545355.0
2020-12-15,34.13,34.38,33.68,34.16,2117697.0
2020-12-14,33.2,34.09,33.01,33.86,3244854.0
2020-12-11,34.28,34.28,32.83,32.96,3005155.0
2020-12-10,33.7,34.45,33.42,34.21,1861233.0
2020-12-09,34.46,34.9,33.81,33.96,2186545.0
2020-12-08,34.33,34.49,33.74,34.45,2699930.0
2020-12-07,35.15,35.52,34.25,34.49,2285211.0
2020-12-04,35.14,35.4,33.79,35.06,3398542.0
2020-12-03,33.78,35.575,33.47,35.22,5595759.0
2020-12-02,34.12,34.2,32.5,33.15,6422003.0
2020-12-01,33.83,34.75,33.4,34.41,3946781.0
2020-11-30,33.68,34.49,33.53,33.59,6420755.0
2020-11-27,33.49,34.23,33.34,34.21,2181547.0
2020-11-25,33.9,34.14,32.96,33.33,3131910.0
2020-11-24,34.4,34.48,33.44,33.84,2824459.0
2020-11-23,34.08,34.1,33.28,33.66,4321511.0
2020-11-20,34.16,34.16,33.42,33.72,3049497.0
2020-11-19,33.59,34.1,33.34,33.68,4216371.0
2020-11-18,35.0,35.0,33.6,33.69,4959709.0
2020-11-17,34.91,35.18,34.41,35.01,3405941.0
2020-11-16,35.33,35.42,33.91,34.54,3499918.0
2020-11-13,34.06,34.7,33.29,34.65,5516009.0
2020-11-12,35.66,35.66,33.87,33.92,4524730.0
2020-11-11,35.43,36.09,33.04,35.5,7181454.0
2020-11-10,35.48,36.56,35.13,36.13,7019874.0
2020-11-09,35.8,37.45,35.66,36.57,12573151.0
2020-11-06,31.43,32.24,31.42,32.12,2391279.0
2020-11-05,30.81,32.6,30.8,32.27,4533313.0
2020-11-04,29.7,30.755,29.46,30.54,3034034.0
2020-11-03,29.11,29.32,28.91,29.15,2493151.0
2020-11-02,29.37,29.44,28.69,29.32,3442147.0
2020-10-30,29.09,29.36,28.505,28.76,3722278.0
2020-10-29,29.68,30.23,29.26,29.47,3098764.0
2020-10-28,29.21,29.78,28.83,29.33,3969467.0
2020-10-27,30.42,30.53,29.465,29.49,4306762.0
2020-10-26,31.04,31.09,30.07,30.36,3894420.0
2020-10-23,30.99,31.46,30.52,31.22,3273656.0
2020-10-22,30.02,30.79,29.84,30.74,3493695.0
2020-10-21,30.12,30.16,29.27,30.04,3458322.0
2020-10-20,30.22,30.665,29.93,30.08,2589156.0
2020-10-19,30.24,30.35,29.77,30.19,2568835.0
2020-10-16,29.99,30.12,29.67,29.91,2978650.0
2020-10-15,29.5,29.8,29.335,29.75,2516202.0
2020-10-14,30.6458,30.653000000000002,29.54,29.84,3436029.0
2020-10-13,32.48,32.49,30.205,30.25,6221037.0
2020-10-12,32.34,32.6748,32.0204,32.46,3581564.0
2020-10-09,32.91,32.94,32.15,32.17,2770975.0
2020-10-08,32.97,33.1,32.57,32.74,2550971.0
2020-10-07,32.2,33.23,32.14,32.47,2921354.0
2020-10-06,31.39,32.515,31.29,32.03,4998122.0
2020-10-05,31.27,31.6,30.94,31.24,3119268.0
2020-10-02,30.49,31.25,30.39,31.03,2286775.0
2020-10-01,31.33,31.47,31.115,31.29,2196282.0
2020-09-30,31.4,31.735,30.895,31.14,3849930.0
2020-09-29,31.4,31.83,30.9,31.27,4873037.0
2020-09-28,30.5,32.11,30.495,32.0,7540382.0
2020-09-25,29.05,30.59,29.0,30.15,8366259.0
2020-09-24,27.55,28.145,27.3201,27.75,5617765.0
2020-09-23,28.17,28.71,27.65,27.66,4096669.0
2020-09-22,28.01,28.2,27.565,27.96,3426583.0
2020-09-21,28.98,29.035,27.99,28.23,3442286.0
2020-09-18,29.96,29.96,29.0,29.43,4315157.0
2020-09-17,28.8,29.68,28.62,29.68,3591210.0
2020-09-16,29.24,29.445,28.9001,29.36,3184393.0
2020-09-15,29.51,29.68,28.88,29.03,2338644.0
2020-09-14,29.39,29.82,29.02,29.41,4089510.0
2020-09-11,28.98,29.055,28.48,28.76,3659517.0
2020-09-10,29.73,29.865,28.57,28.89,4562398.0
2020-09-09,30.17,30.25,29.53,29.64,3743269.0
2020-09-08,29.87,30.66,29.52,30.19,4218806.0
2020-09-04,29.89,30.77,29.89,30.66,4638757.0
2020-09-03,30.19,30.77,29.4,30.11,4593423.0
2020-09-02,30.66,31.015,30.16,30.6,4648718.0
2020-09-01,30.76,30.76,29.71,30.65,4326269.0
2020-08-31,29.66,30.94,29.65,30.24,5929364.0
2020-08-28,29.1,30.95,29.0,30.63,6636458.0
2020-08-27,28.96,29.135,28.4188,29.03,4215235.0
2020-08-26,28.7,28.76,28.255,28.6,7781446.0
2020-08-25,28.49,28.83,28.41,28.75,5443098.0
2020-08-24,28.51,28.955,28.39,28.58,4267873.0
2020-08-21,27.79,28.22,27.79,28.12,2999044.0
2020-08-20,27.79,28.165,27.72,28.0,2247632.0
2020-08-19,28.0,28.25,27.585,27.81,2670067.0
2020-08-18,28.24,28.52,28.0,28.07,2803457.0
2020-08-17,28.81,28.81,28.27,28.29,2552012.0
2020-08-14,28.8,28.81,28.35,28.54,3297232.0
2020-08-13,29.49,29.625,28.51,28.7,3307468.0
2020-08-12,28.89,29.39,28.88,29.36,5219013.0
