date,1. open,2. high,3. low,4. close,5. volume
2021-01-29,57.25,57.62,56.37,56.59,2678214.0
2021-01-28,57.05,58.04,56.64,57.65,1675338.0
2021-01-27,57.3,57.33,56.8,56.99,1839224.0
2021-01-26,58.03,58.23,57.6765,58.11,985649.0
2021-01-25,57.41,57.8,57.2,57.66,1078621.0
2021-01-22,58.31,58.51,57.79,57.8,1068484.0
2021-01-21,59.25,59.36,58.77,58.96,1039149.0
2021-01-20,59.19,59.33,58.87,59.19,1025440.0
2021-01-19,59.47,59.69,58.79,58.87,1479401.0
2021-01-15,59.2,59.37,58.825,59.26,1985955.0
2021-01-14,58.71,59.97,58.64,59.81,1389256.0
2021-01-13,58.8,58.95,58.6,58.73,1807279.0
2021-01-12,58.3,59.07,58.23,58.87,1202956.0
2021-01-11,57.52,58.39,57.39,58.16,1052824.0
2021-01-08,58.54,58.88,57.985,58.32,1234395.0
2021-01-07,58.29,58.58,57.97,58.47,4588560.0
2021-01-06,57.36,59.02,57.13,58.75,2981605.0
2021-01-05,56.35,57.235,56.26,57.03,3754178.0
2021-01-04,56.77,56.855,56.02,56.26,1876994.0
2020-12-31,56.47,56.9,56.3,56.42,1305944.0
2020-12-30,56.55,56.88,56.42,56.43,852728.0
2020-12-29,56.23,56.6,56.16,56.29,996740.0
2020-12-28,56.32,56.87,55.95,56.04,534288.0
2020-12-24,56.04,56.125,55.68,56.08,481692.0
2020-12-23,55.27,55.84,55.27,55.72,1025540.0
2020-12-22,55.51,55.77,54.74,55.0,959209.0
2020-12-21,55.25,55.81,55.02,55.63,1344016.0
2020-12-18,56.54,56.59,55.84,56.13,1187885.0
2020-12-17,56.71,56.8,56.34,56.55,714993.0
2020-12-16,56.66,56.7,56.15,56.53,848828.0
2020-12-15,56.42,56.82,56.32,56.65,611963.0
2020-12-14,56.8,56.92,56.06,56.17,2127084.0
2020-12-11,56.3,56.52,56.09,56.34,745329.0
2020-12-10,56.29,56.98,56.1954,56.83,1184190.0
2020-12-09,56.1,56.7,56.04,56.5,1299245.0
2020-12-08,55.39,55.84,55.39,55.81,1201390.0
2020-12-07,55.29,55.6081,54.88,55.49,850292.0
2020-12-04,55.28,55.48,54.92,55.47,1492384.0
2020-12-03,55.25,55.58,54.75,54.94,1689939.0
2020-12-02,54.66,55.155,54.39,54.77,1456950.0
2020-12-01,54.45,54.91,54.41,54.67,1323198.0
2020-11-30,54.42,54.69,53.35,53.73,2060719.0
2020-11-27,54.39,55.06,54.39,54.61,579701.0
2020-11-25,54.27,54.79,53.69,54.69,1413505.0
2020-11-24,53.99,54.975,53.68,54.8,2042674.0
2020-11-23,52.94,53.37,52.82,53.35,1465843.0
