date,MACD,MACD_Hist,MACD_Signal
2021-01-22,1.2116,-0.1322,1.3438
2021-01-21,1.3618,-0.015,1.3768
2021-01-20,1.4156,0.035,1.3806
2021-01-19,1.4403,0.0684,1.3718
2021-01-15,1.4834,0.1287,1.3547
2021-01-14,1.4771,0.1546,1.3225
2021-01-13,1.3916,0.1077,1.2839
2021-01-12,1.3723,0.1153,1.2570000000000001
2021-01-11,1.3133,0.0852,1.2281
2021-01-08,1.2913,0.0844,1.2069
2021-01-07,1.228,0.0423,1.1858
2021-01-06,1.1142,-0.061,1.1752
2021-01-05,0.9873,-0.2031,1.1904
2021-01-04,0.9842,-0.257,1.2412
2020-12-31,1.0435,-0.2619,1.3054
2020-12-30,1.0879,-0.28300000000000003,1.3709
2020-12-29,1.1278,-0.3138,1.4417
2020-12-28,1.1764,-0.3437,1.5201
2020-12-24,1.2465,-0.3596,1.6061
2020-12-23,1.3137,-0.3822,1.696
2020-12-22,1.4168,-0.3747,1.7915
2020-12-21,1.6002,-0.285,1.8852
2020-12-18,1.7476,-0.2089,1.9564
2020-12-17,1.8599,-0.1488,2.0087
2020-12-16,1.9339,-0.11199999999999999,2.0459
2020-12-15,2.0022,-0.0716,2.0738
2020-12-14,2.0482,-0.0435,2.0917
2020-12-11,2.1255,0.0229,2.1026
2020-12-10,2.1761,0.0792,2.0969
2020-12-09,2.1597,0.0826,2.0771
2020-12-08,2.1405,0.0841,2.0565
2020-12-07,2.1545,0.1191,2.0354
2020-12-04,2.1732,0.1675,2.0057
2020-12-03,2.1675,0.2037,1.9638
2020-12-02,2.182,0.2692,1.9129
2020-12-01,2.186,0.3404,1.8456
2020-11-30,2.1693,0.4089,1.7605
2020-11-27,2.2112,0.5529999999999999,1.6583
2020-11-25,2.1439,0.6239,1.52
2020-11-24,2.0187,0.6546,1.3641
2020-11-23,1.8184,0.618,1.2004
2020-11-20,1.6824,0.6365,1.0459
2020-11-19,1.558,0.6712,0.8868
2020-11-18,1.3895,0.6705,0.7190000000000001
2020-11-17,1.1825,0.6312,0.5513
2020-11-16,0.9908,0.5972,0.3936
2020-11-13,0.8102,0.5660000000000001,0.2442
2020-11-12,0.6838,0.5811,0.1028
2020-11-11,0.5428,0.5853,-0.0425
2020-11-10,0.2884,0.4772,-0.1888
2020-11-09,-0.0012,0.3069,-0.3082
2020-11-06,-0.2651,0.1198,-0.3849
2020-11-05,-0.327,0.0878,-0.4148
2020-11-04,-0.3942,0.0425,-0.4368
2020-11-03,-0.4703,-0.0229,-0.4474
2020-11-02,-0.5676,-0.1259,-0.4417
2020-10-30,-0.5837,-0.1735,-0.4102
2020-10-29,-0.5596,-0.1927,-0.3668
2020-10-28,-0.5096,-0.1909,-0.3187
2020-10-27,-0.3688,-0.0978,-0.2709
2020-10-26,-0.3006,-0.0541,-0.2465
2020-10-23,-0.2787,-0.0458,-0.233
2020-10-22,-0.3253,-0.1038,-0.2215
2020-10-21,-0.3408,-0.1452,-0.1956
2020-10-20,-0.29,-0.1308,-0.1593
2020-10-19,-0.2311,-0.1046,-0.1266
2020-10-16,-0.1516,-0.0512,-0.1004
2020-10-15,-0.1164,-0.0288,-0.0876
2020-10-14,-0.0758,0.0046,-0.0805
2020-10-13,-0.0018,0.0798,-0.0816
2020-10-12,0.0565,0.1581,-0.1016
2020-10-09,0.0364,0.1775,-0.1411
2020-10-08,0.0152,0.2007,-0.1854
2020-10-07,-0.0735,0.1621,-0.2356
2020-10-06,-0.1512,0.1249,-0.2761
2020-10-05,-0.2313,0.076,-0.3074
2020-10-02,-0.36,-0.0337,-0.3264
2020-10-01,-0.4266,-0.1086,-0.318
2020-09-30,-0.4654,-0.1746,-0.2908
2020-09-29,-0.4785,-0.2313,-0.2472
2020-09-28,-0.4603,-0.271,-0.1893
2020-09-25,-0.4970000000000001,-0.3754,-0.1216
2020-09-24,-0.4551,-0.4274,-0.0277
2020-09-23,-0.3741,-0.4532,0.0791
2020-09-22,-0.2334,-0.4259,0.1924
2020-09-21,-0.1042,-0.4031,0.2989
2020-09-18,0.0762,-0.3235,0.3997
2020-09-17,0.1799,-0.3006,0.4806
2020-09-16,0.253,-0.3027,0.5557
2020-09-15,0.3446,-0.2868,0.6314
2020-09-14,0.4108,-0.2923,0.7031
2020-09-11,0.4763,-0.2998,0.7762
2020-09-10,0.562,-0.2892,0.8511
2020-09-09,0.6890000000000001,-0.2344,0.9234
2020-09-08,0.7754,-0.2066,0.982
2020-09-04,0.9491,-0.0845,1.0337
2020-09-03,1.0644,0.0096,1.0548
2020-09-02,1.1663,0.1139,1.0524
2020-09-01,1.1898,0.1659,1.0239
2020-08-31,1.2145,0.2321,0.9824
2020-08-28,1.2074,0.28300000000000003,0.9244
2020-08-27,1.147,0.2933,0.8536
2020-08-26,1.0173,0.237,0.7803
2020-08-25,0.847,0.1259,0.721
2020-08-24,0.7655,0.076,0.6896
2020-08-21,0.7071,0.0366,0.6706
2020-08-20,0.7457,0.0842,0.6614
2020-08-19,0.78,0.1397,0.6404
2020-08-18,0.8096,0.2041,0.6054
2020-08-17,0.8226,0.2682,0.5544
2020-08-14,0.7944,0.307,0.4874
2020-08-13,0.7259,0.3153,0.4106
2020-08-12,0.618,0.2863,0.3318
2020-08-11,0.4465,0.1863,0.2602
2020-08-10,0.2986,0.085,0.2136
2020-08-07,0.209,0.0166,0.1924
2020-08-06,0.1573,-0.0309,0.1882
2020-08-05,0.1188,-0.0771,0.196
2020-08-04,0.0869,-0.1283,0.2152
2020-08-03,0.1027,-0.1447,0.2473
2020-07-31,0.1411,-0.1424,0.2835
2020-07-30,0.21,-0.109,0.3191
2020-07-29,0.2711,-0.0753,0.3463
2020-07-28,0.3053,-0.0599,0.3652
2020-07-27,0.3812,0.0011,0.3801
