date,MFI
2021-01-19,70.9866
2021-01-15,75.7916
2021-01-14,82.7066
2021-01-13,82.3723
2021-01-12,77.6177
2021-01-11,72.0133
2021-01-08,71.7384
2021-01-07,71.0287
2021-01-06,60.5019
2021-01-05,54.5824
2021-01-04,49.5006
2020-12-31,53.5974
2020-12-30,62.8445
2020-12-29,64.023
2020-12-28,64.5051
2020-12-24,65.2419
2020-12-23,67.4539
2020-12-22,68.7451
2020-12-21,75.2967
2020-12-18,83.22399999999999
2020-12-17,79.4481
2020-12-16,79.2628
2020-12-15,76.9638
2020-12-14,78.6066
2020-12-11,77.7372
2020-12-10,82.2504
2020-12-09,82.4226
2020-12-08,82.8521
2020-12-07,82.9743
2020-12-04,83.3101
2020-12-03,83.89399999999999
2020-12-02,78.0093
2020-12-01,77.7318
2020-11-30,78.2893
2020-11-27,88.2797
2020-11-25,83.9728
2020-11-24,90.3586
2020-11-23,83.6267
2020-11-20,83.6219
2020-11-19,83.4269
2020-11-18,83.2617
2020-11-17,82.7411
2020-11-16,76.0628
2020-11-13,70.3935
2020-11-12,63.2811
2020-11-11,68.7884
2020-11-10,68.122
2020-11-09,61.5746
2020-11-06,50.6565
2020-11-05,50.3068
2020-11-04,49.2044
2020-11-03,50.3911
2020-11-02,40.2891
2020-10-30,32.2674
2020-10-29,25.2044
2020-10-28,16.8257
2020-10-27,36.3134
2020-10-26,52.4031
2020-10-23,61.3395
2020-10-22,61.6105
2020-10-21,61.9872
2020-10-20,65.0678
2020-10-19,69.2477
2020-10-16,69.4805
2020-10-15,69.4212
2020-10-14,73.0419
2020-10-13,74.3979
2020-10-12,75.6433
2020-10-09,79.3856
2020-10-08,79.4833
2020-10-07,71.913
2020-10-06,59.6349
2020-10-05,45.6613
2020-10-02,39.3128
2020-10-01,38.9327
2020-09-30,33.0016
2020-09-29,25.8609
2020-09-28,35.076
2020-09-25,28.1037
2020-09-24,22.3211
2020-09-23,21.7036
2020-09-22,28.6219
2020-09-21,21.7623
2020-09-18,22.1592
2020-09-17,22.0398
2020-09-16,31.209
2020-09-15,41.8354
2020-09-14,47.3085
2020-09-11,47.6375
2020-09-10,47.2434
2020-09-09,47.1829
2020-09-08,40.772
2020-09-04,40.785
2020-09-03,42.5872
2020-09-02,44.8258
2020-09-01,38.4987
2020-08-31,45.4903
2020-08-28,53.953
2020-08-27,59.9947
2020-08-26,57.1947
2020-08-25,51.386
2020-08-24,49.3298
2020-08-21,48.4111
2020-08-20,55.0834
2020-08-19,64.4648
2020-08-18,62.8683
2020-08-17,73.13
2020-08-14,70.9212
2020-08-13,67.7976
2020-08-12,66.5878
2020-08-11,59.6162
2020-08-10,51.9573
2020-08-07,52.1601
2020-08-06,46.2871
2020-08-05,40.8994
2020-08-04,35.0062
2020-08-03,37.4314
2020-07-31,40.6836
2020-07-30,42.4585
2020-07-29,50.0046
2020-07-28,41.4144
2020-07-27,37.4854
2020-07-24,37.4792
2020-07-23,44.9799
2020-07-22,50.4246
2020-07-21,54.4942
2020-07-20,55.0125
2020-07-17,62.3872
2020-07-16,60.485
2020-07-15,60.3642
2020-07-14,53.261
2020-07-13,54.1875
2020-07-10,48.2271
2020-07-09,41.943000000000005
2020-07-08,43.3869
2020-07-07,47.044
2020-07-06,55.6642
2020-07-02,47.4898
2020-07-01,50.07
2020-06-30,43.0819
2020-06-29,35.9525
2020-06-26,23.6295
2020-06-25,30.3023
2020-06-24,36.3405
2020-06-23,36.1594
2020-06-22,36.0062
2020-06-19,40.5499
2020-06-18,47.2527
2020-06-17,45.4128
2020-06-16,44.2405
2020-06-15,49.1365
2020-06-12,55.5276
2020-06-11,49.7575
2020-06-10,50.4403
2020-06-09,56.3565
2020-06-08,61.2672
2020-06-05,60.5983
2020-06-04,59.9155
2020-06-03,58.0983
2020-06-02,45.9235
2020-06-01,41.1336
2020-05-29,42.2054
2020-05-28,47.2153
2020-05-27,52.8506
2020-05-26,42.6357
2020-05-22,39.7946
2020-05-21,39.7973
2020-05-20,40.3471
2020-05-19,34.2286
2020-05-18,41.262
2020-05-15,42.6871
2020-05-14,44.3931
2020-05-13,45.902
2020-05-12,60.0277
2020-05-11,66.8514
2020-05-08,57.7672
2020-05-07,50.8797
2020-05-06,51.6095
2020-05-05,50.2765
2020-05-04,44.5771
2020-05-01,44.4604
2020-04-30,42.4181
2020-04-29,51.2201
2020-04-28,43.9065
2020-04-27,45.5349
2020-04-24,48.1479
2020-04-23,48.1234
2020-04-22,41.6654
2020-04-21,35.0857
2020-04-20,42.9035
2020-04-17,41.6267
2020-04-16,35.3103
2020-04-15,44.0359
2020-04-14,52.4264
2020-04-13,58.1136
2020-04-09,57.8925
2020-04-08,57.3476
2020-04-07,57.8883
2020-04-06,51.7022
2020-04-03,49.6119
2020-04-02,49.2618
2020-04-01,56.3333
2020-03-31,56.2111
2020-03-30,47.2756
2020-03-27,56.703
2020-03-26,54.8648
