date,1. open,2. high,3. low,4. close,5. volume
2021-02-12,191.05,191.87,190.2,191.43,1821753.0
2021-02-11,192.04,193.17,190.34,190.41,1862266.0
2021-02-10,193.89,194.45,190.12,192.44,2711978.0
2021-02-09,194.13,196.25,193.89,194.29,2862595.0
2021-02-08,192.34,194.48,190.49,193.95,3036057.0
2021-02-05,189.49,190.33,187.89,188.86,2190773.0
2021-02-04,185.87,188.74,184.5539,188.59,2304313.0
2021-02-03,185.19,186.93,183.695,185.11,2135438.0
2021-02-02,185.5,189.04,185.18,185.59,2913569.0
2021-02-01,182.18,185.0,179.6801,183.57,2492229.0
2021-01-29,182.12,183.5,180.26,181.17,3612280.0
2021-01-28,177.93,185.42,177.76,183.58,3965207.0
2021-01-27,187.61,187.7,176.82,178.28,6985860.0
2021-01-26,190.11,190.56,186.67,187.7,3463602.0
2021-01-25,191.56,193.11,189.23,190.15,3423911.0
2021-01-22,190.9,192.38,189.4757,191.91,3257239.0
2021-01-21,190.1,194.09,189.0,191.27,4586624.0
2021-01-20,188.5,188.7,184.54,188.3,3443232.0
2021-01-19,194.42,194.75,187.1977,188.16,5347792.0
2021-01-15,197.65,198.85,194.01,194.8,4289911.0
2021-01-14,196.99,199.4,196.9,198.01,3321165.0
2021-01-13,198.52,199.96,195.28,196.82,4098158.0
2021-01-12,196.17,199.285,195.65,199.1,3844962.0
2021-01-11,193.04,199.5,192.1896,195.28,7221960.0
2021-01-08,191.58,193.88,190.8104,193.6,3321516.0
2021-01-07,189.21,192.346,189.17,191.1,4226679.0
2021-01-06,180.33,189.47,180.11,188.92,5610103.0
2021-01-05,176.8,181.97,176.425,180.37,4843288.0
2021-01-04,176.51,178.09,174.12,177.63,3463062.0
2020-12-31,174.41,176.6663,174.1,176.53,2571328.0
2020-12-30,175.7,176.06,172.8201,173.88,1935233.0
2020-12-29,177.11,177.7699,174.46,175.04,2359709.0
2020-12-28,177.11,177.46,174.89,176.39,2430220.0
2020-12-24,175.98,176.51,174.67,175.19,1941216.0
2020-12-23,172.01,176.33,171.885,174.91,4752973.0
2020-12-22,172.4,173.11,171.455,172.35,3104018.0
2020-12-21,169.63,173.06,168.94,171.76,4077382.0
2020-12-18,171.18,172.18,168.97,170.42,6715840.0
2020-12-17,172.0,172.28,170.29,171.24,3495251.0
2020-12-16,172.01,172.9867,170.71,171.69,2193655.0
2020-12-15,170.65,172.78,170.65,171.41,3490127.0
2020-12-14,172.96,172.96,170.17,170.99,4016391.0
2020-12-11,171.5,172.75,171.07,171.71,2676541.0
2020-12-10,173.59,174.24,172.07,172.4,2643724.0
2020-12-09,173.35,174.92,172.41,174.07,2853776.0
2020-12-08,172.5,173.78,171.74,172.72,2682233.0
2020-12-07,174.27,174.95,171.41,172.91,3430836.0
2020-12-04,174.38,175.16,173.23,175.03,2935688.0
2020-12-03,176.47,176.47,173.78,174.92,4214583.0
2020-12-02,178.02,178.21,175.47,176.41,3109258.0
2020-12-01,179.81,181.17,177.1,179.05,4909317.0
2020-11-30,178.25,180.07,176.24,179.53,8010031.0
2020-11-27,180.81,181.11,178.95,179.77,2371901.0
2020-11-25,177.73,180.48,177.35,179.82,3780713.0
2020-11-24,179.76,179.8399,177.1,177.86,4610697.0
2020-11-23,174.25,179.0156,173.59,177.56,5760551.0
2020-11-20,172.22,174.41,171.45,172.31,6657666.0
2020-11-19,168.71,173.44,167.9,171.37,6834937.0
