date,MACD_Signal,MACD_Hist,MACD
2021-02-12,1.2074,0.1316,1.339
2021-02-11,1.1416,0.3152,1.4568
2021-02-10,0.984,0.8059999999999999,1.79
2021-02-09,0.581,1.1602,1.7412
2021-02-08,0.0009,1.1129,1.1138
2021-02-05,-0.5555,0.6497,0.0941
2021-02-04,-0.8804,0.4904,-0.3899
2021-02-03,-1.1256,0.034,-1.0916
2021-02-02,-1.1426,-0.2103,-1.3529
2021-02-01,-1.0374,-0.7641,-1.8015
2021-01-29,3.6691,-1.9917,1.6774
2021-01-28,4.167,-1.8216,2.3454
2021-01-27,4.6224,-1.704,2.9185
2021-01-26,5.0484,-0.9013,4.1471
2021-01-25,5.2738,-0.5778,4.6959
2021-01-22,5.4182,-0.3396,5.0786
2021-01-21,5.5031,-0.1892,5.3139
2021-01-20,5.5504,0.0518,5.6022
2021-01-19,5.5375,0.6536,6.1911
2021-01-15,5.3741,1.4928,6.8668
2021-01-14,5.0009,1.9525,6.9534
2021-01-13,4.5127,2.1232,6.636
2021-01-12,3.9819,2.2735,6.2554
2021-01-11,3.4136,2.033,5.4466
2021-01-08,2.9053,1.8186,4.7239
2021-01-07,2.4507,1.4533,3.9039
2021-01-06,2.0873,0.9677,3.055
2021-01-05,1.8454,0.3036,2.149
2021-01-04,1.7695,0.0625,1.832
2020-12-31,1.7539,-0.0743,1.6796
2020-12-30,1.7725,-0.1997,1.5727
2020-12-29,1.8224,-0.1391,1.6833
2020-12-28,1.8572,-0.1754,1.6817
2020-12-24,1.901,-0.3832,1.5179
2020-12-23,1.9968,-0.588,1.4088
2020-12-22,2.1438,-0.8662,1.2776
2020-12-21,2.3604,-1.0081,1.3522
2020-12-18,2.6124,-1.1245,1.4879
2020-12-17,2.8936,-1.1177,1.7759
2020-12-16,3.173,-1.1389,2.0341
2020-12-15,3.4577,-1.1695,2.2882
2020-12-14,3.7501,-1.1422,2.6079
2020-12-11,4.0356,-1.015,3.0207
2020-12-10,4.2894,-0.8591,3.4303
2020-12-09,4.5042,-0.6712,3.833
2020-12-08,4.672,-0.5508,4.1212
2020-12-07,4.8097,-0.2431,4.5665
2020-12-04,4.8704,0.1787,5.0492
2020-12-03,4.8258,0.5502,5.3759
2020-12-02,4.6882,1.0378,5.726
2020-12-01,4.4288,1.509,5.9378
2020-11-30,4.0515,1.8014,5.8529
2020-11-27,3.6012,2.0095,5.6107
2020-11-25,3.0988,2.0966,5.1954
2020-11-24,2.5747,2.01,4.5846
2020-11-23,2.0722,1.8659,3.938
2020-11-20,1.6057,1.4803,3.0860000000000003
2020-11-19,1.2356,1.2524,2.4881
