date,MFI
2021-01-22,66.1431
2021-01-21,71.0776
2021-01-20,66.5532
2021-01-19,68.0418
2021-01-15,76.1952
2021-01-14,83.7199
2021-01-13,84.0049
2021-01-12,92.0711
2021-01-11,92.01799999999999
2021-01-08,79.2723
2021-01-07,72.6073
2021-01-06,71.2508
2021-01-05,69.6958
2021-01-04,60.4671
2020-12-31,53.8882
2020-12-30,48.1378
2020-12-29,53.339
2020-12-28,53.0195
2020-12-24,46.7872
2020-12-23,41.8076
2020-12-22,32.3503
2020-12-21,25.9086
2020-12-18,27.4761
2020-12-17,26.589000000000002
2020-12-16,32.0384
2020-12-15,34.3164
2020-12-14,35.9094
2020-12-11,45.3552
2020-12-10,53.5498
2020-12-09,60.7569
2020-12-08,66.045
2020-12-07,63.2307
2020-12-04,68.2932
2020-12-03,71.9748
2020-12-02,73.6675
2020-12-01,77.8493
2020-11-30,77.2976
2020-11-27,81.3359
2020-11-25,81.5388
2020-11-24,81.2528
2020-11-23,80.7274
2020-11-20,79.649
2020-11-19,78.194
2020-11-18,71.0748
2020-11-17,60.0
2020-11-16,65.0758
2020-11-13,57.2273
2020-11-12,51.2871
2020-11-11,52.3915
2020-11-10,43.9531
2020-11-09,35.8321
2020-11-06,45.0342
2020-11-05,37.089
2020-11-04,40.4542
2020-11-03,33.7118
2020-11-02,27.3847
2020-10-30,26.4499
2020-10-29,33.9144
2020-10-28,40.4147
2020-10-27,46.7485
2020-10-26,53.7954
2020-10-23,52.9021
2020-10-22,58.1207
2020-10-21,60.7801
2020-10-20,69.7146
2020-10-19,69.6956
2020-10-16,76.2028
2020-10-15,75.1135
2020-10-14,80.6918
2020-10-13,79.1831
2020-10-12,72.6133
2020-10-09,73.7282
2020-10-08,74.0397
2020-10-07,74.7426
2020-10-06,68.9449
2020-10-05,70.6509
2020-10-02,65.3527
2020-10-01,70.6586
2020-09-30,69.393
2020-09-29,62.5653
2020-09-28,62.8328
2020-09-25,54.2703
2020-09-24,45.4403
2020-09-23,44.6184
2020-09-22,43.354
2020-09-21,34.1479
2020-09-18,33.7235
2020-09-17,26.0219
2020-09-16,25.1828
2020-09-15,24.5966
2020-09-14,24.1435
2020-09-11,17.7112
2020-09-10,25.3108
2020-09-09,41.0472
2020-09-08,63.062
2020-09-04,61.9152
2020-09-03,66.3008
2020-09-02,69.9366
2020-09-01,73.4921
2020-08-31,77.3301
2020-08-28,73.9652
2020-08-27,76.7759
2020-08-26,80.2352
2020-08-25,81.4221
2020-08-24,84.61
2020-08-21,89.1115
2020-08-20,88.5802
2020-08-19,87.2311
2020-08-18,76.1642
2020-08-17,87.1603
2020-08-14,86.3835
2020-08-13,80.679
2020-08-12,81.2261
2020-08-11,80.3609
2020-08-10,89.7766
2020-08-07,89.7502
2020-08-06,81.7745
2020-08-05,86.5516
2020-08-04,86.3076
2020-08-03,86.1082
2020-07-31,80.056
2020-07-30,80.0779
2020-07-29,79.2791
2020-07-28,79.5914
2020-07-27,73.4224
2020-07-24,71.1986
2020-07-23,62.7623
2020-07-22,61.8027
2020-07-21,54.2051
2020-07-20,54.6441
2020-07-17,62.98
2020-07-16,51.8598
2020-07-15,45.4522
2020-07-14,37.1814
2020-07-13,44.8459
2020-07-10,46.2576
2020-07-09,55.7807
2020-07-08,50.8024
2020-07-07,50.0001
2020-07-06,57.1163
2020-07-02,63.4886
2020-07-01,57.6492
2020-06-30,55.8516
2020-06-29,50.5334
2020-06-26,46.0225
2020-06-25,53.6469
2020-06-24,59.0255
2020-06-23,59.1992
2020-06-22,60.0697
2020-06-19,52.8701
2020-06-18,38.1314
2020-06-17,47.9474
2020-06-16,55.0307
2020-06-15,45.8458
2020-06-12,38.3397
2020-06-11,38.3492
2020-06-10,37.0846
2020-06-09,33.1172
2020-06-08,40.0606
2020-06-05,41.8746
2020-06-04,44.0743
2020-06-03,43.3824
2020-06-02,38.0448
2020-06-01,43.0472
2020-05-29,49.0366
2020-05-28,46.5081
2020-05-27,41.2214
2020-05-26,48.0154
2020-05-22,54.3471
2020-05-21,59.6823
2020-05-20,62.1928
2020-05-19,69.6039
2020-05-18,68.0326
2020-05-15,67.0956
2020-05-14,64.7751
2020-05-13,73.5639
2020-05-12,63.8847
2020-05-11,62.708999999999996
2020-05-08,55.7662
2020-05-07,49.1923
2020-05-06,56.5294
2020-05-05,56.9522
2020-05-04,51.729
2020-05-01,51.9366
2020-04-30,56.7742
2020-04-29,63.6885
2020-04-28,64.5962
2020-04-27,64.9961
2020-04-24,65.747
2020-04-23,58.9741
2020-04-22,67.1673
2020-04-21,69.0173
2020-04-20,68.1092
2020-04-17,74.2831
2020-04-16,73.0883
2020-04-15,73.1468
2020-04-14,67.2984
2020-04-13,67.6636
2020-04-09,61.6345
2020-04-08,53.5785
2020-04-07,45.5286
2020-04-06,46.943999999999996
2020-04-03,49.0099
2020-04-02,48.8558
2020-04-01,55.8746
2020-03-31,47.5398
2020-03-30,47.3253
2020-03-27,49.0689
2020-03-26,43.7367
2020-03-25,38.2863
2020-03-24,40.4628
2020-03-23,34.1936
2020-03-20,43.071999999999996
2020-03-19,51.1275
2020-03-18,50.3335
2020-03-17,43.3126
2020-03-16,35.8553
2020-03-13,36.1398
2020-03-12,28.4927
2020-03-11,29.9473
2020-03-10,34.2038
2020-03-09,30.8626
2020-03-06,36.3831
2020-03-05,37.1436
2020-03-04,41.9562
2020-03-03,48.8719
2020-03-02,38.3022
2020-02-28,32.9069
2020-02-27,36.1395
2020-02-26,45.5861
2020-02-25,53.2613
2020-02-24,62.0914
2020-02-21,72.7139
2020-02-20,68.7977
2020-02-19,61.5111
2020-02-18,53.7337
2020-02-14,54.2946
2020-02-13,62.4808
