date,1. open,2. high,3. low,4. close,5. volume
2021-01-04,68.3,68.4,66.4972,66.81,6330457.0
2020-12-31,68.48,68.59,68.07,68.29,4563859.0
2020-12-30,67.99,68.77,67.99,68.3,4476123.0
2020-12-29,68.65,68.89,67.9399,67.99,3563853.0
2020-12-28,67.53,68.665,67.04,68.4,3675674.0
2020-12-24,66.85,67.13,66.59,66.98,1656846.0
2020-12-23,67.42,68.08,67.31,67.34,2829940.0
2020-12-22,67.13,67.73,66.67,66.97,4909014.0
2020-12-21,66.42,67.56,66.14,67.24,9790760.0
2020-12-18,67.65,68.1,66.78,67.7,17358732.0
2020-12-17,67.13,67.68,66.8,67.51,7665072.0
2020-12-16,67.13,67.19,66.325,66.62,6656081.0
2020-12-15,66.42,66.76,65.61,66.74,5923449.0
2020-12-14,66.92,66.95,65.31,65.34,8653172.0
2020-12-11,66.05,66.325,65.49,66.06,7478046.0
2020-12-10,65.96,66.895,65.57,66.52,5661963.0
2020-12-09,66.13,66.89,65.67,66.72,6691954.0
2020-12-08,65.18,65.78,65.0,65.42,4290763.0
2020-12-07,65.95,66.41,65.36,65.88,4979915.0
2020-12-04,66.03,66.76,65.92,66.63,6593843.0
2020-12-03,65.23,66.0,64.96,65.91,7399842.0
2020-12-02,64.52,65.04,64.2,65.0,6283846.0
2020-12-01,64.0,65.155,63.29,64.88,10475097.0
2020-11-30,62.63,63.69,61.8,63.51,25960368.0
2020-11-27,63.25,63.25,62.42,63.22,5435208.0
2020-11-25,63.4,63.46,62.21,62.8,6905852.0
2020-11-24,62.39,64.73,62.25,64.33,11799135.0
2020-11-23,61.13,61.85,60.61,61.8,8274362.0
2020-11-20,61.55,62.06,60.52,60.68,11047990.0
2020-11-19,60.72,62.56,60.4,61.56,11004410.0
2020-11-18,62.63,65.14,61.41,62.28,16395941.0
2020-11-17,60.03,61.5187,59.12,61.14,10970560.0
2020-11-16,61.33,61.62,59.43,61.09,7357020.0
2020-11-13,59.77,59.985,58.23,59.63,9561493.0
