date,MFI
1999-11-19,52.1765
1999-11-22,50.9998
1999-11-23,46.649
1999-11-24,47.2
1999-11-26,49.6309
1999-11-29,54.5554
1999-11-30,62.7041
1999-12-01,55.4488
1999-12-02,45.3731
1999-12-03,36.1554
1999-12-06,31.7908
1999-12-07,23.2405
1999-12-08,23.8336
1999-12-09,19.9951
1999-12-10,17.9763
1999-12-13,21.612
1999-12-14,27.6289
1999-12-15,22.335
1999-12-16,20.0778
1999-12-17,15.8258
1999-12-20,9.9294
1999-12-21,9.8581
1999-12-22,24.9425
1999-12-23,35.0485
1999-12-27,41.893
1999-12-28,45.7531
1999-12-29,50.6815
1999-12-30,54.5688
1999-12-31,53.6704
2000-01-03,47.7019
2000-01-04,40.3989
2000-01-05,39.3536
2000-01-06,47.7937
2000-01-07,54.4052
2000-01-10,56.5248
2000-01-11,60.3909
2000-01-12,46.4331
2000-01-13,38.3583
2000-01-14,35.3205
2000-01-18,35.7548
2000-01-19,30.7032
2000-01-20,27.2806
2000-01-21,21.9225
2000-01-24,21.1382
2000-01-25,26.1823
2000-01-26,33.0409
2000-01-27,28.0731
2000-01-28,20.748
2000-01-31,21.348
2000-02-01,26.8177
2000-02-02,32.8756
2000-02-03,42.7772
2000-02-04,45.6337
2000-02-07,43.9235
2000-02-08,49.7934
2000-02-09,49.9747
2000-02-10,58.241
2000-02-11,63.8111
2000-02-14,59.1172
2000-02-15,52.3911
2000-02-16,45.4988
2000-02-17,45.3577
2000-02-18,45.129
2000-02-22,40.1584
2000-02-23,34.7498
2000-02-24,23.0474
2000-02-25,9.3113
2000-02-28,23.168
2000-02-29,28.4647
2000-03-01,40.4661
2000-03-02,47.6183
2000-03-03,47.0325
2000-03-06,46.8041
2000-03-07,47.1346
2000-03-08,46.2713
2000-03-09,55.877
2000-03-10,54.9391
2000-03-13,52.5507
2000-03-14,56.884
2000-03-15,63.9335
2000-03-16,73.8257
2000-03-17,63.1032
2000-03-20,61.9763
2000-03-21,63.0372
2000-03-22,56.1336
2000-03-23,60.3868
2000-03-24,64.5951
2000-03-27,68.4452
2000-03-28,73.8553
2000-03-29,66.5286
2000-03-30,73.2777
2000-03-31,79.7993
2000-04-03,80.303
2000-04-04,73.725
2000-04-05,70.7739
2000-04-06,70.0256
2000-04-07,64.7499
2000-04-10,57.1472
2000-04-11,56.9133
2000-04-12,57.7576
2000-04-13,50.9475
2000-04-14,45.2952
2000-04-17,39.9328
2000-04-18,44.162
2000-04-19,38.2016
2000-04-20,29.2339
2000-04-24,22.2291
2000-04-25,22.5706
2000-04-26,17.8034
2000-04-27,19.0508
2000-04-28,25.635
2000-05-01,26.9267
2000-05-02,27.5701
2000-05-03,19.0394
2000-05-04,26.3745
2000-05-05,32.7224
2000-05-08,32.9912
2000-05-09,32.5317
2000-05-10,28.4582
2000-05-11,22.8681
2000-05-12,27.6521
2000-05-15,36.0912
2000-05-16,46.5664
2000-05-17,47.0709
2000-05-18,38.4085
2000-05-19,46.5
2000-05-22,53.3729
2000-05-23,62.3103
2000-05-24,53.3174
2000-05-25,54.2894
2000-05-26,57.8351
2000-05-30,57.0857
2000-05-31,61.9107
2000-06-01,68.0742
2000-06-02,67.7696
2000-06-05,62.3195
2000-06-06,53.5853
2000-06-07,61.4627
2000-06-08,65.7202
2000-06-09,62.6089
2000-06-12,56.7073
2000-06-13,48.0481
2000-06-14,51.5539
2000-06-15,48.3795
2000-06-16,43.7166
2000-06-19,38.3028
