date,1. open,2. high,3. low,4. close,5. volume
2020-04-20,168.44,169.29,167.96,169.16,6435637.0
2020-04-17,169.82,170.84,167.27,167.81,8612119.0
2020-04-16,169.26,170.315,169.0156,170.09,8265414.0
2020-04-15,166.8,168.6,166.74,168.18,10027752.0
2020-04-14,163.84,164.74,163.48,163.84,9019531.0
2020-04-13,164.75,165.71,163.88,163.88,8750297.0
2020-04-09,164.28,165.79,163.78,165.39,14260806.0
2020-04-08,165.11,166.19,164.13,165.09,10147077.0
2020-04-07,164.96,166.42,163.71,166.3,13811848.0
2020-04-06,167.0,168.27,166.53,168.06,9434786.0
2020-04-03,168.55,170.33,168.14,168.5,6570840.0
2020-04-02,168.83,169.22,167.26,168.1,5771227.0
2020-04-01,168.48,168.96,166.4,167.04,11334698.0
2020-03-31,165.7,166.92,164.56,164.97,11464935.0
2020-03-30,168.3,170.11,165.94,166.32,13473205.0
2020-03-27,165.52,168.25,164.59,167.7,12550007.0
2020-03-26,163.995,165.68,162.27,163.34,10576587.0
2020-03-25,163.59,166.68,161.62,162.54,10750564.0
2020-03-24,161.25,165.45,160.41,162.91,11948557.0
2020-03-23,157.5,166.69,156.57,166.0,19971809.0
2020-03-20,153.3,159.43,152.11,159.43,20863060.0
2020-03-19,146.95,153.45,145.25,148.28,21175266.0
2020-03-18,152.84,154.14,139.0105,144.35,44628796.0
2020-03-17,163.5,165.63,152.71,152.98,18570872.0
2020-03-16,160.38,166.15,157.81,163.91,30496696.0
2020-03-13,155.1,158.2,152.19,153.94,19812859.0
2020-03-12,163.51,166.36,155.66,157.5,24361836.0
2020-03-11,165.43,167.03,155.63,156.53,29594066.0
2020-03-10,169.635,172.93,162.03,162.51,37728253.0
2020-03-09,179.1,179.7,170.34,171.29,41552819.0
2020-03-06,167.3,169.33,164.11,166.77,76288337.0
2020-03-05,157.13,158.82,156.81,158.52,17786220.0
2020-03-04,156.41,157.35,154.19,154.67,23463690.0
2020-03-03,153.81,159.7,152.36,156.33,38608024.0
2020-03-02,155.3,156.5,153.76,153.94,28152383.0
2020-02-28,154.45,155.9799,154.16,155.31,45010774.0
2020-02-27,152.7,153.08,150.83,151.88,30687929.0
2020-02-26,149.95,151.72,149.58,150.25,22599515.0
2020-02-25,150.21,151.7553,150.14,151.05,20802922.0
2020-02-24,150.83,150.96,150.0,150.25,15929281.0
2020-02-21,147.8,148.88,147.65,148.04,13861573.0
2020-02-20,146.08,146.94,145.9985,146.67,9332916.0
2020-02-19,145.12,145.62,144.98,145.53,5707712.0
2020-02-18,145.34,146.05,144.92,145.54,6912053.0
2020-02-14,144.76,145.08,144.45,144.55,7137363.0
