date,MACD,MACD_Hist,MACD_Signal
2021-01-22,2.0732,0.5915,1.4816
2021-01-21,1.89,0.5562,1.3338
2021-01-20,1.7305,0.5358,1.1947
2021-01-19,1.4937,0.4329,1.0608
2021-01-15,1.0912,0.1387,0.9525
2021-01-14,1.0362,0.1183,0.9178
2021-01-13,1.0028,0.1145,0.8883
2021-01-12,1.0016,0.1419,0.8596
2021-01-11,0.9539,0.1297,0.8242
2021-01-08,0.9279999999999999,0.1362,0.7917
2021-01-07,0.8743,0.1166,0.7577
2021-01-06,0.8389,0.1104,0.7285
2021-01-05,0.7459,0.045,0.7009
2021-01-04,0.6662,-0.0234,0.6896
2020-12-31,0.6658,-0.0297,0.6955
2020-12-30,0.6689,-0.0341,0.7029
2020-12-29,0.665,-0.0464,0.7114
2020-12-28,0.68,-0.043,0.723
2020-12-24,0.7289,-0.0048,0.7338
2020-12-23,0.7431,0.0081,0.735
2020-12-22,0.7586,0.0256,0.733
2020-12-21,0.7622,0.0356,0.7266
2020-12-18,0.7638,0.0461,0.7177
2020-12-17,0.769,0.0629,0.7062
2020-12-16,0.7859,0.0954,0.6904
2020-12-15,0.8571,0.1905,0.6666
2020-12-14,0.8133,0.1943,0.619
2020-12-11,0.7629,0.1925,0.5704
2020-12-10,0.7038,0.1815,0.5222
2020-12-09,0.6293,0.1524,0.4769
2020-12-08,0.4975,0.0588,0.4388
2020-12-07,0.4117,-0.0123,0.4241
2020-12-04,0.4174,-0.0098,0.4271
2020-12-03,0.4267,-0.0029,0.4296
2020-12-02,0.4313,0.001,0.4303
2020-12-01,0.4616,0.0315,0.4301
2020-11-30,0.4965,0.0743,0.4222
2020-11-27,0.4982,0.0946,0.4036
2020-11-25,0.4686,0.0887,0.38
2020-11-24,0.4537,0.0959,0.3578
2020-11-23,0.4514,0.1176,0.3338
2020-11-20,0.4399,0.1354,0.3044
2020-11-19,0.3953,0.1248,0.2706
2020-11-18,0.3664,0.127,0.2394
2020-11-17,0.3526,0.1449,0.2076
2020-11-16,0.3207,0.1492,0.1714
2020-11-13,0.2865,0.1524,0.1341
2020-11-12,0.19899999999999998,0.1029,0.096
2020-11-11,0.1353,0.065,0.0703
2020-11-10,0.1213,0.0672,0.054000000000000006
2020-11-09,0.1383,0.10099999999999999,0.0372
2020-11-06,0.1406,0.1287,0.012
2020-11-05,0.1264,0.1466,-0.0202
2020-11-04,0.0462,0.1031,-0.0568
