date,1. open,2. high,3. low,4. close,5. volume
2021-01-07,175.37,184.65,175.35,183.18,15322288.0
2021-01-06,169.9,178.34,168.22,170.84,26017947.0
2021-01-05,172.28,178.555,172.28,178.21,14839050.0
2021-01-04,184.08,184.388,166.83,173.85,24684021.0
2020-12-31,180.27,182.48,178.33,181.8,13338523.0
2020-12-30,182.45,183.0,179.27,180.39,13100866.0
2020-12-29,182.35,183.4,178.81,180.42,15142844.0
2020-12-28,179.16,180.755,176.03,179.89,14434188.0
2020-12-24,172.91,175.44,172.72,174.65,9633222.0
2020-12-23,175.04,175.76,172.18,172.41,14929296.0
2020-12-22,175.3,176.71,170.175,175.05,20251104.0
2020-12-21,169.57,174.62,164.68,173.68,25449588.0
2020-12-18,177.56,177.91,170.53,174.33,21094514.0
2020-12-17,175.65,176.675,173.59,176.25,17409427.0
2020-12-16,170.77,174.25,168.98,172.71,17198808.0
2020-12-15,168.58,170.01,164.92,169.86,19747846.0
2020-12-14,163.23,168.05,163.17,164.74,18335559.0
2020-12-11,159.65,161.53,155.9,161.3,21227446.0
2020-12-10,157.04,164.2667,155.26,162.44,21668322.0
2020-12-09,171.84,172.26,158.62,160.47,30609841.0
2020-12-08,169.65,172.68,166.61,171.99,16740720.0
2020-12-07,167.9,171.02,167.6,170.43,15503468.0
2020-12-04,165.6,167.84,164.51,167.59,15886007.0
2020-12-03,165.29,168.19,164.351,165.56,19682707.0
2020-12-02,162.21,165.4413,159.18,164.89,18266164.0
2020-12-01,161.79,166.95,160.1001,164.23,21140760.0
2020-11-30,157.72,158.7801,150.58,158.02,23077764.0
2020-11-27,156.04,159.0699,155.53,157.21,11615939.0
2020-11-25,151.72,154.01,150.45,153.03,16084705.0
2020-11-24,145.82,151.03,143.07,150.2,19082132.0
2020-11-23,145.82,147.74,140.76,144.3,22382601.0
2020-11-20,147.05,148.27,144.12,144.27,16249183.0
2020-11-19,142.91,147.69,141.96,147.26,19917724.0
2020-11-18,146.26,148.75,143.7,143.7,19292656.0
2020-11-17,148.8,149.3599,146.13,147.11,22837952.0
2020-11-16,144.75,149.01,143.744,148.48,26718628.0
2020-11-13,143.78,146.08,140.66,145.14,26224313.0
2020-11-12,144.85,146.92,139.72,141.43,35964275.0
2020-11-11,138.07,144.19,137.48,143.53,31707685.0
2020-11-10,137.14,139.25,130.35,134.49,42166659.0
2020-11-09,155.68,158.38,141.48,142.16,41466382.0
2020-11-06,149.87,152.57,144.06,151.4,33787822.0
2020-11-05,149.66,152.55,147.59,150.89,37533141.0
2020-11-04,135.59,142.64,133.32,140.08,42296929.0
2020-11-03,119.98,126.4093,118.6,123.4,33742329.0
2020-11-02,119.79,122.09,113.61,117.49,37783982.0
2020-10-30,123.55,124.73,113.55,117.45,57791438.0
2020-10-29,121.94,130.46,121.24,126.23,34546840.0
2020-10-28,129.42,130.24,119.8002,120.12,46180040.0
2020-10-27,134.27,137.2,132.52,136.09,27982503.0
2020-10-26,135.77,139.98,127.49,132.95,39639153.0
2020-10-23,139.41,139.43,134.89,139.3,23885971.0
2020-10-22,139.7,141.0034,133.47,138.49,29895401.0
2020-10-21,139.09,143.01,137.72,138.42,30321574.0
2020-10-20,138.98,143.4,136.5876,138.78,34338766.0
2020-10-19,148.04,149.51,136.36,137.89,34694371.0
2020-10-16,150.07,152.269,144.5,145.1,28512138.0
2020-10-15,143.02,148.39,141.94,147.36,31134568.0
2020-10-14,155.66,157.2,147.65,150.47,37246374.0
2020-10-13,157.2,158.33,152.15,154.28,35482699.0
2020-10-12,148.4,158.73,146.86,154.26,36764645.0
2020-10-09,137.54,141.385,136.96,141.1,24408944.0
2020-10-08,136.45,136.6067,133.54,135.09,24736712.0
2020-10-07,130.17,134.11,129.38,133.13,28136122.0
2020-10-06,132.39,135.12,125.15,126.48,43206139.0
