date,MACD_Signal,MACD_Hist,MACD
2021-01-19,63.3555,3.6927,67.0482
2021-01-15,62.4323,5.6617,68.094
2021-01-14,61.0169,9.2938,70.3107
2021-01-13,58.6934,11.5056,70.1991
2021-01-12,55.817,12.2604,68.0774
2021-01-11,52.7519,12.1333,64.8852
2021-01-08,49.7186,14.043,63.7616
2021-01-07,46.2079,8.184,54.3919
2021-01-06,44.1619,3.9939999999999998,48.1559
2021-01-05,43.1634,2.4478,45.6112
2021-01-04,42.5514,1.2734,43.8248
2020-12-31,42.233000000000004,-0.7821,41.4509
2020-12-30,42.4286,-2.1567,40.2719
2020-12-29,42.9678,-3.6777,39.2901
2020-12-28,43.8872,-3.4904,40.3968
2020-12-24,44.7598,-3.3039,41.4559
2020-12-23,45.5857,-3.1855,42.4002
2020-12-22,46.3821,-1.7856,44.5965
2020-12-21,46.8285,0.4969,47.3254
2020-12-18,46.7043,2.4464,49.1507
2020-12-17,46.0927,0.0768,46.1695
2020-12-16,46.0735,-0.3996,45.6739
2020-12-15,46.1734,1.5769,47.7503
2020-12-14,45.7792,2.8597,48.6389
2020-12-11,45.0642,3.3313,48.3956
2020-12-10,44.2314,6.188,50.4194
2020-12-09,42.6844,7.8456,50.53
2020-12-08,40.723,11.5134,52.2364
2020-12-07,37.8447,11.1873,49.032
2020-12-04,35.0478,10.0077,45.0555
2020-12-03,32.5459,11.1285,43.6744
2020-12-02,29.7638,12.0889,41.8527
2020-12-01,26.7416,14.6779,41.4194
2020-11-30,23.0721,15.5688,38.6409
2020-11-27,19.1799,17.0998,36.2797
2020-11-25,14.9049,15.9843,30.8892
2020-11-24,10.9088,13.8483,24.7571
2020-11-23,7.4468,11.0193,18.465999999999998
2020-11-20,4.6919,8.8898,13.5817
2020-11-19,2.4695,7.9631,10.4326
2020-11-18,0.4787,4.7991,5.2778
2020-11-17,-0.721,0.6288,-0.0923
2020-11-16,-0.8782,-1.4821,-2.3603
2020-11-13,-0.5077,-1.3001,-1.8078
2020-11-12,-0.1827,-0.9355,-1.1181
2020-11-11,0.0512,-0.6047,-0.5535
2020-11-10,0.2024,-0.5739,-0.3715
2020-11-09,0.3458,0.2096,0.5555
2020-11-06,0.2934,0.3273,0.6207
2020-11-05,0.2116,-0.4014,-0.1898
2020-11-04,0.312,-2.3624,-2.0504
2020-11-03,0.9026,-3.5558,-2.6532
2020-11-02,1.7915,-5.4729,-3.6814
2020-10-30,3.1597,-5.7183,-2.5586
2020-10-29,4.5893,-4.4079,0.1814
2020-10-28,5.6913,-4.3358,1.3555
2020-10-27,6.7753,-3.4511,3.3241
2020-10-26,7.638,-3.7495,3.8886
2020-10-23,8.5754,-3.575,5.0004
2020-10-22,9.4692,-3.158,6.3111
2020-10-21,10.2587,-2.8918,7.3669
2020-10-20,10.9816,-2.0535,8.9281
2020-10-19,11.495,-0.6329,10.8621
2020-10-16,11.6532,0.6142,12.2674
2020-10-15,11.4997,1.483,12.9827
2020-10-14,11.1289,1.64,12.769
2020-10-13,10.7189,0.3269,11.0459
2020-10-12,10.6372,-0.4596,10.1776
2020-10-09,10.7521,-1.3879,9.3642
2020-10-08,11.0991,-2.0642,9.0349
2020-10-07,11.6151,-2.3093,9.3059
2020-10-06,12.1924,-2.613,9.5795
2020-10-05,12.8457,-1.9037,10.942
2020-10-02,13.3216,-1.9911,11.3305
2020-10-01,13.8194,-1.0794,12.74
2020-09-30,14.0892,-3.1027,10.9865
2020-09-29,14.8649,-4.3265,10.5384
2020-09-28,15.9465,-5.1212,10.8253
2020-09-25,17.2268,-6.4097,10.8172
2020-09-24,18.8293,-6.7687,12.0606
2020-09-23,20.5214,-5.0586,15.4628
2020-09-22,21.7861,-1.4493,20.3368
2020-09-21,22.1484,-0.3531,21.7953
2020-09-18,22.2367,-1.4586,20.7781
2020-09-17,22.6013,-2.6866,19.9147
2020-09-16,23.273000000000003,-2.8439,20.4291
2020-09-15,23.984,-5.0619,18.9221
2020-09-14,25.2495,-9.3406,15.9089
2020-09-11,27.5846,-12.6843,14.9003
2020-09-10,30.7557,-12.5841,18.1715
2020-09-09,33.9017,-11.6787,22.223000000000003
2020-09-08,36.8214,-9.2352,27.5862
2020-09-04,39.1302,-1.4274,37.7028
2020-09-03,39.4871,1.6086,41.0957
2020-09-02,39.0849,6.8962,45.9811
2020-09-01,37.3608,10.0766,47.4374
2020-08-31,34.8417,10.9462,45.7879
2020-08-28,32.1052,8.542,40.6472
2020-08-27,29.9696,9.1901,39.1597
2020-08-26,27.6721,8.5032,36.1753
2020-08-25,25.5463,8.0364,33.5827
2020-08-24,23.5372,8.8917,32.4289
2020-08-21,21.3143,9.3564,30.6707
2020-08-20,18.9752,8.2767,27.2519
2020-08-19,16.906,6.5663,23.4723
2020-08-18,15.2644,5.5531,20.8176
2020-08-17,13.8762,3.0759,16.9521
2020-08-14,13.1072,-0.2878,12.8194
2020-08-13,13.1791,-2.055,11.1241
2020-08-12,13.6929,-4.2895,9.4034
2020-08-11,14.7653,-6.346,8.4193
2020-08-10,16.3518,-5.6381,10.7137
2020-08-07,17.7613,-5.1746,12.5867
2020-08-06,19.0549,-4.9558,14.0991
2020-08-05,20.2939,-5.2203,15.0735
2020-08-04,21.599,-5.4081,16.1909
2020-08-03,22.951,-5.6098,17.3412
2020-07-31,24.3534,-5.7555,18.598
2020-07-30,25.7923,-4.7563,21.035999999999998
2020-07-29,26.9814,-4.2948,22.6866
2020-07-28,28.0551,-3.8283,24.2268
2020-07-27,29.0121,-2.7112,26.3009
2020-07-24,29.69,-2.4095,27.2805
2020-07-23,30.2923,0.3382,30.6305
2020-07-22,30.2078,2.2968,32.5046
2020-07-21,29.6336,3.1761,32.8097
2020-07-20,28.8396,4.3705,33.21
2020-07-17,27.7469,3.9711,31.718000000000004
2020-07-16,26.7542,5.4931,32.2472
2020-07-15,25.3809,7.0768,32.4577
2020-07-14,23.6117,7.7186,31.3303
2020-07-13,21.6821,8.3484,30.0304
2020-07-10,19.595,8.7416,28.3365
2020-07-09,17.4096,7.3836,24.7932
2020-07-08,15.5637,7.4084,22.9721
2020-07-07,13.7116,7.1803,20.8919
2020-07-06,11.9165,5.5281,17.4446
2020-07-02,10.5345,2.6286,13.1631
2020-07-01,9.8773,0.9472,10.8245
2020-06-30,9.6405,-0.1454,9.4951
2020-06-29,9.6769,-1.2057,8.4711
2020-06-26,9.9783,-1.5025,8.4758
2020-06-25,10.3539,-0.9853,9.3687
2020-06-24,10.6003,-0.7626,9.8377
2020-06-23,10.7909,0.013999999999999999,10.805
2020-06-22,10.7874,0.2615,11.0489
2020-06-19,10.722000000000001,0.6295,11.3515
2020-06-18,10.5647,0.8740000000000001,11.4386
2020-06-17,10.3462,0.975,11.3211
2020-06-16,10.1024,1.1519,11.2543
2020-06-15,9.8144,1.3876,11.202
2020-06-12,9.4675,1.3262,10.7938
2020-06-11,9.136000000000001,2.1124,11.2483
2020-06-10,8.6079,2.2921,10.9
2020-06-09,8.0348,1.1989,9.2337
2020-06-08,7.7351,0.9558,8.6909
2020-06-05,7.4962,0.1871,7.6833
2020-06-04,7.4494,0.1446,7.593999999999999
2020-06-03,7.4133,0.3896,7.8029
2020-06-02,7.3159,0.2619,7.5777
2020-06-01,7.2504,-0.0418,7.2086
2020-05-29,7.2608,-0.9651,6.2958
2020-05-28,7.5021,-1.178,6.3241
2020-05-27,7.7966,-0.934,6.8626
2020-05-26,8.0301,-0.8736,7.1565
2020-05-22,8.2485,-0.7933,7.4552
2020-05-21,8.4468,-0.6782,7.7686
2020-05-20,8.6164,-0.7791,7.8373
2020-05-19,8.8112,-0.755,8.0561
2020-05-18,8.9999,-0.6279,8.372
2020-05-15,9.1569,-0.6179,8.539
2020-05-14,9.3114,-0.3891,8.9223
2020-05-13,9.4087,-0.2115,9.1971
2020-05-12,9.4615,0.2044,9.666
2020-05-11,9.4104,0.3377,9.7481
2020-05-08,9.326,0.3469,9.6729
2020-05-07,9.2393,0.0314,9.2706
2020-05-06,9.2314,0.1928,9.4243
2020-05-05,9.1832,0.2483,9.4316
2020-05-04,9.1211,0.4752,9.5963
2020-05-01,9.0023,0.8076,9.81
2020-04-30,8.8004,2.3587,11.1592
2020-04-29,8.2108,2.8676,11.0784
2020-04-28,7.4939,2.9409,10.4348
2020-04-27,6.7586,3.3421,10.1007
2020-04-24,5.9231,3.0010000000000003,8.9241
2020-04-23,5.1729,3.6183,8.7912
2020-04-22,4.2683,4.6229,8.8912
2020-04-21,3.1126,5.2378,8.3503
2020-04-20,1.8031,6.6597,8.4628
2020-04-17,0.1382,7.1305,7.2687
2020-04-16,-1.6444,7.1301,5.4857
2020-04-15,-3.427,6.7337,3.3068
2020-04-14,-5.1104,5.9012,0.7908
2020-04-13,-6.5857,4.5597,-2.026
2020-04-09,-7.7256,3.3342,-4.3914
2020-04-08,-8.5592,2.7997,-5.7595
2020-04-07,-9.2591,2.3293,-6.9298
2020-04-06,-9.8414,1.5877,-8.2537
2020-04-03,-10.2383,1.0097,-9.2286
2020-04-02,-10.4908,0.8898,-9.601
2020-04-01,-10.7132,1.2967,-9.4165
2020-03-31,-11.0374,1.4417,-9.5957
2020-03-30,-11.3978,0.8487,-10.5491
2020-03-27,-11.61,0.4428,-11.1672
2020-03-26,-11.7207,-0.3221,-12.0427
2020-03-25,-11.6401,-1.626,-13.2661
2020-03-24,-11.2336,-3.6268,-14.8604
2020-03-23,-10.327,-5.6548,-15.9817
2020-03-20,-8.9133,-6.8273,-15.7406
2020-03-19,-7.2064,-7.8597,-15.0661
2020-03-18,-5.2415,-8.7469,-13.9884
2020-03-17,-3.0548,-8.002,-11.0568
2020-03-16,-1.0543,-7.5046,-8.5589
2020-03-13,0.8219,-6.3709,-5.5489999999999995
2020-03-12,2.4146,-6.1091,-3.6945
2020-03-11,3.9419,-5.4992,-1.5573
2020-03-10,5.3167,-5.6239,-0.3073
2020-03-09,6.7226,-5.656000000000001,1.0667
2020-03-06,8.1366,-4.5717,3.565
2020-03-05,9.2796,-4.5221,4.7575
2020-03-04,10.4101,-4.6285,5.7816
2020-03-03,11.5672,-5.0709,6.4963
2020-03-02,12.8349,-5.4396,7.3953
2020-02-28,14.1948,-5.7211,8.4737
2020-02-27,15.6251,-4.3581,11.267000000000001
2020-02-26,16.7146,-2.2705,14.4441
2020-02-25,17.2822,-1.0253,16.2569
2020-02-24,17.5386,0.3657,17.9043
2020-02-21,17.4471,1.6096,19.0567
2020-02-20,17.0448,1.837,18.8817
2020-02-19,16.5855,1.8306,18.4161
2020-02-18,16.1279,1.0594,17.1872
2020-02-14,15.863,0.7075,16.5706
2020-02-13,15.6861,1.0449,16.7311
2020-02-12,15.4249,1.1869,16.6118
2020-02-11,15.1282,1.8372,16.9654
2020-02-10,14.6689,2.3567,17.0256
2020-02-07,14.0797,2.8382,16.9179
2020-02-06,13.3702,3.6369,17.007
2020-02-05,12.460999999999999,4.3944,16.8553
2020-02-04,11.3624,5.3445,16.7069
2020-02-03,10.0262,3.1455,13.1718
2020-01-31,9.2399,1.4084,10.6482
2020-01-30,8.8878,1.0203,9.9081
2020-01-29,8.6327,0.3853,9.017999999999999
2020-01-28,8.5364,0.4326,8.969
2020-01-27,8.4282,0.6346,9.0628
2020-01-24,8.2696,0.9620000000000001,9.2316
2020-01-23,8.0291,1.1452,9.1743
2020-01-22,7.7428,1.0746,8.8174
2020-01-21,7.4741,0.8132,8.2873
2020-01-17,7.2708,0.6748,7.9456
2020-01-16,7.1021,1.0392,8.1413
2020-01-15,6.8423,1.3693,8.2116
2020-01-14,6.5,1.5801,8.08
2020-01-13,6.1049,1.2941,7.399
2020-01-10,5.7814,0.9067,6.6881
2020-01-09,5.5547,1.08,6.6347
2020-01-08,5.2848,1.1203,6.4051
2020-01-07,5.0047,0.7942,5.7988
2020-01-06,4.8061,0.6046,5.4107
2020-01-03,4.655,0.5384,5.1934
2020-01-02,4.5204,0.4938,5.0142
2019-12-31,4.3969,0.5753,4.9722
2019-12-30,4.2531,0.8361,5.0892
2019-12-27,4.0441,1.1944,5.2384
2019-12-26,3.7455,1.2879,5.0334
2019-12-24,3.4235,1.2636,4.6871
2019-12-23,3.1076,1.1851,4.2927
2019-12-20,2.8113,1.0384,3.8498
2019-12-19,2.5517,0.9542,3.5059
2019-12-18,2.3132,0.7345,3.0477
2019-12-17,2.1295,0.5106,2.6402
2019-12-16,2.0019,0.3681,2.37
2019-12-13,1.9098,0.0297,1.9396
2019-12-12,1.9024,-0.0698,1.8326
2019-12-11,1.9199,-0.2767,1.6431
2019-12-10,1.989,-0.4695,1.5195
2019-12-09,2.1064,-0.6882,1.4183
2019-12-06,2.2785,-0.8205,1.4580000000000002
2019-12-05,2.4836,-0.922,1.5616
2019-12-04,2.7141,-0.9306,1.7835
2019-12-03,2.9467,-0.96,1.9867
2019-12-02,3.1868,-1.0342,2.1526
2019-11-29,3.4453,-1.0853,2.36
2019-11-27,3.7166,-1.0257,2.6909
2019-11-26,3.9730000000000003,-0.9265,3.0466
