date,MACD,MACD_Hist,MACD_Signal
2021-01-29,-0.342,0.2462,-0.5882
2021-01-28,-0.5077,0.1421,-0.6498
2021-01-27,-0.8176,-0.1324,-0.6853
2021-01-26,-0.8572,-0.2051,-0.6522
2021-01-25,-1.046,-0.4451,-0.6009
2021-01-22,-1.0854,-0.5957,-0.4897
2021-01-21,-1.1423,-0.8016,-0.3407
2021-01-20,-1.1025,-0.9622,-0.1403
2021-01-19,-1.0847,-1.1849,0.1002
2021-01-15,-0.8761,-1.2725,0.3965
2021-01-14,-0.5207,-1.2353,0.7146
2021-01-13,-0.1217,-1.1451,1.0234
2021-01-12,0.2438,-1.0658,1.3097
2021-01-11,0.7251,-0.851,1.5761
2021-01-08,1.2128,-0.576,1.7889
2021-01-07,1.4816,-0.4512,1.9329
2021-01-06,1.7167,-0.329,2.0457
2021-01-05,1.897,-0.231,2.1279
2021-01-04,2.0364,-0.1493,2.1857
2020-12-31,2.1185,-0.1045,2.223
2020-12-30,2.2312,-0.0179,2.2491
2020-12-29,2.3243,0.0707,2.2536
2020-12-28,2.4063,0.1704,2.2359
2020-12-24,2.4688,0.2754,2.1933
2020-12-23,2.5594,0.435,2.1245
2020-12-22,2.6043,0.5886,2.0157
2020-12-21,2.5616,0.6931,1.8686
2020-12-18,2.4974,0.8021,1.6953
2020-12-17,2.2538,0.759,1.4948
2020-12-16,2.0364,0.7314,1.305
2020-12-15,1.7904,0.6682,1.1222
2020-12-14,1.5735,0.6184,0.9551
2020-12-11,1.3553,0.5548,0.8005
2020-12-10,1.1161,0.4543,0.6619
2020-12-09,0.818,0.2697,0.5483
2020-12-08,0.8308,0.35,0.4809
2020-12-07,0.8148,0.4214,0.3934
2020-12-04,0.7346,0.4465,0.288
2020-12-03,0.6388,0.4624,0.1764
2020-12-02,0.5012,0.4404,0.0608
2020-12-01,0.3753,0.4246,-0.0493
2020-11-30,0.2661,0.4216,-0.1554
2020-11-27,0.1392,0.4,-0.2608
2020-11-25,-0.0329,0.3279,-0.3608
2020-11-24,-0.2359,0.2069,-0.4428
2020-11-23,-0.3693,0.1252,-0.4945
2020-11-20,-0.5047,0.0211,-0.5258
2020-11-19,-0.6437,-0.1126,-0.5311
2020-11-18,-0.7039,-0.2009,-0.503
2020-11-17,-0.7409,-0.2881,-0.4528
2020-11-16,-0.7284,-0.3477,-0.3807
2020-11-13,-0.6898,-0.396,-0.2938
2020-11-12,-0.7067,-0.5119,-0.1948
2020-11-11,-0.6499,-0.583,-0.0668
2020-11-10,-0.6513,-0.7303,0.0789
2020-11-09,-0.5195,-0.781,0.2615
2020-11-06,-0.4232,-0.8799,0.4568
2020-11-05,-0.2869,-0.9636,0.6767
2020-11-04,-0.1688,-1.0864,0.9176
2020-11-03,0.0811,-1.1082,1.1892
2020-11-02,0.5037,-0.9626,1.4663
2020-10-30,1.2659,-0.4411,1.707
2020-10-29,2.0278,0.2106,1.8172
2020-10-28,1.8438,0.0792,1.7646
2020-10-27,1.9791,0.2344,1.7448
2020-10-26,1.8441,0.158,1.6862
2020-10-23,1.8761,0.2294,1.6467
2020-10-22,1.743,0.1537,1.5893
2020-10-21,1.5641,0.0132,1.5509
2020-10-20,1.317,-0.2306,1.5476
2020-10-19,1.3786,-0.2266,1.6052
2020-10-16,1.4911,-0.1708,1.6619
2020-10-15,1.614,-0.0905,1.7046
2020-10-14,1.7251,-0.0022,1.7272
2020-10-13,1.8468,0.119,1.7278
2020-10-12,1.8714,0.1734,1.698
2020-10-09,1.7484,0.0937,1.6547
2020-10-08,1.8051,0.1739,1.6312
2020-10-07,1.8401,0.2524,1.5878
2020-10-06,1.8723,0.3476,1.5247
2020-10-05,1.9136,0.4758,1.4378
2020-10-02,1.7644,0.4456,1.3188
2020-10-01,1.6695,0.4621,1.2074
2020-09-30,1.465,0.3731,1.0919
2020-09-29,1.4066,0.408,0.9986
2020-09-28,1.2873,0.3906,0.8966
2020-09-25,1.1763,0.3773,0.799
2020-09-24,1.0491,0.3444,0.7047
2020-09-23,0.9427,0.3241,0.6186
2020-09-22,0.5702,0.0327,0.5375
2020-09-21,0.3513,-0.1781,0.5294
2020-09-18,0.3548,-0.219,0.5739
2020-09-17,0.3288,-0.2999,0.6286
2020-09-16,0.3722,-0.3314,0.7036
2020-09-15,0.3967,-0.3898,0.7865
2020-09-14,0.4742,-0.4097,0.8839
2020-09-11,0.5987,-0.3876,0.9863
2020-09-10,0.7327,-0.3505,1.0832
2020-09-09,0.891,-0.2798,1.1709
2020-09-08,1.018,-0.2228,1.2408
2020-09-04,1.3048,0.0083,1.2965
2020-09-03,1.4809,0.1864,1.2944
2020-09-02,1.5048,0.257,1.2478
2020-09-01,1.3057,0.1221,1.1836
2020-08-31,1.2892,0.1362,1.153
2020-08-28,1.3074,0.1884,1.119
2020-08-27,1.2618,0.1899,1.0719
2020-08-26,1.2544,0.23,1.0244
2020-08-25,1.1565,0.1896,0.9669
2020-08-24,1.0687,0.1492,0.9195
2020-08-21,0.9472,0.065,0.8822
2020-08-20,0.9035,0.0376,0.866
2020-08-19,0.8652,0.0087,0.8566
2020-08-18,0.8109,-0.0435,0.8544
2020-08-17,0.8193,-0.046,0.8653
2020-08-14,0.8222,-0.0546,0.8768
2020-08-13,0.8211,-0.0694,0.8904
2020-08-12,0.8158,-0.0919,0.9078
2020-08-11,0.836,-0.0948,0.9308
2020-08-10,0.8659,-0.0886,0.9545
2020-08-07,0.8751,-0.1015,0.9766
2020-08-06,0.9047,-0.0973,1.002
2020-08-05,0.8733,-0.1531,1.0263
2020-08-04,0.9121,-0.1525,1.0646
2020-08-03,0.9932,-0.1095,1.1027
2020-07-31,1.0783,-0.0518,1.1301
2020-07-30,1.1701,0.027,1.1431
2020-07-29,1.2377,0.1014,1.1363
2020-07-28,1.2612,0.1502,1.111
2020-07-27,1.3288,0.2554,1.0734
2020-07-24,1.3714,0.3618,1.0096
2020-07-23,1.3355,0.4164,0.9191
2020-07-22,1.1786,0.3636,0.815
2020-07-21,1.114,0.3899,0.7241
2020-07-20,1.0082,0.3815,0.6267
2020-07-17,0.8533,0.322,0.5313
2020-07-16,0.7706,0.3198,0.4508
2020-07-15,0.7077,0.3369,0.3708
2020-07-14,0.5774,0.2908,0.2866
2020-07-13,0.5341,0.3202,0.2139
2020-07-10,0.5281,0.3942,0.1339
2020-07-09,0.3519,0.3166,0.0353
2020-07-08,0.0892,0.133,-0.0438
2020-07-07,-0.2158,-0.1387,-0.0771
2020-07-06,-0.3555,-0.313,-0.0424
2020-07-02,-0.4625,-0.4983,0.0358
2020-07-01,-0.4426,-0.603,0.1604
2020-06-30,-0.4047,-0.7159,0.3111
2020-06-29,-0.2466,-0.7367,0.4901
2020-06-26,-0.0107,-0.685,0.6743
2020-06-25,0.3354,-0.5101,0.8455
2020-06-24,0.5361,-0.437,0.9731
2020-06-23,0.7477,-0.3346,1.0823
2020-06-22,0.8868,-0.2791,1.1659
2020-06-19,0.9945,-0.2413,1.2357
2020-06-18,1.1235,-0.1725,1.296
2020-06-17,1.2087,-0.1305,1.3392
2020-06-16,1.2683,-0.1035,1.3718
2020-06-15,1.2965,-0.1012,1.3977
2020-06-12,1.3664,-0.0565,1.423
2020-06-11,1.5082,0.0711,1.4371
2020-06-10,1.7049,0.2856,1.4193
2020-06-09,1.7162,0.3683,1.3479
2020-06-08,1.6263,0.3705,1.2558
2020-06-05,1.4147,0.2515,1.1632
2020-06-04,1.3041,0.2038,1.1003
2020-06-03,1.2612,0.2118,1.0494
2020-06-02,1.0699,0.0735,0.9964
2020-06-01,1.077,0.0989,0.9781
2020-05-29,1.108,0.1546,0.9533
2020-05-28,1.2251,0.3105,0.9147
2020-05-27,1.2927,0.4556,0.8371
2020-05-26,1.2104,0.4873,0.7232
2020-05-22,0.9921,0.3908,0.6013
2020-05-21,0.8406,0.337,0.5036
2020-05-20,0.6635,0.2441,0.4194
2020-05-19,0.4389,0.0806,0.3584
2020-05-18,0.3853,0.047,0.3382
2020-05-15,0.3356,0.0091,0.3265
2020-05-14,0.3324,0.0082,0.3242
