date,MACD_Hist,MACD,MACD_Signal
2021-02-12,0.0148,-0.0413,-0.0561
2021-02-11,-0.0032,-0.0667,-0.0635
2021-02-10,-0.0162,-0.0781,-0.0619
2021-02-09,-0.005,-0.0588,-0.0539
2021-02-08,0.0116,-0.0398,-0.0514
2021-02-05,0.0162,-0.040999999999999995,-0.0572
2021-02-04,-0.0122,-0.0775,-0.0653
2021-02-03,-0.0635,-0.1227,-0.0592
2021-02-02,-0.0723,-0.0997,-0.0274
2021-02-01,-0.0713,-0.0625,0.0088
2021-01-29,-0.0275,0.0601,0.0877
2021-01-28,0.0054,0.0999,0.0946
2021-01-27,0.0388,0.132,0.0932
2021-01-26,0.0528,0.1363,0.0835
2021-01-25,0.0075,0.0778,0.0703
2021-01-22,-0.0013,0.0671,0.0684
2021-01-21,0.0021,0.0709,0.0688
2021-01-20,0.0165,0.0848,0.0682
2021-01-19,0.024,0.0881,0.0641
2021-01-15,0.0339,0.092,0.0581
2021-01-14,0.0236,0.0733,0.0496
2021-01-13,-0.0077,0.0361,0.0437
2021-01-12,0.0117,0.0573,0.0457
2021-01-11,0.0266,0.0694,0.0428
2021-01-08,0.0354,0.0715,0.0361
2021-01-07,0.0306,0.0579,0.0273
2021-01-06,-0.0169,0.0027,0.0196
2021-01-05,-0.0836,-0.0598,0.0238
2021-01-04,-0.1264,-0.0817,0.0447
2020-12-31,-0.2028,-0.1264,0.0763
2020-12-30,-0.2407,-0.1137,0.127
2020-12-29,-0.2559,-0.0687,0.1872
2020-12-28,-0.2666,-0.0154,0.2512
2020-12-24,-0.2659,0.0519,0.3178
2020-12-23,-0.2612,0.1231,0.3843
2020-12-22,-0.2435,0.2061,0.4496
2020-12-21,-0.1664,0.3441,0.5105
2020-12-18,-0.0978,0.4543,0.5521
2020-12-17,-0.0274,0.5492,0.5765
2020-12-16,0.057,0.6404,0.5834
2020-12-15,0.1113,0.6804,0.5691
2020-12-14,0.1513,0.6926,0.5413
2020-12-11,0.1976,0.7011,0.5035
2020-12-10,0.2017,0.6557,0.4541
2020-12-09,0.2167,0.6203,0.4037
2020-12-08,0.1396,0.4891,0.3495
2020-12-07,0.0648,0.3794,0.3146
2020-12-04,0.0526,0.35100000000000003,0.2984
2020-12-03,0.0344,0.3196,0.2853
2020-12-02,0.0293,0.3059,0.2767
2020-12-01,0.0287,0.298,0.2694
2020-11-30,0.0434,0.3056,0.2622
2020-11-27,0.0715,0.3228,0.2513
2020-11-25,0.0786,0.3121,0.2335
2020-11-24,0.084,0.2978,0.2138
2020-11-23,0.0585,0.2513,0.1928
2020-11-20,0.0711,0.2493,0.1782
2020-11-19,0.1127,0.2732,0.1604
2020-11-18,0.1714,0.3036,0.1322
2020-11-17,0.2146,0.304,0.0894
2020-11-16,0.2234,0.2591,0.0357
2020-11-13,0.2242,0.2041,-0.0201
2020-11-12,0.213,0.1368,-0.0762
2020-11-11,0.2254,0.096,-0.1294
2020-11-10,0.1993,0.0135,-0.1858
2020-11-09,0.1316,-0.104,-0.2356
2020-11-06,0.0711,-0.1974,-0.2685
2020-11-05,0.0585,-0.2278,-0.2863
2020-11-04,0.0306,-0.2702,-0.3009
2020-11-03,0.0351,-0.2735,-0.3085
2020-11-02,0.0017,-0.3156,-0.3173
2020-10-30,-0.0351,-0.3529,-0.3177
2020-10-29,-0.0543,-0.3632,-0.3089
2020-10-28,-0.0498,-0.3452,-0.2954
2020-10-27,-0.0082,-0.2911,-0.2829
2020-10-26,0.021,-0.2598,-0.2809
2020-10-23,0.0239,-0.2622,-0.2861
2020-10-22,-0.0133,-0.3054,-0.2921
2020-10-21,-0.1133,-0.4021,-0.2888
2020-10-20,-0.1032,-0.3636,-0.2605
2020-10-19,-0.0786,-0.3132,-0.2347
2020-10-16,-0.0414,-0.2564,-0.215
2020-10-15,-0.0204,-0.2251,-0.2047
2020-10-14,0.0057,-0.1939,-0.1996
2020-10-13,0.0457,-0.1553,-0.201
2020-10-12,0.0827,-0.1297,-0.2124
2020-10-09,0.0999,-0.1332,-0.2331
2020-10-08,0.1034,-0.1547,-0.2581
2020-10-07,0.075,-0.2089,-0.2839
2020-10-06,0.0601,-0.2426,-0.3027
2020-10-05,0.0444,-0.2733,-0.3177
2020-10-02,0.0242,-0.3046,-0.3288
2020-10-01,-0.0062,-0.3411,-0.3349
2020-09-30,-0.0307,-0.364,-0.3333
2020-09-29,-0.0643,-0.3899,-0.3256
2020-09-28,-0.0871,-0.3967,-0.3096
2020-09-25,-0.1197,-0.4075,-0.2878
2020-09-24,-0.124,-0.3819,-0.2579
2020-09-23,-0.1168,-0.3436,-0.2269
2020-09-22,-0.0755,-0.2731,-0.1977
2020-09-21,-0.0632,-0.2421,-0.1788
2020-09-18,-0.0477,-0.2107,-0.163
2020-09-17,-0.0459,-0.197,-0.1511
2020-09-16,-0.0508,-0.1904,-0.1396
2020-09-15,-0.0691,-0.196,-0.1269
2020-09-14,-0.0788,-0.1884,-0.1096
2020-09-11,-0.08800000000000001,-0.17800000000000002,-0.09
2020-09-10,-0.0804,-0.1483,-0.0679
2020-09-09,-0.0517,-0.0995,-0.0478
2020-09-08,-0.046,-0.0809,-0.0349
2020-09-04,-0.0464,-0.0698,-0.0234
2020-09-03,-0.0339,-0.0457,-0.0118
2020-09-02,-0.0277,-0.031,-0.0034
2020-09-01,-0.0262,-0.0226,0.0036
2020-08-31,0.0009,0.011,0.0101
2020-08-28,0.0106,0.0204,0.0099
2020-08-27,0.0023,0.0095,0.0072
2020-08-26,0.0026,0.0092,0.0066
2020-08-25,-0.0062,-0.0002,0.006
2020-08-24,-0.0108,-0.0033,0.0076
2020-08-21,-0.0302,-0.02,0.0103
2020-08-20,-0.0254,-0.0076,0.0178
2020-08-19,-0.0139,0.0103,0.0242
2020-08-18,-0.0006,0.027000000000000003,0.0277
2020-08-17,0.0143,0.0421,0.0278
2020-08-14,0.0307,0.0549,0.0242
2020-08-13,0.0382,0.0547,0.0166
2020-08-12,0.0565,0.0635,0.006999999999999999
2020-08-11,0.0543,0.0472,-0.0071
2020-08-10,0.0445,0.0238,-0.0207
2020-08-07,0.0254,-0.0064,-0.0318
2020-08-06,0.0109,-0.0272,-0.0382
2020-08-05,0.0052,-0.0357,-0.0409
2020-08-04,-0.0047,-0.0469,-0.0422
2020-08-03,-0.0353,-0.0764,-0.041
2020-07-31,-0.0423,-0.0745,-0.0322
2020-07-30,-0.0455,-0.0671,-0.0216
2020-07-29,-0.0454,-0.0557,-0.0102
2020-07-28,-0.0404,-0.0393,0.0011
2020-07-27,-0.0418,-0.0306,0.0112
2020-07-24,-0.0015,0.0202,0.0217
2020-07-23,0.0352,0.0573,0.0221
2020-07-22,0.0581,0.0713,0.0132
2020-07-21,0.064,0.0627,-0.0013
2020-07-20,0.0592,0.0419,-0.0173
2020-07-17,0.0862,0.0541,-0.0321
2020-07-16,0.0831,0.0295,-0.0536
2020-07-15,0.0584,-0.016,-0.0744
2020-07-14,0.0525,-0.0365,-0.08900000000000001
2020-07-13,0.0448,-0.0573,-0.1021
2020-07-10,0.05,-0.0633,-0.1133
2020-07-09,0.0193,-0.1064,-0.1258
2020-07-08,0.0286,-0.102,-0.1306
2020-07-07,0.0044,-0.1334,-0.1378
2020-07-06,-0.0192,-0.1581,-0.1389
2020-07-02,-0.0696,-0.2037,-0.1341
2020-07-01,-0.1026,-0.2193,-0.1167
2020-06-30,-0.1277,-0.2187,-0.091
2020-06-29,-0.1875,-0.2466,-0.0591
2020-06-26,-0.2355,-0.2478,-0.0122
2020-06-25,-0.2121,-0.1655,0.0466
2020-06-24,-0.2195,-0.1199,0.0997
2020-06-23,-0.1855,-0.0309,0.1545
2020-06-22,-0.198,0.0029,0.2009
2020-06-19,-0.1908,0.0596,0.2504
2020-06-18,-0.1863,0.1118,0.2981
2020-06-17,-0.1718,0.1729,0.3447
2020-06-16,-0.1306,0.257,0.3876
2020-06-15,-0.1098,0.3105,0.4203
2020-06-12,-0.0465,0.4013,0.4477
2020-06-11,0.0519,0.5113,0.4594
2020-06-10,0.2297,0.6761,0.4464
2020-06-09,0.2975,0.6864,0.389
2020-06-08,0.3287,0.6433,0.3146
2020-06-05,0.2877,0.5201,0.2324
2020-06-04,0.2391,0.3996,0.1605
2020-06-03,0.233,0.3337,0.1007
2020-06-02,0.2302,0.2727,0.0425
2020-06-01,0.2561,0.241,-0.0151
2020-05-29,0.282,0.2029,-0.0791
2020-05-28,0.3077,0.1581,-0.1496
2020-05-27,0.3058,0.0792,-0.2265
2020-05-26,0.2042,-0.0988,-0.303
2020-05-22,0.1288,-0.2252,-0.354
2020-05-21,0.0938,-0.2924,-0.3862
2020-05-20,0.0462,-0.3634,-0.4096
2020-05-19,-0.0101,-0.4313,-0.4212
2020-05-18,-0.0323,-0.4509,-0.4187
2020-05-15,-0.1061,-0.5167,-0.4106
2020-05-14,-0.099,-0.4831,-0.3841
2020-05-13,-0.0999,-0.4592,-0.3593
2020-05-12,-0.0405,-0.3748,-0.3343
2020-05-11,-0.0146,-0.3388,-0.3242
2020-05-08,-0.0146,-0.3352,-0.3206
2020-05-07,-0.0484,-0.3653,-0.3169
2020-05-06,-0.0068,-0.3116,-0.3048
2020-05-05,0.0743,-0.2288,-0.3031
2020-05-04,0.1101,-0.2115,-0.3217
2020-05-01,0.1763,-0.1729,-0.3492
2020-04-30,0.2433,-0.15,-0.3933
2020-04-29,0.2804,-0.1737,-0.4541
2020-04-28,0.2302,-0.294,-0.5242
2020-04-27,0.2137,-0.3681,-0.5818
2020-04-24,0.1886,-0.4466,-0.6352
2020-04-23,0.2221,-0.4602,-0.6823
2020-04-22,0.2873,-0.4506,-0.7379
2020-04-21,0.3808,-0.4289,-0.8097
2020-04-20,0.4714,-0.4335,-0.9049
2020-04-17,0.4824,-0.5403,-1.0228
2020-04-16,0.4505,-0.6929,-1.1434
2020-04-15,0.4817,-0.7743,-1.256
2020-04-14,0.5163,-0.8601,-1.3764
2020-04-13,0.4479,-1.0576,-1.5055
2020-04-09,0.414,-1.2035,-1.6175
