date,1. open,2. high,3. low,4. close,5. volume
2020-04-20,27.07,28.76,26.9,28.19,32131194.0
2020-04-17,28.69,28.79,27.26,28.0,34116449.0
2020-04-16,27.21,28.05,26.46,27.03,23550290.0
2020-04-15,26.82,27.79,26.44,27.41,18689359.0
2020-04-14,28.0,28.77,27.013,27.75,32605391.0
2020-04-13,27.04,28.08,26.47,27.99,24653803.0
2020-04-09,27.88,28.89,26.46,27.11,36154240.0
2020-04-08,26.0,27.8781,25.79,26.94,36136372.0
2020-04-07,27.95,28.11,25.5,25.74,36396389.0
2020-04-06,24.13,26.09,23.93,25.99,34662085.0
2020-04-03,23.73,23.79,21.67,22.82,40545236.0
2020-04-02,25.01,25.2,23.0,23.68,35810055.0
2020-04-01,26.5,26.767,24.8101,25.42,38443790.0
2020-03-31,27.75,28.25,26.92,27.92,43010169.0
2020-03-30,26.33,28.39,25.31,27.83,37712465.0
2020-03-27,25.82,28.03,25.07,27.28,40248566.0
2020-03-26,26.6,28.44,25.78,28.12,41329026.0
2020-03-25,26.18,28.45,25.3104,26.19,52437472.0
2020-03-24,24.41,26.84,23.59,26.39,58375504.0
2020-03-23,21.07,22.73,19.73,22.4,47716018.0
2020-03-20,22.53,23.89,20.61,21.33,76438637.0
2020-03-19,15.96,21.26,15.7,20.49,83667577.0
2020-03-18,17.76,17.8,13.71,14.82,78112230.0
2020-03-17,20.18,20.31,18.01,18.91,59930692.0
2020-03-16,20.15,21.49,19.1,20.29,56866479.0
2020-03-13,24.01,24.81,21.13,22.6,53690849.0
2020-03-12,23.26,24.69,22.11,22.61,53895194.0
2020-03-11,27.91,28.14,25.61,26.24,43058814.0
2020-03-10,29.47,29.86,27.0,28.97,36270126.0
2020-03-09,28.5,30.32,28.15,28.17,37236153.0
2020-03-06,31.23,32.41,30.45,31.68,34789937.0
2020-03-05,33.47,33.57,31.97,32.21,32731840.0
2020-03-04,33.93,35.34,32.28,34.53,44710637.0
2020-03-03,34.02,34.18,31.9,33.04,35155000.0
2020-03-02,34.05,34.08,31.74,32.85,46608585.0
2020-02-28,31.81,34.29,31.0,33.87,52040185.0
2020-02-27,32.03,34.16,30.67,32.45,66508155.0
2020-02-26,35.53,36.165,33.89,34.45,44051428.0
2020-02-25,38.9,39.15,35.5,35.89,49225946.0
2020-02-24,38.21,39.14,37.75,38.31,37065964.0
2020-02-21,40.89,40.89,40.05,40.72,20595487.0
2020-02-20,41.0,41.19,39.85,40.92,25424555.0
2020-02-19,40.42,41.23,40.115,41.05,23262355.0
2020-02-18,39.49,40.27,39.45,40.18,22149337.0
2020-02-14,40.02,40.31,38.7,39.66,31982524.0
2020-02-13,40.93,41.55,40.0,40.09,23825097.0
2020-02-12,41.5,41.86,41.065,41.25,26356665.0
2020-02-11,40.25,41.465,40.05,41.27,33815421.0
2020-02-10,40.65,41.34,39.96,40.01,60598515.0
2020-02-07,39.98,41.0,38.86,40.63,112227151.0
2020-02-06,37.3,37.39,36.73,37.09,51692672.0
2020-02-05,38.89,38.97,36.735,36.81,38376359.0
2020-02-04,37.87,38.99,37.26,38.53,32395798.0
2020-02-03,36.75,37.64,36.53,37.59,23508013.0
2020-01-31,37.0,37.04,35.69,36.29,21542533.0
2020-01-30,36.82,37.1319,35.95,36.68,22819624.0
2020-01-29,36.98,37.565,36.8,36.99,16862482.0
2020-01-28,37.14,37.33,36.04,37.01,28956988.0
2020-01-27,35.23,36.65,34.19,36.3,18809777.0
2020-01-24,37.5,37.665,36.25,36.8,21590367.0
2020-01-23,36.97,37.95,36.725,37.4,21350139.0
2020-01-22,37.94,37.94,36.92,37.04,29751282.0
2020-01-21,35.5,37.8,35.41,37.6,48679743.0
2020-01-17,34.97,35.25,34.65,35.13,16917931.0
2020-01-16,35.03,35.06,34.18,34.68,21952988.0
2020-01-15,34.9,35.1493,34.51,35.01,20746402.0
2020-01-14,34.2,35.02,33.92,34.84,26018863.0
2020-01-13,34.29,34.34,33.55,34.14,16915147.0
2020-01-10,34.08,34.99,33.835,34.01,34266147.0
2020-01-09,34.45,34.47,33.22,33.97,29385462.0
2020-01-08,32.73,34.52,32.46,33.93,43944447.0
2020-01-07,31.79,32.84,31.36,32.81,30125807.0
2020-01-06,31.01,32.06,31.0,31.58,21203179.0
2020-01-03,30.62,31.43,30.48,31.37,18822047.0
2020-01-02,29.94,31.0,29.79,30.99,20577141.0
2019-12-31,29.11,29.95,28.9,29.74,16228113.0
2019-12-30,30.13,30.2,29.35,29.74,18806151.0
2019-12-27,30.8,31.06,30.17,30.17,18461904.0
2019-12-26,30.47,30.79,30.03,30.67,22199840.0
2019-12-24,30.33,30.84,30.11,30.44,12938593.0
2019-12-23,30.49,30.94,29.83,30.33,31208559.0
2019-12-20,30.1,31.03,29.85,30.45,95454828.0
2019-12-19,29.84,30.17,29.5301,29.99,33799359.0
2019-12-18,29.62,30.14,29.34,30.13,35374338.0
2019-12-17,30.37,30.42,29.53,29.75,38247979.0
2019-12-16,29.11,30.13,29.1,30.05,57368662.0
2019-12-13,28.58,28.84,28.27,28.49,25431469.0
2019-12-12,28.29,28.75,28.19,28.69,23569671.0
2019-12-11,27.99,28.545,27.8497,28.42,23234481.0
