date,MACD,MACD_Hist,MACD_Signal
2021-01-29,-0.1559,-0.8479,0.6919
2021-01-28,0.0419,-0.862,0.9039
2021-01-27,0.2275,-0.8919,1.1194
2021-01-26,0.8145,-0.5279,1.3424
2021-01-25,1.1639,-0.3105,1.4744
2021-01-22,1.3516,-0.2004,1.552
2021-01-21,1.5695,-0.0326,1.6021
2021-01-20,1.6741,0.0639,1.6102
2021-01-19,1.7232,0.1289,1.5943
2021-01-15,1.7689,0.2068,1.5621
2021-01-14,1.881,0.3706,1.5103
2021-01-13,1.8551,0.4374,1.4177
2021-01-12,1.5416,0.2332,1.3083
2021-01-11,1.2065,-0.0435,1.25
2021-01-08,1.1636,-0.0973,1.2609
2021-01-07,1.2251,-0.0601,1.2852
2021-01-06,0.9958,-0.3045,1.3003
2021-01-05,1.0601,-0.3163,1.3764
2021-01-04,0.9711,-0.4844,1.4555
2020-12-31,1.1355,-0.441,1.5765
2020-12-30,1.3431,-0.3437,1.6868
2020-12-29,1.3697,-0.403,1.7727
2020-12-28,1.4733,-0.4002,1.8735
2020-12-24,1.6146,-0.3589,1.9735
2020-12-23,1.6788,-0.3844,2.0632
2020-12-22,1.6519,-0.5075,2.1594
2020-12-21,1.5863,-0.6999,2.2862
2020-12-18,1.6812,-0.78,2.4612
2020-12-17,1.898,-0.7582,2.6562
2020-12-16,2.146,-0.6997,2.8457
2020-12-15,2.4457,-0.575,3.0207
2020-12-14,2.7406,-0.4238,3.1644
2020-12-11,3.0304,-0.2399,3.2703
2020-12-10,3.2371,-0.0933,3.3303
2020-12-09,3.2786,-0.075,3.3536
2020-12-08,3.341,-0.0314,3.3724
2020-12-07,3.4514,0.0712,3.3802
2020-12-04,3.4617,0.0993,3.3624
2020-12-03,3.3166,-0.021,3.3376
2020-12-02,3.3214,-0.0215,3.3429
2020-12-01,3.2211,-0.1271,3.3483
2020-11-30,3.3986,0.0186,3.38
2020-11-27,3.5727,0.1973,3.3754
2020-11-25,3.6349,0.3088,3.3261
2020-11-24,3.6534,0.4045,3.2489
2020-11-23,3.5769,0.4292,3.1477
2020-11-20,3.5515,0.5111,3.0404
2020-11-19,3.6314,0.7187,2.9127
2020-11-18,3.5961,0.8631,2.733
2020-11-17,3.5139,0.9966,2.5172
2020-11-16,3.3803,1.1122,2.2681
2020-11-13,3.128,1.138,1.99
2020-11-12,2.9234,1.2179,1.7055
2020-11-11,2.7429,1.3419,1.401
2020-11-10,2.49,1.4245,1.0656
2020-11-09,2.0526,1.3432,0.7095
2020-11-06,1.3443,0.9706,0.3737
2020-11-05,0.7577,0.6267,0.131
2020-11-04,0.2943,0.3199,-0.0257
2020-11-03,-0.2028,-0.0971,-0.1057
2020-11-02,-0.3027,-0.2213,-0.0814
2020-10-30,-0.3282,-0.3021,-0.026
2020-10-29,-0.2133,-0.2628,0.0495
2020-10-28,-0.1298,-0.245,0.1152
2020-10-27,0.0204,-0.156,0.1764
2020-10-26,0.16,-0.0554,0.2154
2020-10-23,0.2003,-0.029,0.2293
2020-10-22,0.1206,-0.1159,0.2365
2020-10-21,0.0222,-0.2433,0.2655
2020-10-20,0.049,-0.2773,0.3263
2020-10-19,-0.0306,-0.4262,0.3957
2020-10-16,0.0812,-0.421,0.5022
2020-10-15,0.2735,-0.3339,0.6075
2020-10-14,0.4601,-0.2309,0.6909
2020-10-13,0.6049,-0.1437,0.7486
2020-10-12,0.7352,-0.0494,0.7846
2020-10-09,0.8195,0.0226,0.7969
2020-10-08,0.8124,0.0211,0.7913
2020-10-07,0.7843,-0.0017,0.786
2020-10-06,0.7941,0.0077,0.7864
2020-10-05,0.848,0.0635,0.7845
2020-10-02,0.8149,0.0463,0.7686
2020-10-01,0.7017,-0.0554,0.757
2020-09-30,0.606,-0.1649,0.7709
2020-09-29,0.5423,-0.2698,0.8121
2020-09-28,0.56,-0.3195,0.8795
2020-09-25,0.5613,-0.3982,0.9594
2020-09-24,0.6667,-0.3923,1.059
2020-09-23,0.9045,-0.2525,1.157
2020-09-22,1.1746,-0.0456,1.2202
2020-09-21,1.4157,0.1841,1.2315
2020-09-18,1.49,0.3045,1.1855
2020-09-17,1.499,0.3897,1.1094
2020-09-16,1.4949,0.4829,1.012
2020-09-15,1.4068,0.5155,0.8912
2020-09-14,1.2931,0.5308,0.7624
2020-09-11,1.0805,0.4508,0.6297
2020-09-10,0.892,0.375,0.517
2020-09-09,0.7404,0.3171,0.4232
2020-09-08,0.6348,0.2909,0.3439
2020-09-04,0.5611,0.2898,0.2712
2020-09-03,0.5688,0.37,0.1988
2020-09-02,0.553,0.4468,0.1063
2020-09-01,0.4271,0.4326,-0.0054
2020-08-31,0.2673,0.3809,-0.1136
2020-08-28,0.1277,0.3365,-0.2088
2020-08-27,-0.0696,0.2233,-0.2929
2020-08-26,-0.2187,0.1301,-0.3488
2020-08-25,-0.3548,0.0264,-0.3813
2020-08-24,-0.4105,-0.0226,-0.3879
2020-08-21,-0.4602,-0.078,-0.3823
2020-08-20,-0.4956,-0.1329,-0.3628
2020-08-19,-0.5927,-0.2631,-0.3295
2020-08-18,-0.5053,-0.2416,-0.2638
2020-08-17,-0.4537,-0.2503,-0.2034
2020-08-14,-0.32,-0.1792,-0.1408
2020-08-13,-0.1968,-0.1008,-0.096
2020-08-12,-0.0844,-0.0136,-0.0708
2020-08-11,0.0215,0.0889,-0.0674
2020-08-10,0.1188,0.2084,-0.0896
2020-08-07,0.1332,0.275,-0.1417
2020-08-06,0.0856,0.2961,-0.2105
2020-08-05,-0.1608,0.1237,-0.2845
