date,MACD_Hist,MACD,MACD_Signal
2021-01-29,-2.7969,-1.9067,0.8902
2021-01-28,-2.5708,-0.9813,1.5895
2021-01-27,-2.4834,-0.2512,2.2321
2021-01-26,-1.6433,1.2097,2.853
2021-01-25,-1.2374,2.0264,3.2638
2021-01-22,-1.0125,2.5607,3.5732
2021-01-21,-0.5944,3.2319,3.8263
2021-01-20,-0.6918,3.2831,3.9749
2021-01-19,-0.4236,3.7242,4.1478
2021-01-15,-0.1581,4.0956,4.2537
2021-01-14,0.3075,4.6007,4.2933
2021-01-13,1.0405,5.2569,4.2164
2021-01-12,1.6025,5.5588,3.9562
2021-01-11,2.0704,5.626,3.5556
2021-01-08,2.2477,5.2858,3.038
2021-01-07,2.0297,4.5058,2.4761
2021-01-06,1.3092,3.2778,1.9686
2021-01-05,0.6079,2.2493,1.6414
2021-01-04,0.8877,2.377,1.4894
2020-12-31,0.7596,2.027,1.2674
2020-12-30,0.353,1.4306,1.0776
2020-12-29,0.2386,1.2279,0.9893
2020-12-28,-0.2186,0.711,0.9296
2020-12-24,-0.8008,0.1835,0.9843
2020-12-23,-1.1515,0.0329,1.1845
2020-12-22,-1.3063,0.1661,1.4724
2020-12-21,-1.2026,0.5963,1.799
2020-12-18,-1.0718,1.0278,2.0996
2020-12-17,-1.0381,1.3294,2.3676
2020-12-16,-1.267,1.3601,2.6271
2020-12-15,-1.3272,1.6166,2.9439
2020-12-14,-1.3887,1.887,3.2757
2020-12-11,-1.0577,2.5651,3.6228
2020-12-10,-0.5897,3.2975,3.8873
2020-12-09,-0.113,3.9217,4.0347
2020-12-08,0.1138,4.1768,4.0629
2020-12-07,0.0558,4.0903,4.0345
2020-12-04,-0.1002,3.9203,4.0205
2020-12-03,-0.6059,3.4397,4.0456
2020-12-02,-1.1712,3.0259,4.1971
2020-12-01,-1.9226,2.5672,4.4898
2020-11-30,-2.3797,2.5908,4.9705
2020-11-27,-2.4902,3.0752,5.5654
2020-11-25,-2.7015,3.4865,6.188
2020-11-24,-2.4207,4.4426,6.8633
2020-11-23,-2.1563,5.3123,7.4685
2020-11-20,-1.5662,6.4414,8.0076
2020-11-19,-0.5738,7.8253,8.3992
2020-11-18,0.702,9.2446,8.5426
2020-11-17,1.7925,10.1597,8.3671
2020-11-16,2.4908,10.4098,7.919
2020-11-13,2.8026,10.0989,7.2963
2020-11-12,3.0761,9.6717,6.5956
2020-11-11,3.2871,9.1137,5.8266
2020-11-10,3.539,8.5438,5.0048
2020-11-09,3.3702,7.4903,4.1201
2020-11-06,3.1334,6.411,3.2776
2020-11-05,2.7037,5.1979,2.4942
2020-11-04,1.0515,2.8698,1.8183
2020-11-03,-1.715,-0.1596,1.5554
2020-11-02,-2.6387,-0.6546,1.9842
2020-10-30,-2.9822,-0.3384,2.6438
2020-10-29,-2.6131,0.7763,3.3894
2020-10-28,-1.7069,2.3358,4.0427
2020-10-27,-0.6154,3.8541,4.4694
2020-10-26,-0.1566,4.4666,4.6232
2020-10-23,0.2624,4.9248,4.6624
2020-10-22,0.0762,4.673,4.5968
2020-10-21,0.2001,4.7778,4.5777
2020-10-20,0.6125,5.1403,4.5277
2020-10-19,1.0907,5.4652,4.3746
2020-10-16,1.6164,5.7184,4.1019
2020-10-15,1.6842,5.382,3.6978
2020-10-14,2.1384,5.4151,3.2768
2020-10-13,2.9125,5.6546,2.7422
2020-10-12,2.8931,4.9071,2.014
2020-10-09,2.738,4.0288,1.2908
2020-10-08,2.4589,3.0652,0.6063
2020-10-07,2.3501,2.3416,-0.0085
2020-10-06,1.9029,1.3069,-0.596
2020-10-05,1.9237,0.852,-1.0717
2020-10-02,1.4361,-0.1165,-1.5526
2020-10-01,1.1867,-0.725,-1.9117
2020-09-30,0.6067,-1.6016,-2.2083
2020-09-29,-0.2054,-2.5654,-2.36
2020-09-28,-0.6764,-2.985,-2.3087
2020-09-25,-1.2444,-3.3839,-2.1396
2020-09-24,-1.9413,-3.7698,-1.8285
2020-09-23,-1.866,-3.2091,-1.3432
2020-09-22,-1.5174,-2.3941,-0.8767
2020-09-21,-1.0368,-1.5341,-0.4973
2020-09-18,-0.6761,-0.9142,-0.2381
2020-09-17,-0.9366,-1.0056,-0.0691
2020-09-16,-0.9643,-0.7993,0.1651
2020-09-15,-1.0866,-0.6805,0.4061
2020-09-14,-1.2687,-0.591,0.6778
2020-09-11,-1.599,-0.6041,0.995
2020-09-10,-1.2875,0.1073,1.3947
2020-09-09,-0.8919,0.8247,1.7166
2020-09-08,-0.9608,0.9788,1.9396
2020-09-04,-0.5367,1.6431,2.1798
2020-09-03,-0.3267,1.9872,2.3139
2020-09-02,-0.4255,1.9701,2.3956
2020-09-01,-0.9876,1.5144,2.502
2020-08-31,-1.0894,1.6595,2.7489
2020-08-28,-1.1724,1.8489,3.0212
2020-08-27,-1.4346,1.8797,3.3143
2020-08-26,-1.5083,2.1646,3.673
2020-08-25,-1.2654,2.7847,4.05
2020-08-24,-1.1743,3.1921,4.3664
2020-08-21,-0.6528,4.0072,4.66
2020-08-20,-0.3695,4.4537,4.8232
2020-08-19,0.1252,5.0407,4.9155
2020-08-18,0.6233,5.5075,4.8842
2020-08-17,1.1523,5.8807,4.7284
2020-08-14,1.4573,5.8977,4.4404
2020-08-13,1.4352,5.5112,4.076
2020-08-12,1.4409,5.1581,3.7172
2020-08-11,1.1996,4.5566,3.357
2020-08-10,1.3444,4.4015,3.0571
2020-08-07,1.0598,3.7808,2.721
2020-08-06,0.6868,3.1428,2.4561
2020-08-05,0.2985,2.5829,2.2844
2020-08-04,-0.2185,1.9912,2.2098
2020-08-03,-0.252,2.0124,2.2644
2020-07-31,-0.2274,2.1,2.3274
2020-07-30,-0.1191,2.2652,2.3843
2020-07-29,-0.2185,2.1955,2.414
2020-07-28,-0.5405,1.9282,2.4687
2020-07-27,-0.3629,2.2409,2.6038
2020-07-24,0.0474,2.7418,2.6945
2020-07-23,0.4374,3.1201,2.6827
2020-07-22,0.7639,3.3372,2.5733
2020-07-21,0.8055,3.1878,2.3823
2020-07-20,0.9316,3.1125,2.181
2020-07-17,1.1898,3.1379,1.9481
2020-07-16,1.1638,2.8144,1.6506
2020-07-15,0.9383,2.2979,1.3597
2020-07-14,0.7914,1.9165,1.1251
2020-07-13,0.0249,0.9521,0.9273
2020-07-10,-0.3235,0.5976,0.921
2020-07-09,-0.0088,0.9931,1.0019
2020-07-08,0.4865,1.4906,1.0041
2020-07-07,0.494,1.3764,0.8825
2020-07-06,0.6245,1.3835,0.759
2020-07-02,0.147,0.7499,0.6029
2020-07-01,-0.176,0.3901,0.5661
2020-06-30,-0.6314,-0.0213,0.6101
2020-06-29,-1.0331,-0.2652,0.768
2020-06-26,-1.0745,-0.0482,1.0262
2020-06-25,-0.7745,0.5204,1.2949
2020-06-24,-1.1936,0.2948,1.4885
2020-06-23,-1.0729,0.714,1.7869
2020-06-22,-1.6672,0.3879,2.0551
2020-06-19,-2.0078,0.4641,2.4719
2020-06-18,-2.2747,0.6992,2.9739
2020-06-17,-2.4519,1.0906,3.5425
2020-06-16,-2.6938,1.4617,4.1555
2020-06-15,-2.9551,1.8738,4.8289
2020-06-12,-2.5191,3.0486,5.5677
2020-06-11,-1.58,4.6175,6.1975
2020-06-10,0.1031,6.6956,6.5925
2020-06-09,0.4686,7.0353,6.5667
2020-06-08,0.5689,7.0185,6.4496
2020-06-05,0.5604,6.8678,6.3074
2020-06-04,0.1698,6.337,6.1673
2020-06-03,0.828,6.9528,6.1248
2020-06-02,0.9884,6.9062,5.9179
2020-06-01,0.979,6.6498,5.6708
2020-05-29,0.8379,6.2639,5.426
2020-05-28,0.5724,5.789,5.2165
2020-05-27,0.1137,5.1871,5.0734
2020-05-26,-0.6815,4.3635,5.045
2020-05-22,-1.0731,4.1423,5.2154
2020-05-21,-1.186,4.2976,5.4837
2020-05-20,-1.0419,4.7382,5.7802
2020-05-19,-0.9176,5.1231,6.0406
2020-05-18,-0.837,5.4331,6.27
2020-05-15,-1.1632,5.3161,6.4793
2020-05-14,-1.4392,5.3309,6.7701
2020-05-13,-1.8223,5.3075,7.1299
2020-05-12,-1.1163,6.4691,7.5854
2020-05-11,-0.9828,6.8817,7.8645
2020-05-08,-0.9016,7.2087,8.1102
2020-05-07,-0.6445,7.6912,8.3356
2020-05-06,-0.1004,8.3963,8.4967
2020-05-05,0.2731,8.795,8.5218
2020-05-04,0.2927,8.7463,8.4536
2020-05-01,0.7298,9.1102,8.3804
2020-04-30,1.5491,9.7471,8.1979
2020-04-29,1.8067,9.6173,7.8106
2020-04-28,2.4378,9.7968,7.359
2020-04-27,3.0623,9.8119,6.7495
2020-04-24,3.1391,9.123,5.9839
