date,MFI
2021-01-19,47.3534
2021-01-15,45.9442
2021-01-14,52.0378
2021-01-13,58.6751
2021-01-12,63.7189
2021-01-11,63.1354
2021-01-08,55.2749
2021-01-07,54.6756
2021-01-06,48.193999999999996
2021-01-05,42.9064
2021-01-04,49.8725
2020-12-31,51.4804
2020-12-30,45.2433
2020-12-29,44.4158
2020-12-28,38.4746
2020-12-24,32.2134
2020-12-23,35.3103
2020-12-22,38.0652
2020-12-21,39.2341
2020-12-18,46.489
2020-12-17,50.2529
2020-12-16,49.0935
2020-12-15,48.2765
2020-12-14,49.5492
2020-12-11,43.9795
2020-12-10,43.4043
2020-12-09,42.4705
2020-12-08,42.3504
2020-12-07,42.2528
2020-12-04,48.7042
2020-12-03,47.8017
2020-12-02,46.3297
2020-12-01,45.3437
2020-11-30,36.5252
2020-11-27,48.0408
2020-11-25,42.9545
2020-11-24,51.9164
2020-11-23,58.1897
2020-11-20,63.7393
2020-11-19,70.6345
2020-11-18,71.5822
2020-11-17,71.3732
2020-11-16,70.8813
2020-11-13,66.3463
2020-11-12,61.9692
2020-11-11,61.4403
2020-11-10,61.3578
2020-11-09,63.5375
2020-11-06,57.4245
2020-11-05,58.2472
2020-11-04,56.6099
2020-11-03,40.1048
2020-11-02,29.8515
2020-10-30,27.0617
2020-10-29,34.1129
2020-10-28,40.5353
2020-10-27,47.4418
2020-10-26,54.2911
2020-10-23,54.3314
2020-10-22,53.3015
2020-10-21,53.4925
2020-10-20,60.0293
2020-10-19,66.7757
2020-10-16,68.2492
2020-10-15,67.4376
2020-10-14,75.6412
2020-10-13,79.9132
2020-10-12,70.2909
2020-10-09,62.1775
2020-10-08,53.4554
2020-10-07,55.3868
2020-10-06,48.9221
2020-10-05,56.385
2020-10-02,56.1495
2020-10-01,55.4999
2020-09-30,48.1101
2020-09-29,40.3101
2020-09-28,45.5674
2020-09-25,38.9465
2020-09-24,32.3399
2020-09-23,31.3374
2020-09-22,39.1413
2020-09-21,39.6641
2020-09-18,50.3152
2020-09-17,49.2071
2020-09-16,55.2408
2020-09-15,46.7363
2020-09-14,47.3073
2020-09-11,41.5068
2020-09-10,42.0329
2020-09-09,42.1726
2020-09-08,36.6717
2020-09-04,36.6579
2020-09-03,36.7725
2020-09-02,43.8574
2020-09-01,36.6837
2020-08-31,44.336000000000006
2020-08-28,33.6122
2020-08-27,33.0897
2020-08-26,33.7054
2020-08-25,42.835
2020-08-24,44.5804
2020-08-21,53.2419
2020-08-20,59.9705
2020-08-19,57.6253
2020-08-18,57.555
2020-08-17,64.1817
2020-08-14,70.8354
2020-08-13,65.8153
2020-08-12,65.618
2020-08-11,58.9229
2020-08-10,65.9552
2020-08-07,65.649
2020-08-06,58.9399
2020-08-05,58.5448
2020-08-04,59.434
2020-08-03,47.9223
2020-07-31,49.9957
2020-07-30,59.8201
2020-07-29,59.6947
2020-07-28,52.8364
2020-07-27,47.7824
2020-07-24,47.7706
2020-07-23,53.5725
2020-07-22,58.9074
2020-07-21,59.2243
2020-07-20,59.6935
2020-07-17,59.8906
2020-07-16,50.3697
2020-07-15,49.3312
2020-07-14,51.6219
2020-07-13,51.2326
2020-07-10,43.044
2020-07-09,52.4583
2020-07-08,52.6767
2020-07-07,58.001000000000005
2020-07-06,64.7326
2020-07-02,56.8448
2020-07-01,49.0692
2020-06-30,40.9058
2020-06-29,35.1375
2020-06-26,34.5691
2020-06-25,43.5068
2020-06-24,46.1598
2020-06-23,45.3199
2020-06-22,45.7532
2020-06-19,49.973
2020-06-18,42.9284
2020-06-17,40.4217
2020-06-16,42.3248
2020-06-15,43.6497
2020-06-12,50.4791
2020-06-11,56.9555
2020-06-10,59.8127
2020-06-09,60.0975
2020-06-08,60.2991
2020-06-05,59.7071
2020-06-04,63.6422
2020-06-03,70.9831
2020-06-02,63.4662
2020-06-01,64.1559
2020-05-29,68.7532
2020-05-28,77.0986
2020-05-27,71.7123
2020-05-26,66.0014
2020-05-22,64.7803
2020-05-21,64.7491
2020-05-20,64.874
2020-05-19,72.3726
2020-05-18,71.0632
2020-05-15,64.9582
2020-05-14,59.566
2020-05-13,57.7689
