date,1. open,2. high,3. low,4. close,5. volume
2021-01-15,10.71,11.27,10.5,10.9,91727609.0
2021-01-14,10.18,10.58,10.0,10.49,53094509.0
2021-01-13,10.56,10.67,10.18,10.32,57336726.0
2021-01-12,10.74,11.2287,10.51,10.57,57408277.0
2021-01-11,10.77,11.18,10.52,11.09,68085209.0
2021-01-08,10.25,10.75,10.1,10.21,75704938.0
2021-01-07,10.62,10.709,10.34,10.35,63126122.0
2021-01-06,11.28,11.79,10.375,11.35,132643518.0
2021-01-05,12.48,12.485,11.3,11.47,71282339.0
2021-01-04,10.64,12.57,10.62,12.03,108766826.0
2020-12-31,10.65,10.92,10.35,10.65,44895208.0
2020-12-30,11.2,11.28,10.61,10.7,41177630.0
2020-12-29,10.48,11.6,10.46,11.28,55958499.0
2020-12-28,10.52,10.72,10.45,10.69,23925493.0
2020-12-24,11.01,11.0204,10.76,10.76,20490410.0
2020-12-23,11.6,11.63,10.93,11.26,42879673.0
2020-12-22,12.08,12.34,11.88,11.97,39071863.0
2020-12-21,12.64,13.3,11.93,12.25,84754107.0
2020-12-18,10.81,11.47,10.8,11.02,48257011.0
2020-12-17,10.95,11.029000000000002,10.54,10.68,33587316.0
2020-12-16,11.45,11.605,10.9,10.91,30307916.0
2020-12-15,11.9,12.12,11.45,11.48,37646646.0
2020-12-14,11.32,12.36,11.18,12.36,39200222.0
2020-12-11,11.7,12.38,11.45,11.94,62546541.0
2020-12-10,11.2599,11.4,10.83,11.28,46242027.0
2020-12-09,10.38,11.28,10.26,11.14,69356493.0
2020-12-08,11.27,11.3,10.55,10.57,32992225.0
2020-12-07,11.22,11.32,11.07,11.12,25584965.0
2020-12-04,11.14,11.16,10.9,11.06,28186638.0
2020-12-03,11.0,11.5,10.95,11.35,28192282.0
2020-12-02,11.32,11.33,10.84,11.19,36902099.0
2020-12-01,11.0,11.35,10.86,11.29,40723658.0
2020-11-30,11.55,12.1,11.11,11.15,44806836.0
2020-11-27,11.19,11.58,11.05,11.44,18787365.0
2020-11-25,12.04,12.25,11.3,11.3,39466564.0
2020-11-24,11.93,12.3,11.9,11.99,31970842.0
2020-11-23,12.29,12.68,12.0,12.3,37871015.0
2020-11-20,12.58,12.6299,12.19,12.51,36053713.0
2020-11-19,12.74,13.03,12.28,12.6,35587311.0
2020-11-18,12.07,12.96,11.88,12.88,45074822.0
2020-11-17,12.95,13.07,12.23,12.25,40709899.0
2020-11-16,12.55,13.28,12.54,12.6,32581500.0
2020-11-13,13.66,13.66,12.73,13.05,44187236.0
2020-11-12,13.3,14.82,13.09,14.37,68487069.0
2020-11-11,13.18,13.44,12.64,13.06,34220445.0
2020-11-10,13.63,14.4,13.45,13.49,36231625.0
2020-11-09,13.14,14.18,12.18,14.18,54605565.0
2020-11-06,16.0101,16.0797,14.63,14.67,53209559.0
2020-11-05,15.89,16.53,15.65,16.21,33461471.0
2020-11-04,18.0,18.0501,16.5,16.67,55513703.0
2020-11-03,19.97,20.1566,18.79,19.18,50097681.0
2020-11-02,20.13,21.36,20.06,20.88,51415746.0
2020-10-30,21.21,22.22,20.74,21.58,58385899.0
2020-10-29,22.46,23.13,19.68,20.68,56381149.0
2020-10-28,21.23,23.2,20.8523,23.14,94240672.0
2020-10-27,18.97,19.56,18.465,19.07,37536673.0
2020-10-26,17.31,19.4,17.047,18.99,62410711.0
2020-10-23,16.6,17.27,16.54,16.72,20279497.0
2020-10-22,17.23,17.47,16.44,16.68,24574796.0
2020-10-21,17.77,18.12,17.11,17.27,31359060.0
2020-10-20,17.75,18.08,17.51,17.9,28551580.0
2020-10-19,16.7,18.1,16.64,17.93,35906988.0
2020-10-16,16.62,16.83,16.25,16.79,21694148.0
2020-10-15,17.52,17.75,16.58,16.67,33841982.0
2020-10-14,16.48,16.84,16.06,16.44,32299336.0
2020-10-13,16.67,17.2,16.49,16.67,27907155.0
2020-10-12,16.42,16.8599,16.3,16.39,22250922.0
2020-10-09,17.44,17.49,16.86,16.89,33258082.0
