date,MACD_Hist,MACD,MACD_Signal
2021-02-12,-0.1215,-0.5143,-0.3928
2021-02-11,-0.11900000000000001,-0.4511,-0.3321
2021-02-10,-0.1596,-0.4322,-0.2726
2021-02-09,-0.2589,-0.4517,-0.1928
2021-02-08,-0.3343,-0.3976,-0.0633
2021-02-05,-0.3794,-0.2756,0.1038
2021-02-04,-0.3679,-0.0744,0.2935
2021-02-03,-0.2346,0.2429,0.4775
2021-02-02,-0.0154,0.5793,0.5948
2021-02-01,0.2801,0.8825,0.6025
2021-01-29,0.508,0.3647,-0.1432
2021-01-28,0.3875,0.1172,-0.2702
2021-01-27,0.289,-0.0782,-0.3671
2021-01-26,0.0692,-0.3702,-0.4394
2021-01-25,0.0571,-0.3995,-0.4566
2021-01-22,0.0093,-0.4617,-0.4709
2021-01-21,0.0061,-0.4671,-0.4732
2021-01-20,0.0269,-0.4479,-0.4748
2021-01-19,0.0514,-0.4301,-0.4815
2021-01-15,0.0637,-0.4306,-0.4944
2021-01-14,0.0364,-0.4739,-0.5103
2021-01-13,0.0388,-0.4806,-0.5194
2021-01-12,0.0643,-0.4647,-0.5291
2021-01-11,0.0819,-0.4632,-0.5452
2021-01-08,0.0581,-0.5075,-0.5656
2021-01-07,0.1131,-0.467,-0.5802
2021-01-06,0.1856,-0.4229,-0.6085
2021-01-05,0.1928,-0.4621,-0.6549
2021-01-04,0.1853,-0.5177,-0.7031
2020-12-31,0.1112,-0.6382,-0.7494
2020-12-30,0.135,-0.6422,-0.7772
2020-12-29,0.1679,-0.643,-0.8109
2020-12-28,0.1591,-0.6938,-0.8529
2020-12-24,0.2042,-0.6884,-0.8927
2020-12-23,0.265,-0.6787,-0.9437
2020-12-22,0.3027,-0.7073,-1.01
2020-12-21,0.2798,-0.8058,-1.0857
2020-12-18,0.2073,-0.9483,-1.1556
2020-12-17,0.2162,-0.9912,-1.2074
2020-12-16,0.2645,-0.9969,-1.2615
2020-12-15,0.3145,-1.0131,-1.3276
2020-12-14,0.3291,-1.0771,-1.4062
2020-12-11,0.2558,-1.2327,-1.4885
2020-12-10,0.1819,-1.3706,-1.5525
2020-12-09,0.1385,-1.4594,-1.598
2020-12-08,0.0952,-1.5374,-1.6326
2020-12-07,0.0999,-1.5565,-1.6564
2020-12-04,0.0672,-1.6142,-1.6814
2020-12-03,0.0399,-1.6583,-1.6982
2020-12-02,-0.0118,-1.7199,-1.7082
2020-12-01,-0.0521,-1.7573,-1.7052
2020-11-30,-0.0975,-1.7897,-1.6922
2020-11-27,-0.1229,-1.7907,-1.6678
