date,MFI
1999-11-19,45.9915
1999-11-22,47.1527
1999-11-23,39.7904
1999-11-24,43.7899
1999-11-26,40.1489
1999-11-29,40.1489
1999-11-30,37.429
1999-12-01,35.7804
1999-12-02,61.8226
1999-12-03,46.8331
1999-12-06,61.5843
1999-12-07,59.9562
1999-12-08,66.8971
1999-12-09,70.4698
1999-12-10,57.1394
1999-12-13,59.5835
1999-12-14,61.9055
1999-12-15,57.5133
1999-12-16,64.7874
1999-12-17,64.7874
1999-12-20,68.2154
1999-12-21,64.7156
1999-12-22,65.166
1999-12-23,61.4163
1999-12-27,57.8622
1999-12-28,61.6665
1999-12-29,56.291
1999-12-30,51.5487
1999-12-31,80.3592
2000-01-03,72.3364
2000-01-04,68.6293
2000-01-05,68.6293
2000-01-06,27.3438
2000-01-07,27.3438
2000-01-10,27.3438
2000-01-11,48.5182
2000-01-12,65.9095
2000-01-13,52.9124
2000-01-14,63.8182
2000-01-18,58.0154
2000-01-19,89.2777
2000-01-20,84.9616
2000-01-21,92.4702
2000-01-24,96.0297
2000-01-25,96.872
2000-01-26,96.872
2000-01-27,97.9434
2000-01-28,97.9434
2000-01-31,91.2255
2000-02-01,81.2548
2000-02-02,80.1941
2000-02-03,81.114
2000-02-04,82.124
2000-02-07,82.565
2000-02-08,80.4803
2000-02-09,83.5938
2000-02-10,86.1561
2000-02-11,84.1678
2000-02-14,79.055
2000-02-15,76.8643
2000-02-16,71.3458
2000-02-17,73.1748
2000-02-18,74.5522
2000-02-22,85.7051
2000-02-23,69.5545
2000-02-24,73.2036
2000-02-25,77.1928
2000-02-28,74.3286
2000-02-29,73.9413
2000-03-01,74.3301
2000-03-02,67.2849
2000-03-03,64.5309
2000-03-06,67.4087
2000-03-07,73.0561
2000-03-08,65.6298
2000-03-09,58.8224
2000-03-10,55.0459
2000-03-13,52.0952
2000-03-14,60.5284
2000-03-15,60.3579
2000-03-16,46.3747
2000-03-17,49.2719
2000-03-20,49.471
2000-03-21,43.4557
2000-03-22,43.4616
2000-03-23,44.5551
2000-03-24,43.5157
2000-03-27,35.7633
2000-03-28,42.4167
2000-03-29,50.3743
2000-03-30,66.5016
2000-03-31,65.0601
2000-04-03,58.698
2000-04-04,42.5718
2000-04-05,59.7481
2000-04-06,56.4166
2000-04-07,55.661
2000-04-10,56.1275
2000-04-11,56.6119
2000-04-12,51.0131
2000-04-13,37.1214
2000-04-14,18.2535
2000-04-17,20.6746
2000-04-18,19.0819
2000-04-19,25.0362
2000-04-20,21.8514
2000-04-24,18.5878
2000-04-25,19.7609
2000-04-26,29.2268
2000-04-27,39.0841
2000-04-28,39.0841
2000-05-01,38.9524
2000-05-02,38.6392
2000-05-03,41.0778
2000-05-04,49.6673
2000-05-05,56.4113
2000-05-08,59.1834
2000-05-09,58.43
2000-05-10,48.9904
2000-05-11,36.6821
2000-05-12,66.3789
2000-05-15,67.71
2000-05-16,63.4589
2000-05-17,56.9281
2000-05-18,56.9281
2000-05-19,64.1671
2000-05-22,28.0305
2000-05-23,27.0191
2000-05-24,22.8135
2000-05-25,31.6184
2000-05-26,32.0343
2000-05-30,32.355
2000-05-31,37.9275
2000-06-01,43.4792
2000-06-02,38.5492
2000-06-05,36.9539
2000-06-06,39.4323
2000-06-07,40.4244
2000-06-08,40.2972
2000-06-09,36.8981
2000-06-12,74.3779
2000-06-13,76.2287
2000-06-14,86.3372
2000-06-15,82.2501
2000-06-16,82.0431
2000-06-19,87.1923
2000-06-20,83.0534
2000-06-21,79.8851
2000-06-22,74.9282
2000-06-23,80.1317
2000-06-26,74.9459
2000-06-27,73.7745
2000-06-28,50.9386
2000-06-29,50.9386
2000-06-30,19.2076
2000-07-03,18.7571
2000-07-05,31.2695
2000-07-06,65.3786
2000-07-07,64.895
2000-07-10,67.1331
2000-07-11,67.1331
2000-07-12,66.6815
2000-07-13,66.2359
2000-07-14,72.7484
2000-07-17,72.9034
2000-07-18,72.207
2000-07-19,66.6841
2000-07-20,71.3622
2000-07-21,71.3622
2000-07-24,70.8292
2000-07-25,71.4091
2000-07-26,59.418
2000-07-27,59.418
2000-07-28,52.3705
2000-07-31,54.5556
2000-08-01,54.5609
2000-08-02,61.2644
2000-08-03,51.4992
2000-08-04,49.9669
2000-08-07,49.6464
2000-08-08,78.461
2000-08-09,72.5898
2000-08-10,64.921
2000-08-11,67.7833
2000-08-14,78.6688
2000-08-15,73.8683
2000-08-16,74.005
2000-08-17,74.2901
2000-08-18,73.1754
2000-08-21,75.4225
2000-08-22,71.2549
2000-08-23,71.754
2000-08-24,51.153
2000-08-25,51.9372
2000-08-28,57.1682
2000-08-29,54.2365
2000-08-30,56.8396
2000-08-31,58.3262
2000-09-01,41.9914
2000-09-05,48.0519
2000-09-06,49.6022
2000-09-07,52.9321
2000-09-08,52.1109
2000-09-11,48.664
2000-09-12,59.016
2000-09-13,58.4645
2000-09-14,87.2309
2000-09-15,84.9922
2000-09-18,55.7204
2000-09-19,60.7755
2000-09-20,52.1767
2000-09-21,50.5045
2000-09-22,52.8404
2000-09-25,48.5784
2000-09-26,45.3925
2000-09-27,41.5694
2000-09-28,42.5936
