date,1. open,2. high,3. low,4. close,5. volume
2021-01-11,284.26,286.8099,282.6473,284.31,213239.0
2021-01-08,286.62,287.815,283.98,287.6,168286.0
2021-01-07,281.14,284.2,280.745,283.35,134577.0
2021-01-06,274.71,281.32,274.66,278.31,118770.0
2021-01-05,270.9,275.6,270.9,274.91,133982.0
2021-01-04,276.89,276.925,268.67,271.66,166723.0
2020-12-31,275.8,275.8,273.88,275.18,81649.0
2020-12-30,275.36,275.9954,274.99,275.61,101520.0
2020-12-29,275.83,275.83,272.56,274.04,77659.0
2020-12-28,274.97,275.79,272.9185,274.62,92588.0
2020-12-24,272.65,272.8615,271.5613,272.44,37842.0
2020-12-23,272.15,272.94,270.89,271.91,60848.0
2020-12-22,272.31,272.31,269.36,271.68,82928.0
2020-12-21,270.0,273.04900000000004,268.525,271.62,83115.0
2020-12-18,275.0,275.0,270.25,272.55,111482.0
2020-12-17,271.72,273.68,271.005,273.63,98097.0
2020-12-16,269.11,270.6,268.0,270.22,68018.0
2020-12-15,267.28,268.81,265.895,268.81,86624.0
2020-12-14,265.93,267.6,264.92,264.92,91059.0
2020-12-11,264.33,264.6338,261.0,263.26,61766.0
2020-12-10,262.43,265.71,261.46,265.22,76794.0
2020-12-09,268.8,268.8,262.53,264.45,124452.0
2020-12-08,265.36,267.3874,264.1101,267.305,98376.0
2020-12-07,265.38,266.87,264.66,266.87,96206.0
2020-12-04,265.24,265.6272,264.275,265.51,91153.0
2020-12-03,263.17,265.67,263.17,264.38,102773.0
2020-12-02,262.53,262.5599,259.68,261.93,107959.0
2020-12-01,264.59,265.2,262.0,264.37,177238.0
2020-11-30,264.66,264.75,257.85900000000004,261.48,121499.0
2020-11-27,264.36,265.058,263.47,264.4,54572.0
2020-11-25,261.51,263.3399,260.3207,262.78,87676.0
2020-11-24,260.3,262.25,258.845,261.59,114576.0
2020-11-23,254.51,257.87,254.51,257.12,96294.0
2020-11-20,253.88,253.88,252.5,252.5,61877.0
2020-11-19,251.58,253.71,251.0,253.54,68209.0
2020-11-18,251.28,254.158,250.68,251.32,77866.0
2020-11-17,250.33,251.86,248.56,250.9,170190.0
2020-11-16,248.86,249.12,247.0,249.12,222488.0
2020-11-13,244.12,246.44,243.985,246.13,48211.0
2020-11-12,245.54,246.4599,241.455,242.8,121779.0
2020-11-11,245.27,246.7,244.51,246.12,72676.0
2020-11-10,244.68,244.85,240.355,243.23,106912.0
2020-11-09,258.3,258.3,244.72,244.72,156082.0
2020-11-06,248.38,248.38,245.4,247.11,64501.0
