date,MACD_Hist,MACD,MACD_Signal
2021-02-02,-0.3439,0.9717,1.3155
2021-02-01,-1.0758,0.4116,1.4874
2021-01-29,-1.2551,4.8154,6.0706
2021-01-28,-0.6972,5.6872,6.3844
2021-01-27,-0.256,6.3027,6.5586
2021-01-26,0.3078,6.9305,6.6226
2021-01-25,0.4285,6.9742,6.5457
2021-01-22,0.5104,6.9489,6.4386
2021-01-21,0.5484,6.8594,6.311
2021-01-20,0.4439,6.6178,6.1739
2021-01-19,0.2705,6.3334,6.0629
2021-01-15,0.4623,6.4575,5.9953
2021-01-14,0.7809,6.6606,5.8797
2021-01-13,0.8777,6.5622,5.6845
2021-01-12,0.8558,6.3208,5.465
2021-01-11,0.6239,5.875,5.2511
2021-01-08,0.611,5.7062,5.0951
2021-01-07,0.1303,5.0727,4.9424
2021-01-06,-0.2867,4.6231,4.9098
2021-01-05,-0.4864,4.4951,4.9815
2021-01-04,-0.4905,4.6126,5.1031
2020-12-31,-0.1993,5.0264,5.2257
2020-12-30,-0.1525,5.122999999999998,5.2755
2020-12-29,-0.1856,5.1281,5.3136
2020-12-28,-0.1403,5.2198,5.36
2020-12-24,-0.1933,5.2018,5.3951
2020-12-23,-0.1182,5.3252,5.4434
2020-12-22,-0.0138,5.4592,5.473
2020-12-21,0.0978,5.5742,5.4764
2020-12-18,0.1941,5.6461,5.452000000000001
2020-12-17,0.1576,5.561,5.4034
2020-12-16,-0.1025,5.2616,5.364
2020-12-15,-0.2396,5.15,5.3897
2020-12-14,-0.3732,5.0763,5.4496
2020-12-11,-0.2384,5.3045,5.5429
2020-12-10,0.085,5.6875,5.6025
2020-12-09,0.3129,5.8942,5.5812
2020-12-08,0.6476,6.1506,5.502999999999999
2020-12-07,0.7566,6.0977,5.3411
2020-12-04,0.8338,5.9858,5.1519
2020-12-03,0.9509,5.8943,4.9435
2020-12-02,1.1012,5.807,4.7058
2020-12-01,1.43,5.8604,4.4305
2020-11-30,1.5221,5.595,4.073
2020-11-27,1.7767,5.4691,3.6924
2020-11-25,1.6833,4.9315,3.2483
2020-11-24,1.5112,4.3386,2.8275
2020-11-23,1.1902,3.6399,2.4497
2020-11-20,0.9982,3.1503,2.1521
2020-11-19,1.0473,2.9499,1.9026
2020-11-18,0.9046,2.5453,1.6407
2020-11-17,0.8034,2.218,1.4146
2020-11-16,0.5969,1.8107,1.2137
2020-11-13,0.3812,1.4457,1.0645
2020-11-12,0.294,1.2632,0.9692
2020-11-11,0.4553,1.351,0.8957
2020-11-10,0.3236,1.1054,0.7819
2020-11-09,0.3692,1.0701,0.701
2020-11-06,0.2491,0.8578,0.6087
2020-11-05,-0.2154,0.331,0.5464
2020-11-04,-1.088,-0.4878,0.6002
2020-11-03,-1.7739,-0.9016,0.8723
2020-11-02,-2.1907,-0.875,1.3157
2020-10-30,-2.1144,-0.251,1.8634
2020-10-29,-1.6128,0.7792,2.392
2020-10-28,-1.3986,1.3965,2.7952
2020-10-27,-0.8514,2.2935,3.1449
2020-10-26,-0.7042,2.6535,3.3577
2020-10-23,-0.4216,3.1121,3.5337
2020-10-22,-0.4206,3.2185,3.6391
2020-10-21,-0.2403,3.5039,3.7443
2020-10-20,0.1035,3.9079,3.8044
2020-10-19,0.3937,4.1722,3.7785
2020-10-16,0.9063,4.5864,3.6801
2020-10-15,1.276,4.7295,3.4535
2020-10-14,1.4351,4.5696,3.1345
2020-10-13,1.6119,4.3876,2.7757
2020-10-12,1.5048,3.8776,2.3727
2020-10-09,1.2287,3.2252,1.9965
2020-10-08,0.9903,2.6797,1.6893
2020-10-07,0.7958,2.2376,1.4418
2020-10-06,0.5477,1.7905,1.2428
2020-10-05,0.6723,1.7781,1.1059
2020-10-02,0.3497,1.2876,0.9378
2020-10-01,0.1843,1.0346,0.8504
2020-09-30,-0.3458,0.4585,0.8043
2020-09-29,-0.6631,0.2277,0.8908
2020-09-28,-0.9452,0.1113,1.0565
2020-09-25,-1.5367,-0.2439,1.2928
2020-09-24,-1.829,-0.152,1.6769999999999998
2020-09-23,-1.7666,0.3676,2.1343
2020-09-22,-1.5514,1.0245,2.5759
2020-09-21,-1.746,1.2178,2.9638
2020-09-18,-1.528,1.8723,3.4003
2020-09-17,-1.3706,2.4117,3.7823
2020-09-16,-1.2756,2.8493,4.1249
2020-09-15,-1.4736,2.9703,4.4439
2020-09-14,-1.8896,2.9226,4.8123
