date,MFI
2021-01-22,72.3213
2021-01-21,67.3874
2021-01-20,66.8776
2021-01-19,65.1828
2021-01-15,65.9998
2021-01-14,68.4761
2021-01-13,61.6234
2021-01-12,66.5597
2021-01-11,63.7277
2021-01-08,52.8662
2021-01-07,41.2709
2021-01-06,66.2896
2021-01-05,78.6916
2021-01-04,87.7563
2020-12-31,89.2085
2020-12-30,90.9148
2020-12-29,91.3278
2020-12-28,91.8543
2020-12-24,91.803
2020-12-23,92.2764
2020-12-22,93.0424
2020-12-21,92.9683
2020-12-18,94.2003
2020-12-17,96.335
2020-12-16,99.9231
2020-12-15,99.8875
2020-12-14,99.7825
2020-12-11,99.2531
2020-12-10,98.855
2020-12-09,87.3294
2020-12-08,71.509
2020-12-07,84.0947
2020-12-04,83.3429
2020-12-03,76.9962
2020-12-02,75.5551
2020-12-01,79.0715
2020-11-30,81.6707
2020-11-27,82.0653
2020-11-25,79.6109
2020-11-24,80.2672
2020-11-23,88.169
2020-11-20,87.7505
2020-11-19,81.9798
2020-11-18,82.1121
2020-11-17,80.9436
2020-11-16,75.5948
2020-11-13,74.8769
2020-11-12,81.6426
2020-11-11,80.13600000000002
2020-11-10,66.5495
2020-11-09,62.4028
2020-11-06,52.7035
2020-11-05,49.853
2020-11-04,49.9869
2020-11-03,43.1983
2020-11-02,36.855
2020-10-30,38.7747
2020-10-29,28.8739
2020-10-28,22.1335
2020-10-27,33.5087
2020-10-26,42.7378
2020-10-23,47.2725
2020-10-22,48.8166
2020-10-21,46.9154
2020-10-20,44.9643
2020-10-19,43.1224
2020-10-16,42.0246
2020-10-15,47.9882
2020-10-14,46.9089
2020-10-13,44.8392
2020-10-12,39.0569
2020-10-09,34.5242
2020-10-08,28.9896
2020-10-07,43.5444
2020-10-06,44.0059
2020-10-05,44.6391
2020-10-02,44.5552
2020-10-01,47.8363
2020-09-30,47.7005
2020-09-29,51.9033
2020-09-28,56.8286
2020-09-25,52.7132
2020-09-24,51.8411
2020-09-23,57.9434
2020-09-22,61.0571
2020-09-21,65.6025
2020-09-18,74.6186
2020-09-17,60.0599
2020-09-16,50.424
2020-09-15,50.2945
2020-09-14,50.3386
2020-09-11,42.8507
2020-09-10,41.6223
2020-09-09,41.441
2020-09-08,44.105
2020-09-04,42.7927
2020-09-03,40.9534
2020-09-02,28.6407
2020-09-01,25.6383
2020-08-31,24.8542
2020-08-28,18.3731
2020-08-27,24.5187
2020-08-26,24.4379
2020-08-25,19.384
2020-08-24,23.5309
2020-08-21,42.5362
2020-08-20,46.7484
2020-08-19,41.2074
2020-08-18,42.195
2020-08-17,41.0474
2020-08-14,41.6306
2020-08-13,41.5083
2020-08-12,41.1034
2020-08-11,51.3094
2020-08-10,49.6079
2020-08-07,44.1653
2020-08-06,51.7111
2020-08-05,50.0748
2020-08-04,52.5813
2020-08-03,51.6456
2020-07-31,48.8899
2020-07-30,50.4355
2020-07-29,46.5931
2020-07-28,47.625
2020-07-27,47.2778
2020-07-24,49.5896
2020-07-23,51.5581
2020-07-22,42.0381
2020-07-21,43.0341
2020-07-20,42.7295
2020-07-17,44.7604
2020-07-16,30.3932
2020-07-15,27.3941
2020-07-14,22.9701
2020-07-13,22.6211
2020-07-10,22.441
2020-07-09,30.0169
2020-07-08,29.2369
2020-07-07,29.2931
2020-07-06,29.0031
2020-07-02,33.5906
2020-07-01,36.9803
2020-06-30,37.6972
2020-06-29,42.1729
2020-06-26,33.9091
2020-06-25,55.6939
2020-06-24,54.4212
2020-06-23,47.31
2020-06-22,48.3742
2020-06-19,49.5941
2020-06-18,35.997
2020-06-17,38.5902
2020-06-16,47.905
2020-06-15,47.9041
2020-06-12,44.4793
2020-06-11,35.3149
2020-06-10,39.5329
2020-06-09,31.0381
2020-06-08,31.6053
2020-06-05,30.9445
2020-06-04,24.6852
2020-06-03,35.7367
2020-06-02,55.4532
2020-06-01,44.8311
2020-05-29,45.2453
2020-05-28,48.3082
2020-05-27,45.5588
2020-05-26,51.4797
2020-05-22,55.067
2020-05-21,58.5848
2020-05-20,58.2551
2020-05-19,59.089
2020-05-18,59.3643
2020-05-15,59.7427
2020-05-14,59.2315
2020-05-13,53.7029
2020-05-12,40.9169
2020-05-11,61.633
2020-05-08,65.1049
2020-05-07,63.9435
2020-05-06,63.2878
2020-05-05,60.6594
2020-05-04,41.246
2020-05-01,34.6481
2020-04-30,29.4798
2020-04-29,35.9985
2020-04-28,43.5758
2020-04-27,46.4859
2020-04-24,58.1902
2020-04-23,52.0751
2020-04-22,43.7315
2020-04-21,37.773
2020-04-20,36.9412
2020-04-17,37.3925
2020-04-16,36.9104
2020-04-15,29.5151
2020-04-14,35.5781
2020-04-13,42.2172
2020-04-09,48.4356
2020-04-08,47.9105
2020-04-07,40.4716
2020-04-06,39.9794
2020-04-03,40.9831
2020-04-02,44.8023
2020-04-01,51.1248
2020-03-31,46.4146
2020-03-30,39.2353
2020-03-27,44.4765
2020-03-26,39.6141
2020-03-25,39.3209
2020-03-24,34.6452
2020-03-23,39.1042
2020-03-20,33.5563
2020-03-19,28.8744
2020-03-18,27.2668
2020-03-17,25.5747
2020-03-16,21.3892
2020-03-13,29.4019
2020-03-12,24.736
2020-03-11,34.0584
2020-03-10,44.7546
2020-03-09,37.448
2020-03-06,44.3089
2020-03-05,44.5732
2020-03-04,48.5347
2020-03-03,39.9431
2020-03-02,46.1857
2020-02-28,53.3022
2020-02-27,53.4114
2020-02-26,60.6437
2020-02-25,66.0808
2020-02-24,66.2474
2020-02-21,72.4365
2020-02-20,66.6996
2020-02-19,64.3691
2020-02-18,71.627
2020-02-14,62.2566
2020-02-13,60.1948
2020-02-12,47.726000000000006
2020-02-11,47.2814
2020-02-10,49.6293
2020-02-07,51.3889
2020-02-06,56.74100000000001
2020-02-05,56.2258
2020-02-04,56.1132
2020-02-03,49.177
2020-01-31,53.8311
2020-01-30,59.6651
2020-01-29,62.0201
2020-01-28,56.9415
2020-01-27,58.1677
2020-01-24,62.9632
2020-01-23,74.9711
2020-01-22,82.7565
2020-01-21,82.0829
2020-01-17,80.9286
2020-01-16,77.555
2020-01-15,76.9944
2020-01-14,76.1381
2020-01-13,84.3267
2020-01-10,82.244
2020-01-09,80.2903
2020-01-08,73.6236
2020-01-07,84.4153
2020-01-06,92.7144
2020-01-03,92.5261
2020-01-02,83.2343
2019-12-31,83.5926
2019-12-30,79.3987
2019-12-27,78.9799
2019-12-26,83.1838
2019-12-24,83.3194
2019-12-23,83.0436
2019-12-20,80.9055
2019-12-19,79.8452
2019-12-18,78.6851
2019-12-17,80.8202
2019-12-16,77.543
2019-12-13,70.2463
2019-12-12,68.4789
2019-12-11,87.1598
2019-12-10,83.9778
2019-12-09,94.7522
2019-12-06,87.5077
2019-12-05,84.0309
2019-12-04,78.057
2019-12-03,72.8968
2019-12-02,67.5304
2019-11-29,58.6895
2019-11-27,62.273999999999994
2019-11-26,61.4184
2019-11-25,48.3666
2019-11-22,47.4551
2019-11-21,48.6344
2019-11-20,45.2958
2019-11-19,35.1182
2019-11-18,29.8539
2019-11-15,32.42
2019-11-14,28.195
2019-11-13,40.1325
