date,MACD_Signal,MACD_Hist,MACD
2021-01-15,-0.3552,0.0434,-0.3118
2021-01-14,-0.3661,0.02,-0.346
2021-01-13,-0.3711,0.021,-0.3501
2021-01-12,-0.3763,0.0434,-0.3329
2021-01-11,-0.3872,0.0592,-0.328
2021-01-08,-0.402,0.0357,-0.3663
2021-01-07,-0.4109,0.0845,-0.3264
2021-01-06,-0.432,0.148,-0.284
2021-01-05,-0.469,0.1537,-0.3153
2021-01-04,-0.5074,0.1475,-0.3599
2020-12-31,-0.5443,0.0747,-0.4696
2020-12-30,-0.563,0.0936,-0.4694
2020-12-29,-0.5864,0.1231,-0.4633
2020-12-28,-0.6171,0.1134,-0.5037
2020-12-24,-0.6455,0.1524,-0.4931
2020-12-23,-0.6836,0.2011,-0.4825
2020-12-22,-0.7339,0.2322,-0.5016
2020-12-21,-0.7919,0.2151,-0.5768
2020-12-18,-0.8457,0.1518,-0.6939
2020-12-17,-0.8837,0.1542,-0.7295
2020-12-16,-0.9222,0.1916,-0.7306
2020-12-15,-0.9701,0.2334,-0.7367
2020-12-14,-1.0284,0.2437,-0.7847
2020-12-11,-1.0894,0.1825,-0.9069
2020-12-10,-1.135,0.1211,-1.0139
2020-12-09,-1.1653,0.0844,-1.0808
2020-12-08,-1.1864,0.0481,-1.1383
2020-12-07,-1.1984,0.0532,-1.1452
2020-12-04,-1.2117,0.0245,-1.1872
2020-12-03,-1.2178,0.0023,-1.2155
2020-12-02,-1.2184,-0.0369,-1.2552
2020-12-01,-1.2092,-0.0673,-1.2765
2020-11-30,-1.1923,-0.0989,-1.2912
2020-11-27,-1.1676,-0.1124,-1.28
2020-11-25,-1.1395,-0.1361,-1.2756
2020-11-24,-1.1055,-0.1367,-1.2422
2020-11-23,-1.0713,-0.1652,-1.2365
2020-11-20,-1.03,-0.2047,-1.2347
2020-11-19,-0.9788,-0.255,-1.2338
2020-11-18,-0.9151,-0.3047,-1.2198
2020-11-17,-0.8389,-0.3747,-1.2136
2020-11-16,-0.7453,-0.3859,-1.1311
2020-11-13,-0.6488,-0.385,-1.0338
2020-11-12,-0.5525,-0.3828,-0.9353
2020-11-11,-0.4568,-0.444,-0.9009
2020-11-10,-0.3458,-0.391,-0.7369
2020-11-09,-0.2481,-0.3013,-0.5494
2020-11-06,-0.1727,-0.1834,-0.3561
2020-11-05,-0.1269,-0.016,-0.1429
2020-11-04,-0.1229,0.1351,0.0122
2020-11-03,-0.1567,0.331,0.1743
2020-11-02,-0.2394,0.438,0.1985
2020-10-30,-0.3489,0.4614,0.1125
2020-10-29,-0.4643,0.4174,-0.0469
2020-10-28,-0.5687,0.4138,-0.1548
2020-10-27,-0.6721,0.1872,-0.4849
2020-10-26,-0.7189,0.111,-0.6079
2020-10-23,-0.7467,-0.0002,-0.7469
2020-10-22,-0.7466,-0.0049,-0.7515
2020-10-21,-0.7454,0.0009,-0.7445
2020-10-20,-0.7456,-0.0219,-0.7675
2020-10-19,-0.7401,-0.0924,-0.8325
2020-10-16,-0.717,-0.1873,-0.9043
2020-10-15,-0.6702,-0.2303,-0.9004
2020-10-14,-0.6126,-0.2575,-0.8701
2020-10-13,-0.5483,-0.2563,-0.8046
2020-10-12,-0.4842,-0.2402,-0.7244
2020-10-09,-0.4241,-0.1681,-0.5922
2020-10-08,-0.3821,-0.0675,-0.4495
2020-10-07,-0.3652,0.0005,-0.3647
2020-10-06,-0.3653,0.0337,-0.3316
2020-10-05,-0.3738,0.0231,-0.3507
2020-10-02,-0.3796,0.0361,-0.3435
2020-10-01,-0.3886,-0.0038,-0.3924
2020-09-30,-0.3876,-0.0024,-0.39
2020-09-29,-0.387,0.0158,-0.3712
2020-09-28,-0.391,0.0462,-0.3448
2020-09-25,-0.4025,0.0547,-0.3479
2020-09-24,-0.4162,0.0624,-0.3538
2020-09-23,-0.4318,0.0164,-0.4154
2020-09-22,-0.4359,-0.0917,-0.5276
2020-09-21,-0.413,-0.1371,-0.5501
2020-09-18,-0.3787,-0.1779,-0.5566
2020-09-17,-0.3343,-0.1553,-0.4895
2020-09-16,-0.2954,-0.1004,-0.3959
2020-09-15,-0.2703,-0.046,-0.3163
2020-09-14,-0.2588,0.0363,-0.2225
