date,1. open,2. high,3. low,4. close,5. volume
2021-01-15,23.607,24.25,22.58,22.95,3481054.0
2021-01-14,24.3,24.67,23.15,24.07,4612484.0
2021-01-13,23.4,24.2,22.66,23.91,6215738.0
2021-01-12,22.895,23.66,22.56,23.26,5015096.0
2021-01-11,23.55,24.4,22.81,23.16,5891941.0
2021-01-08,24.6,26.61,23.66,23.94,13281282.0
2021-01-07,23.4,26.2,23.08,25.82,7628582.0
2021-01-06,23.0,23.77,22.1,22.69,4758763.0
2021-01-05,21.3503,22.72,21.314,22.67,2795760.0
2021-01-04,23.2,23.65,21.2,21.91,5573975.0
2020-12-31,24.2,24.2,22.7,22.82,6312319.0
2020-12-30,23.225,24.64,23.225,24.5,7110204.0
2020-12-29,22.85,23.96,20.92,22.87,10932604.0
2020-12-28,25.4,25.45,22.5,22.59,7950411.0
2020-12-24,26.05,26.32,23.7,24.68,6993848.0
2020-12-23,27.5177,27.6342,25.01,26.5,10641516.0
2020-12-22,27.99,30.8065,25.57,27.38,37230098.0
2020-12-21,19.72,25.44,19.7,24.68,17743676.0
2020-12-18,20.81,20.97,19.7,20.07,8451154.0
2020-12-17,20.84,21.4,20.02,20.65,6935221.0
2020-12-16,20.05,21.08,19.7,20.58,8818394.0
2020-12-15,20.62,22.2399,19.23,19.44,17135461.0
2020-12-14,19.42,19.97,18.95,19.1,6781877.0
2020-12-11,19.865,20.35,18.0143,18.325,8394017.0
2020-12-10,18.94,20.68,18.48,20.15,7396014.0
2020-12-09,22.41,22.99,19.01,19.91,20214170.0
2020-12-08,20.44,22.3,19.3,20.84,30969820.0
2020-12-07,15.45,18.99,15.45,18.81,18101017.0
2020-12-04,15.658,17.115,15.05,15.12,11834546.0
2020-12-03,15.19,16.16,14.66,15.0,4165406.0
2020-12-02,14.6,14.8,14.0,14.63,4095352.0
2020-12-01,16.23,16.26,14.82,15.12,3040404.0
2020-11-30,16.8,16.9713,15.21,15.92,2926490.0
2020-11-27,15.7307,16.33,15.7,16.06,1975975.0
2020-11-25,15.8831,16.04,15.235,15.52,2309810.0
2020-11-24,17.4965,17.5,15.81,16.17,3327623.0
2020-11-23,17.04,17.25,16.35,16.74,2897048.0
2020-11-20,16.82,17.07,16.26,16.36,2261716.0
2020-11-19,16.16,16.79,16.04,16.26,1487448.0
2020-11-18,16.39,16.7,15.78,15.9,1535861.0
2020-11-17,16.3,16.74,15.775,16.25,2996001.0
2020-11-16,14.94,15.7,14.615,15.52,1898922.0
2020-11-13,13.63,14.61,13.63,14.51,1603073.0
2020-11-12,13.74,13.9321,13.25,13.505,873322.0
2020-11-11,13.3,13.97,13.06,13.66,1214050.0
2020-11-10,13.31,13.5,12.5669,12.86,1751269.0
2020-11-09,14.44,14.78,12.84,13.04,3198298.0
2020-11-06,14.95,15.73,13.85,13.87,2358059.0
2020-11-05,13.21,15.03,13.04,14.94,3072736.0
2020-11-04,13.11,13.55,12.7288,12.86,1547995.0
2020-11-03,12.4,13.04,12.4,12.81,1260489.0
