date,MACD_Signal,MACD,MACD_Hist
2021-01-22,1.0917,0.7617,-0.33
2021-01-21,1.1742,0.8252,-0.349
2021-01-20,1.2614,0.8953,-0.3661
2021-01-19,1.3530000000000002,0.986,-0.3670000000000001
2021-01-15,1.4447,1.1546,-0.2901
2021-01-14,1.5172,1.2909,-0.2263
2021-01-13,1.5738,1.3321,-0.2417
2021-01-12,1.6342,1.3815,-0.2527
2021-01-11,1.6974,1.4907,-0.2067
2021-01-08,1.7491,1.6186,-0.1305
2021-01-07,1.7817,1.6788,-0.1029
2021-01-06,1.8075,1.5399,-0.2676
2021-01-05,1.8743,1.6588,-0.2155
2021-01-04,1.9282,1.7886,-0.1396
2020-12-31,1.9631,2.0056,0.0424
2020-12-30,1.9525,2.1607,0.2081
2020-12-29,1.9005,2.1561,0.2556
2020-12-28,1.8366,2.285,0.4484
2020-12-24,1.7245,2.4447,0.7202
2020-12-23,1.5444,2.4002,0.8557
2020-12-22,1.3305,2.1232,0.7926
2020-12-21,1.1324,1.6491,0.5167
2020-12-18,1.0032,1.2949,0.2918
2020-12-17,0.9302,1.2934,0.3632
2020-12-16,0.8394,1.2137,0.3742
2020-12-15,0.7459,1.1013,0.3555
2020-12-14,0.657,1.058,0.401
2020-12-11,0.5567,1.0219,0.4652
2020-12-10,0.4405,1.0399,0.5994
2020-12-09,0.2906,0.8619,0.5713
2020-12-08,0.1478,0.6466,0.4989
2020-12-07,0.023,0.2678,0.2447
2020-12-04,-0.0381,-0.013000000000000001,0.0252
2020-12-03,-0.0444,0.0046,0.049
2020-12-02,-0.0567,0.0391,0.0958
2020-12-01,-0.0806,0.1203,0.2009
2020-11-30,-0.1309,0.1723,0.3031
2020-11-27,-0.2066,0.1546,0.3613
2020-11-25,-0.297,0.1157,0.4126
2020-11-24,-0.4001,0.1192,0.5193
2020-11-23,-0.5299,0.0558,0.5857
2020-11-20,-0.6764,-0.084,0.5924
2020-11-19,-0.8245,-0.2225,0.602
2020-11-18,-0.9749,-0.3858,0.5891
2020-11-17,-1.1222,-0.552,0.5702
2020-11-16,-1.2648,-0.7918,0.473
2020-11-13,-1.383,-1.0119,0.3711
2020-11-12,-1.4758,-1.1754,0.3004
2020-11-11,-1.5509,-1.2646,0.2863
2020-11-10,-1.6225,-1.3759,0.2466
2020-11-09,-1.6841,-1.4164,0.2677
2020-11-06,-1.7511,-1.4659,0.2852
2020-11-05,-1.8224,-1.5922,0.2301
2020-11-04,-1.8799,-1.8393,0.0406
2020-11-03,-1.89,-1.916,-0.026000000000000002
2020-11-02,-1.8835,-1.9809999999999999,-0.0975
2020-10-30,-1.8592,-1.9792,-0.12
2020-10-29,-1.8292,-1.945,-0.1159
2020-10-28,-1.8002,-1.9688,-0.1686
2020-10-27,-1.758,-1.9339,-0.1759
2020-10-26,-1.7141,-1.9783,-0.2642
2020-10-23,-1.6480000000000001,-2.0092,-0.3612
2020-10-22,-1.5577,-1.9369999999999998,-0.3793
2020-10-21,-1.4629,-1.8329,-0.37
2020-10-20,-1.3704,-1.6704,-0.3
2020-10-19,-1.2954,-1.5486,-0.2532
2020-10-16,-1.2321,-1.4674,-0.2353
2020-10-15,-1.1733,-1.4604,-0.2872
2020-10-14,-1.1015,-1.4629,-0.3615
2020-10-13,-1.0111,-1.4591,-0.44799999999999995
2020-10-12,-0.8991,-1.4645,-0.5654
2020-10-09,-0.7578,-1.5072,-0.7494
2020-10-08,-0.5704,-1.4471,-0.8767
2020-10-07,-0.3512,-1.3269,-0.9757
2020-10-06,-0.1073,-1.1755,-1.0682
2020-10-05,0.1598,-1.0152,-1.1749
2020-10-02,0.4535,-0.6766,-1.1301
2020-10-01,0.736,-0.3212,-1.0572
2020-09-30,1.0003,0.1687,-0.8316
2020-09-29,1.2082,0.5961,-0.6122
2020-09-28,1.3613,0.5158,-0.8454
2020-09-25,1.5726,0.4395,-1.1331
