date,MFI
2018-11-15,51.7625
2018-11-16,68.5349
2018-11-19,51.3897
2018-11-20,70.4374
2018-11-21,69.5878
2018-11-26,69.9476
2018-11-27,62.6647
2018-11-28,56.2321
2018-11-29,66.4054
2018-11-30,88.9597
2018-12-03,88.2991
2018-12-04,88.8649
2018-12-06,89.0879
2018-12-07,89.1881
2018-12-10,89.2115
2018-12-11,78.3563
2018-12-12,78.2103
2018-12-13,78.2103
2018-12-14,78.2105
2018-12-17,77.5371
2018-12-18,77.5557
2018-12-19,75.556
2018-12-20,35.6645
2018-12-21,81.1796
2018-12-24,75.7404
2018-12-26,87.0064
2018-12-27,82.6996
2018-12-28,84.2155
2018-12-31,83.3895
2019-01-02,84.1787
2019-01-03,84.634
2019-01-04,85.0468
2019-01-07,81.8061
2019-01-08,85.1402
2019-01-09,85.1661
2019-01-10,90.383
2019-01-11,90.3516
2019-01-14,91.2226
2019-01-15,93.8769
2019-01-16,85.7199
2019-01-17,91.8386
2019-01-18,90.954
2019-01-22,91.8351
2019-01-23,91.7171
2019-01-24,27.3257
2019-01-25,69.3409
2019-01-28,56.4127
2019-01-29,62.5348
2019-01-30,62.495
2019-01-31,86.7655
2019-02-01,88.061
2019-02-04,87.981
2019-02-05,88.328
2019-02-06,88.7228
2019-02-07,88.7184
2019-02-08,88.7043
2019-02-11,88.6522
2019-02-12,88.8193
2019-02-13,72.2071
2019-02-14,72.0145
2019-02-15,75.0597
2019-02-19,75.1788
2019-02-20,75.7253
2019-02-21,56.5043
2019-02-22,49.5849
2019-02-25,49.9227
2019-02-26,46.5154
2019-02-27,43.5033
2019-02-28,43.5758
2019-03-01,43.5812
2019-03-04,52.3265
2019-03-05,51.1699
2019-03-06,97.1546
2019-03-07,95.2875
2019-03-08,95.2951
2019-03-11,93.6359
2019-03-12,92.5715
2019-03-13,92.5774
2019-03-14,71.4681
2019-03-15,77.0478
2019-03-18,81.6791
2019-03-19,81.5944
2019-03-20,81.5414
2019-03-21,81.4122
2019-03-22,67.1956
2019-03-25,67.2377
2019-03-26,67.1953
2019-03-27,67.5973
2019-03-28,67.663
2019-03-29,69.7855
2019-04-01,68.8853
2019-04-02,64.985
2019-04-03,99.063
2019-04-04,76.7274
2019-04-05,68.4773
2019-04-08,78.4447
2019-04-09,76.8783
2019-04-10,76.1681
2019-04-11,91.179
2019-04-12,91.2721
2019-04-15,91.3355
2019-04-16,91.3355
2019-04-17,91.6657
2019-04-18,91.8478
2019-04-22,92.203
2019-04-23,92.1749
2019-04-24,92.1779
2019-04-25,98.576
2019-04-26,98.4922
2019-04-29,98.3055
2019-04-30,99.5277
2019-05-01,99.9574
2019-05-02,99.9292
2019-05-03,99.9289
2019-05-06,99.9326
2019-05-07,99.9326
2019-05-08,85.4039
2019-05-09,83.5243
2019-05-10,82.6662
2019-05-13,82.7031
2019-05-14,82.6806
2019-05-15,82.7161
2019-05-16,82.8936
2019-05-17,81.5055
2019-05-20,26.5839
2019-05-21,66.6803
2019-05-22,70.3672
2019-05-23,70.3907
2019-05-24,67.6135
2019-05-28,63.3777
2019-05-29,87.1022
2019-05-30,45.7044
2019-05-31,46.2739
2019-06-03,25.8906
2019-06-04,25.9603
2019-06-05,25.6873
2019-06-06,25.0708
2019-06-07,25.6679
2019-06-10,26.4321
2019-06-11,8.2607
2019-06-12,2.7908
2019-06-13,8.0624
2019-06-14,8.0321
2019-06-17,8.7737
2019-06-18,8.7737
2019-06-19,13.1947
2019-06-20,12.2073
2019-06-21,84.3746
2019-06-24,88.7835
2019-06-25,97.1452
2019-06-26,96.813
2019-06-27,97.4117
2019-06-28,69.0948
2019-07-01,69.0902
2019-07-02,70.0101
2019-07-03,60.9049
2019-07-05,62.2102
2019-07-08,34.6805
2019-07-09,63.3915
2019-07-10,63.42
2019-07-11,63.1062
2019-07-12,62.0788
2019-07-15,58.5705
2019-07-16,58.5515
2019-07-17,58.6104
2019-07-18,86.8123
2019-07-19,89.2895
2019-07-22,90.5548
2019-07-23,90.7025
2019-07-24,90.7539
2019-07-25,90.7539
2019-07-26,98.0748
2019-07-29,98.1032
2019-07-30,97.5144
2019-07-31,80.9378
2019-08-01,80.9378
2019-08-02,80.9378
2019-08-05,81.468
2019-08-06,81.468
2019-08-07,60.0691
2019-08-08,61.3991
2019-08-09,50.6788
2019-08-12,48.2493
2019-08-13,50.2457
2019-08-14,45.8089
2019-08-15,33.6567
2019-08-16,22.3133
2019-08-19,22.6554
2019-08-20,36.1663
2019-08-21,56.9542
2019-08-22,57.4411
2019-08-23,54.4074
2019-08-26,52.7156
2019-08-27,48.6016
2019-08-28,50.1397
2019-08-29,50.1387
2019-08-30,50.1263
2019-09-03,47.9911
2019-09-04,52.1515
2019-09-05,81.3536
2019-09-06,76.2788
2019-09-09,48.4209
2019-09-10,48.474
2019-09-11,9.1537
2019-09-12,6.6511
2019-09-13,6.6486
2019-09-16,7.1719
2019-09-17,9.1274
2019-09-18,0.0
2019-09-19,0.5274
2019-09-20,0.5274
2019-09-23,0.5272
2019-09-24,0.7619
2019-09-25,0.7619
2019-09-26,0.7619
2019-09-27,1.0668
2019-09-30,1.0672
2019-10-01,0.6199
2019-10-02,0.6197
2019-10-03,44.8274
2019-10-04,52.0086
2019-10-07,52.0086
2019-10-08,71.5275
2019-10-09,71.4517
2019-10-10,81.9896
2019-10-11,81.5847
2019-10-14,82.269
2019-10-15,47.4648
2019-10-16,47.4709
2019-10-17,47.8737
2019-10-18,57.813
2019-10-21,57.979
2019-10-22,57.9818
2019-10-23,49.2103
2019-10-24,46.3158
2019-10-25,46.2896
2019-10-28,46.2282
2019-10-29,59.8648
2019-10-30,55.9754
2019-10-31,59.8729
2019-11-01,58.5036
2019-11-04,84.8194
2019-11-05,84.8176
2019-11-06,84.8176
2019-11-07,79.8017
2019-11-08,91.0796
2019-11-11,91.0796
2019-11-12,97.0458
2019-11-13,97.1448
2019-11-14,92.6928
2019-11-15,92.5149
2019-11-18,82.7017
2019-11-19,75.8789
2019-11-20,47.6238
2019-11-21,29.4802
2019-11-22,29.4802
2019-11-25,41.4693
2019-11-26,41.4693
2019-11-27,41.4679
2019-11-29,41.5146
2019-12-02,41.4942
2019-12-03,42.3789
2019-12-04,34.6347
2019-12-05,43.0264
2019-12-06,43.0385
2019-12-09,43.0586
2019-12-10,39.6608
2019-12-11,31.3383
2019-12-12,94.9531
2019-12-13,94.9531
2019-12-16,75.347
2019-12-17,21.1442
2019-12-18,16.0987
2019-12-19,16.7136
2019-12-20,29.854
