date,1. open,2. high,3. low,4. close,5. volume
2021-02-02,349.05,352.34,349.0,350.74,2909313.0
2021-02-01,343.63,346.85,341.4,345.77,3177234.0
2021-01-29,345.31,346.22,338.57,340.18,5803647.0
2021-01-28,345.97,351.0707,345.58,347.13,3432188.0
2021-01-27,349.54,349.56,341.99,344.24,5010372.0
2021-01-26,354.23,354.645,352.6,352.8,2430244.0
2021-01-25,352.71,353.6814,347.97,353.33,3548997.0
2021-01-22,351.38,353.04,350.99,351.9,1812174.0
2021-01-21,353.46,353.835,352.302,353.16,2582562.0
2021-01-20,350.32,353.71,349.97,352.83,2920573.0
2021-01-19,347.8,348.587,346.36,348.1,3433790.0
2021-01-15,346.27,347.06,343.53,345.37,3622148.0
2021-01-14,349.85,350.3183,347.55,347.85,3497443.0
2021-01-13,348.11,350.06,347.32,349.03,3039926.0
2021-01-12,348.3,349.15,345.97,348.16,2291537.0
2021-01-11,347.36,349.82,347.202,348.13,2987858.0
2021-01-08,349.88,350.619,346.64,350.42,3758462.0
2021-01-07,345.74,349.2,345.54,348.46,3638857.0
2021-01-06,339.79,346.5,339.3,343.33,4804950.0
2021-01-05,338.4,342.39,338.39,341.26,3299716.0
2021-01-04,345.02,345.09,335.37,339.03,5402614.0
2020-12-31,341.82,344.37,341.23,343.69,3507320.0
2020-12-30,342.28,342.91,341.565,341.85,2009135.0
2020-12-29,343.63,343.77,340.87,341.39,2555542.0
2020-12-28,341.74,342.46,341.09,342.11,2761273.0
2020-12-24,338.37,339.18,337.77,339.16,1447667.0
2020-12-23,338.54,339.75,337.69,337.81,3682167.0
2020-12-22,338.47,338.55,336.47,337.54,2381325.0
2020-12-21,336.83,340.38,334.11,339.59,3918085.0
2020-12-18,342.39,342.5,338.7,340.64,6025650.0
2020-12-17,341.77,342.25,340.96,342.01,2626995.0
2020-12-16,339.83,341.04,338.96,340.16,2943154.0
2020-12-15,337.64,339.64,336.24,339.64,2762601.0
2020-12-14,338.76,339.79,334.89,335.01,2654634.0
2020-12-11,335.31,336.8,333.77,336.55,2387889.0
2020-12-10,335.74,337.9999,334.842,336.98,2738559.0
2020-12-09,340.79,340.9329,336.26,337.14,2545788.0
2020-12-08,337.89,340.7,337.85,340.16,1948194.0
2020-12-07,339.07,339.63,337.91,339.18,1943081.0
2020-12-04,337.5045,339.84,337.45,339.81,2907285.0
2020-12-03,336.91,338.3,335.88,336.91,2851086.0
2020-12-02,335.22,337.11,334.65,337.01,2270336.0
2020-12-01,335.92,337.8,335.32,336.3,3181534.0
2020-11-30,333.4,333.63,330.04,332.64,4175707.0
2020-11-27,334.285,334.61,333.18,334.14,984710.0
2020-11-25,333.67,333.67,332.15,333.19,2256860.0
2020-11-24,331.02,334.25,330.1,333.74,2597519.0
2020-11-23,328.28,329.6,326.06,328.42,2222635.0
2020-11-20,328.41,328.658,326.4,326.49,3517557.0
2020-11-19,326.76,329.09,325.41,328.69,2962161.0
2020-11-18,331.63,332.14,327.29,327.32,2647827.0
2020-11-17,330.73,332.5,329.25,331.34,3052136.0
2020-11-16,331.65,333.12,330.405,333.0,3018755.0
2020-11-13,326.45,329.73,325.89,329.01,1998446.0
2020-11-12,326.74,327.44,322.73,324.6,2539783.0
2020-11-11,327.42,328.5,326.17,327.63,2773482.0
2020-11-10,324.77,326.3,322.06,325.34,4120821.0
2020-11-09,334.36,335.2,325.28,325.76,8097281.0
2020-11-06,321.44,322.92,319.425,321.75,3640619.0
2020-11-05,320.94,323.55,320.52,321.79,3950281.0
2020-11-04,313.19,319.65,312.0,315.61,5750173.0
2020-11-03,306.57,310.74,306.09,308.66,3378343.0
2020-11-02,303.37,305.31,300.63,303.31,4080396.0
2020-10-30,301.56,302.86,296.37,299.82,5892432.0
2020-10-29,300.32,306.25,298.69,303.23,5365171.0
2020-10-28,305.13,305.74,299.615,300.07,5650454.0
2020-10-27,312.18,312.47,310.5583,310.77,2196107.0
2020-10-26,314.31,315.08,308.36,311.8,3335822.0
2020-10-23,317.84,317.84,315.24,317.65,1429454.0
2020-10-22,315.06,317.16,312.99,316.57,2362400.0
2020-10-21,315.41,317.5224,314.59,314.84,2607729.0
