date,MACD_Hist,MACD_Signal,MACD
2021-01-22,0.1833,4.0185,4.2019
2021-01-21,0.2261,3.9727,4.1988
2021-01-20,0.0893,3.9162,4.0054
2021-01-19,-0.1598,3.8939,3.734
2021-01-15,-0.1189,3.9338,3.8149
2021-01-14,0.177,3.9636,4.1406
2021-01-13,0.3243,3.9193,4.2436
2021-01-12,0.3549,3.8382,4.1931
2021-01-11,0.4068,3.7495,4.1563
2021-01-08,0.4041,3.6478,4.052
2021-01-07,0.0799,3.5468,3.6266
2021-01-06,-0.2962,3.5268,3.2306
2021-01-05,-0.4004,3.6009,3.2005
2021-01-04,-0.3748,3.701,3.3262
2020-12-31,-0.1293,3.7947,3.6653
2020-12-30,-0.2566,3.827,3.5704
2020-12-29,-0.3064,3.8911,3.5847
2020-12-28,-0.3701,3.9677,3.5976
2020-12-24,-0.5718,4.0603,3.4884
2020-12-23,-0.6045,4.2032,3.5987
2020-12-22,-0.5297,4.3544,3.8246
2020-12-21,-0.402,4.4868,4.0848
2020-12-18,-0.2975,4.5873,4.2898
2020-12-17,-0.27899999999999997,4.6617,4.3826
2020-12-16,-0.433,4.7314,4.2984
2020-12-15,-0.5237,4.8397,4.316
2020-12-14,-0.6422,4.9706,4.3284
2020-12-11,-0.3804,5.1312,4.7508
2020-12-10,-0.1617,5.2263,5.0646
2020-12-09,0.0811,5.2667,5.3479
2020-12-08,0.369,5.2464,5.6154
2020-12-07,0.4148,5.1542,5.569
2020-12-04,0.4777,5.0505,5.5281
2020-12-03,0.4006,4.931,5.3317
2020-12-02,0.4665,4.8309,5.2974
2020-12-01,0.4522,4.7143,5.1665
2020-11-30,0.3951,4.6012,4.9963
2020-11-27,0.575,4.5024,5.0775
2020-11-25,0.5965,4.3587,4.9552
2020-11-24,0.6137,4.2096,4.8233
2020-11-23,0.4729,4.0561,4.529
2020-11-20,0.6891,3.9379,4.627
2020-11-19,1.1149,3.7656,4.8805
2020-11-18,1.4231,3.4869,4.91
2020-11-17,1.8841,3.1311,5.0152
2020-11-16,2.0087,2.6601,4.6688
2020-11-13,1.8325,2.1579,3.9904
2020-11-12,1.7713,1.6998,3.4711
2020-11-11,1.9481,1.2570000000000001,3.205
2020-11-10,1.7416,0.77,2.5115
2020-11-09,1.4875,0.3346,1.8219999999999998
2020-11-06,0.9102,-0.0373,0.8729
2020-11-05,0.3203,-0.2649,0.0554
2020-11-04,-0.6479,-0.3449,-0.9928
2020-11-03,-1.5068,-0.183,-1.6897
2020-11-02,-2.0436,0.1937,-1.8498
2020-10-30,-2.1895,0.7046,-1.4848
2020-10-29,-1.8954,1.252,-0.6434
2020-10-28,-1.6318,1.7259,0.0941
2020-10-27,-0.7794,2.1338,1.3544
2020-10-26,-0.4702,2.3286,1.8584
2020-10-23,-0.076,2.4462,2.3702
2020-10-22,-0.0694,2.4652,2.3958
2020-10-21,0.0205,2.4825,2.5031
2020-10-20,0.3016,2.4774,2.779
2020-10-19,0.6311,2.4019999999999997,3.033
2020-10-16,1.1946,2.2442,3.4389
2020-10-15,1.4725,1.9456,3.4181
2020-10-14,1.7369999999999999,1.5774,3.3144
2020-10-13,1.9522,1.1432,3.0954
2020-10-12,1.9118,0.6551,2.5669
2020-10-09,1.4680000000000002,0.1772,1.6452
2020-10-08,1.1559,-0.1898,0.9661
2020-10-07,0.8490000000000001,-0.4788,0.3702
2020-10-06,0.5761,-0.691,-0.115
2020-10-05,0.6379,-0.835,-0.1971
2020-10-02,0.2534,-0.9945,-0.7412
2020-10-01,0.1766,-1.0579,-0.8813
2020-09-30,-0.2374,-1.102,-1.3394
2020-09-29,-0.6642,-1.0427,-1.7069
2020-09-28,-1.0362,-0.8766,-1.9128
2020-09-25,-1.7069999999999999,-0.6176,-2.3246
2020-09-24,-2.1127,-0.1908,-2.3035
2020-09-23,-2.0978,0.3374,-1.7605
2020-09-22,-1.8207,0.8618,-0.9589
2020-09-21,-1.9518,1.317,-0.6347
2020-09-18,-1.7088,1.805,0.0962
2020-09-17,-1.5386,2.2322,0.6935
2020-09-16,-1.5334,2.6168,1.0834
2020-09-15,-1.7096,3.0002,1.2906
2020-09-14,-2.0185,3.4276,1.4091
2020-09-11,-2.2309,3.9322,1.7013
2020-09-10,-2.0374,4.4899,2.4525
2020-09-09,-1.6005,4.9992,3.3988
2020-09-08,-1.3935,5.3994,4.0059
2020-09-04,-0.4154,5.7477,5.3323
2020-09-03,0.2229,5.8516,6.0744
2020-09-02,0.8809,5.7959,6.6768
2020-09-01,0.6239,5.5756,6.1995
2020-08-31,0.557,5.4197,5.9766
2020-08-28,0.6278,5.2804,5.9082
2020-08-27,0.4974,5.1235,5.6208
2020-08-26,0.3831,4.9991,5.3823
2020-08-25,0.1608,4.9033,5.0641
2020-08-24,0.0474,4.8631,4.9106
2020-08-21,-0.0971,4.8513,4.7542
2020-08-20,-0.0701,4.8756,4.8055
2020-08-19,0.02,4.8931,4.9131
2020-08-18,0.19,4.8881,5.078
2020-08-17,0.2408,4.8406,5.0814
2020-08-14,0.297,4.7804,5.0774
2020-08-13,0.3932,4.7062,5.0994
2020-08-12,0.4454,4.6079,5.0533
2020-08-11,0.3709,4.4965,4.8674
2020-08-10,0.5787,4.4038,4.9825
2020-08-07,0.5463,4.2591,4.8054
2020-08-06,0.4859,4.1226,4.6085
2020-08-05,0.3052,4.0011,4.3063
2020-08-04,0.1401,3.9248,4.0649
