date,MFI
2021-01-22,58.463
2021-01-21,63.6149
2021-01-20,63.1396
2021-01-19,62.745
2021-01-15,62.2231
2021-01-14,68.4383
2021-01-13,76.3434
2021-01-12,75.946
2021-01-11,73.4356
2021-01-08,69.0503
2021-01-07,68.2596
2021-01-06,67.7305
2021-01-05,66.2276
2021-01-04,65.7055
2020-12-31,70.5331
2020-12-30,63.2908
2020-12-29,57.6159
2020-12-28,56.9546
2020-12-24,51.1792
2020-12-23,52.8931
2020-12-22,51.8994
2020-12-21,46.1815
2020-12-18,55.003
2020-12-17,57.8637
2020-12-16,55.9037
2020-12-15,54.9861
2020-12-14,54.7179
2020-12-11,54.0842
2020-12-10,52.5224
2020-12-09,52.3106
2020-12-08,52.2668
2020-12-07,45.5173
2020-12-04,52.1032
2020-12-03,50.8414
2020-12-02,43.6375
2020-12-01,50.3834
2020-11-30,40.964
2020-11-27,56.1728
2020-11-25,50.798
2020-11-24,52.457
2020-11-23,55.2184
2020-11-20,56.0584
2020-11-19,63.1419
2020-11-18,60.2854
2020-11-17,66.6693
2020-11-16,64.2336
2020-11-13,59.9686
2020-11-12,55.3258
2020-11-11,58.8466
2020-11-10,54.4677
2020-11-09,56.0207
2020-11-06,51.4685
2020-11-05,52.9759
2020-11-04,50.6863
2020-11-03,41.5054
2020-11-02,35.1973
2020-10-30,27.1935
2020-10-29,35.4199
2020-10-28,31.2476
2020-10-27,40.1346
2020-10-26,46.032
2020-10-23,45.9862
2020-10-22,47.4582
2020-10-21,46.5051
2020-10-20,54.7479
2020-10-19,56.2084
2020-10-16,56.2044
2020-10-15,57.0338
2020-10-14,64.1103
2020-10-13,62.3486
2020-10-12,61.7857
2020-10-09,62.1722
2020-10-08,52.5666
2020-10-07,46.2532
2020-10-06,40.9813
2020-10-05,42.0368
2020-10-02,42.3315
2020-10-01,49.7435
2020-09-30,41.8527
2020-09-29,32.226
2020-09-28,39.3067
2020-09-25,32.2399
2020-09-24,24.9129
2020-09-23,22.9142
2020-09-22,32.0044
2020-09-21,32.5698
2020-09-18,41.5635
2020-09-17,47.9404
2020-09-16,52.6398
2020-09-15,57.1394
2020-09-14,57.4076
2020-09-11,56.8802
2020-09-10,62.6042
2020-09-09,63.9938
2020-09-08,58.5662
2020-09-04,65.5465
2020-09-03,74.3879
2020-09-02,83.2923
2020-09-01,72.6031
2020-08-31,72.476
2020-08-28,62.0638
2020-08-27,60.4539
2020-08-26,61.4094
2020-08-25,62.7492
2020-08-24,62.3988
2020-08-21,62.1006
2020-08-20,63.3781
2020-08-19,70.7976
2020-08-18,70.2586
2020-08-17,70.1577
2020-08-14,63.746
2020-08-13,68.682
2020-08-12,70.9323
2020-08-11,63.2163
2020-08-10,71.959
2020-08-07,72.8707
2020-08-06,72.331
2020-08-05,71.0484
2020-08-04,63.2748
2020-08-03,66.6091
2020-07-31,58.5203
2020-07-30,57.7263
2020-07-29,63.7181
2020-07-28,57.824
2020-07-27,63.786
2020-07-24,57.6918
2020-07-23,64.0658
2020-07-22,71.26
2020-07-21,70.9012
2020-07-20,71.6466
2020-07-17,72.0455
2020-07-16,65.0656
2020-07-15,65.0907
2020-07-14,54.922
2020-07-13,61.6613
2020-07-10,55.6216
2020-07-09,56.2572
2020-07-08,56.7761
2020-07-07,56.9418
2020-07-06,65.2045
2020-07-02,65.6522
2020-07-01,55.9948
2020-06-30,45.9516
2020-06-29,36.7361
2020-06-26,30.2514
2020-06-25,38.8825
2020-06-24,47.0949
2020-06-23,47.5748
2020-06-22,49.9357
2020-06-19,54.9007
2020-06-18,55.1179
2020-06-17,51.9928
2020-06-16,53.1942
2020-06-15,52.9982
2020-06-12,53.2618
2020-06-11,56.2081
2020-06-10,59.7147
2020-06-09,67.8199
2020-06-08,68.0294
2020-06-05,68.3452
2020-06-04,66.7967
2020-06-03,63.5715
2020-06-02,55.5853
2020-06-01,48.7007
2020-05-29,48.2625
2020-05-28,56.151
2020-05-27,55.1489
2020-05-26,48.6777
2020-05-22,48.0996
2020-05-21,46.8267
2020-05-20,46.0715
2020-05-19,36.9459
2020-05-18,45.8896
2020-05-15,45.0228
2020-05-14,45.4418
2020-05-13,54.5617
2020-05-12,63.9995
2020-05-11,71.7552
2020-05-08,64.0395
2020-05-07,56.9153
2020-05-06,58.7513
2020-05-05,63.8995
2020-05-04,58.1493
2020-05-01,64.3013
2020-04-30,62.3399
2020-04-29,71.4414
2020-04-28,71.3327
2020-04-27,73.2561
2020-04-24,74.1146
2020-04-23,69.1451
2020-04-22,68.5507
2020-04-21,58.7412
2020-04-20,56.9709
2020-04-17,63.6967
2020-04-16,55.566
2020-04-15,57.6906
2020-04-14,63.6337
2020-04-13,64.9502
2020-04-09,63.0891
2020-04-08,55.9696
2020-04-07,57.2246
2020-04-06,46.4468
2020-04-03,48.7365
2020-04-02,45.5792
2020-04-01,49.6277
2020-03-31,46.8244
2020-03-30,46.3906
2020-03-27,47.2321
2020-03-26,45.7454
2020-03-25,40.6508
2020-03-24,35.6958
2020-03-23,33.6809
2020-03-20,33.813
2020-03-19,40.6273
2020-03-18,32.2343
2020-03-17,32.4149
2020-03-16,25.6745
2020-03-13,26.441
2020-03-12,17.4111
2020-03-11,19.5555
2020-03-10,20.3093
2020-03-09,15.6282
2020-03-06,17.1631
2020-03-05,19.4728
2020-03-04,20.171
2020-03-03,17.8853
2020-03-02,21.8707
2020-02-28,13.1704
2020-02-27,16.9374
2020-02-26,24.4089
2020-02-25,34.6773
2020-02-24,45.4451
2020-02-21,58.993
2020-02-20,53.993
2020-02-19,54.4627
2020-02-18,54.93600000000001
2020-02-14,63.0079
2020-02-13,55.325
2020-02-12,53.6054
2020-02-11,48.1527
2020-02-10,48.4785
2020-02-07,42.9274
2020-02-06,47.9073
2020-02-05,48.62
2020-02-04,48.3181
2020-02-03,48.684
2020-01-31,48.1243
2020-01-30,50.8569
2020-01-29,58.9057
2020-01-28,59.8367
2020-01-27,58.6254
2020-01-24,67.8337
2020-01-23,68.3075
2020-01-22,75.5
2020-01-21,68.9799
2020-01-17,69.8405
2020-01-16,69.7997
2020-01-15,69.6188
2020-01-14,64.8538
2020-01-13,64.5253
2020-01-10,66.5143
2020-01-09,75.101
2020-01-08,75.7793
2020-01-07,75.6973
2020-01-06,76.2165
2020-01-03,76.6124
2020-01-02,84.6786
2019-12-31,84.13
2019-12-30,85.7707
2019-12-27,87.8644
2019-12-26,87.6424
2019-12-24,87.3452
2019-12-23,91.4291
2019-12-20,83.4837
2019-12-19,71.7814
2019-12-18,66.2808
2019-12-17,64.6927
2019-12-16,62.7201
2019-12-13,61.4246
2019-12-12,58.5663
2019-12-11,49.5792
2019-12-10,42.1589
2019-12-09,50.3536
2019-12-06,55.9827
2019-12-05,56.3276
2019-12-04,57.1257
2019-12-03,50.0172
2019-12-02,57.8545
2019-11-29,64.6762
2019-11-27,63.99800000000001
2019-11-26,65.2404
2019-11-25,59.8566
2019-11-22,51.1973
2019-11-21,54.9313
2019-11-20,62.042
2019-11-19,63.1291
2019-11-18,61.2736
2019-11-15,60.3179
2019-11-14,60.0703
2019-11-13,63.8588
2019-11-12,69.5117
2019-11-11,65.2453
2019-11-08,64.3989
2019-11-07,71.90100000000002
2019-11-06,67.0779
2019-11-05,72.8722
2019-11-04,77.139
2019-11-01,75.5738
2019-10-31,70.5189
2019-10-30,78.7336
2019-10-29,78.5032
2019-10-28,78.6824
2019-10-25,72.0187
2019-10-24,68.0831
2019-10-23,67.64699999999999
2019-10-22,63.7899
2019-10-21,58.143
2019-10-18,47.2404
2019-10-17,53.2688
2019-10-16,44.201
2019-10-15,49.5845
2019-10-14,43.1956
2019-10-11,38.8261
2019-10-10,32.844
2019-10-09,28.304000000000002
2019-10-08,29.0682
2019-10-07,29.1164
2019-10-04,29.1112
2019-10-03,24.4389
2019-10-02,24.8305
2019-10-01,33.1594
2019-09-30,40.9841
2019-09-27,33.6941
2019-09-26,41.1514
2019-09-25,40.2828
2019-09-24,47.191
2019-09-23,59.0372
2019-09-20,54.9806
2019-09-19,64.6657
2019-09-18,65.5236
2019-09-17,72.7912
2019-09-16,73.2789
2019-09-13,78.0946
2019-09-12,74.2972
2019-09-11,68.6024
2019-09-10,68.5024
2019-09-09,68.5936
2019-09-06,67.9016
2019-09-05,68.328
2019-09-04,61.6864
2019-09-03,53.5232
2019-08-30,62.1242
2019-08-29,53.5545
2019-08-28,45.8649
2019-08-27,46.641999999999996
2019-08-26,38.3657
2019-08-23,41.4198
2019-08-22,38.6004
2019-08-21,35.8325
2019-08-20,28.6255
2019-08-19,27.0154
2019-08-16,24.2985
2019-08-15,19.8229
2019-08-14,23.4284
2019-08-13,24.4427
2019-08-12,22.0114
2019-08-09,25.8632
2019-08-08,26.5247
2019-08-07,19.7901
2019-08-06,20.0524
2019-08-05,11.7613
2019-08-02,13.3918
2019-08-01,18.9559
2019-07-31,30.6487
2019-07-30,41.2352
2019-07-29,49.2404
2019-07-26,49.9665
2019-07-25,41.9911
2019-07-24,40.0849
2019-07-23,41.2668
2019-07-22,43.4195
2019-07-19,51.6727
2019-07-18,58.4288
2019-07-17,66.2562
2019-07-16,64.2218
2019-07-15,63.1108
2019-07-12,56.3341
2019-07-11,55.50100000000001
2019-07-10,56.5806
2019-07-09,55.2429
2019-07-08,61.413999999999994
2019-07-05,68.2502
2019-07-03,72.4672
2019-07-02,72.0071
2019-07-01,65.9567
2019-06-28,57.1416
2019-06-27,57.0274
2019-06-26,56.7359
2019-06-25,65.3986
2019-06-24,73.11
2019-06-21,84.5231
2019-06-20,73.9628
2019-06-19,63.2735
2019-06-18,64.5425
2019-06-17,54.2386
2019-06-14,48.2923
2019-06-13,52.3573
2019-06-12,45.1508
2019-06-11,43.2942
2019-06-10,49.0035
2019-06-07,42.2789
2019-06-06,37.0297
2019-06-05,38.4352
2019-06-04,38.1772
2019-06-03,39.8474
2019-05-31,38.3167
2019-05-30,45.4876
2019-05-29,39.0214
2019-05-28,40.589
2019-05-24,38.6218
2019-05-23,33.1547
2019-05-22,38.6587
2019-05-21,38.9523
2019-05-20,33.0749
2019-05-17,33.5535
2019-05-16,38.4163
2019-05-15,37.0067
2019-05-14,32.384
2019-05-13,26.9086
2019-05-10,36.1193
2019-05-09,32.4972
2019-05-08,32.7464
2019-05-07,33.4975
2019-05-06,43.7312
2019-05-03,47.363
2019-05-02,47.1972
2019-05-01,55.3972
