date,1. open,2. high,3. low,4. close,5. volume
2021-02-01,17.15,17.58,17.03,17.445,8954928.0
2021-01-29,17.25,17.58,16.9,16.99,8256088.0
2021-01-28,16.9,17.445,16.84,17.19,9215227.0
2021-01-27,17.0,17.17,16.61,16.86,14517707.0
2021-01-26,17.2,17.36,17.08,17.09,5968669.0
2021-01-25,17.26,17.4,17.125,17.23,9460056.0
2021-01-22,17.244,17.52,17.1,17.43,5726564.0
2021-01-21,17.36,17.62,16.8,17.31,13895074.0
2021-01-20,17.45,17.71,17.31,17.69,9953076.0
2021-01-19,17.26,17.56,17.08,17.44,10847169.0
2021-01-15,17.11,17.2,16.7318,17.05,19765045.0
2021-01-14,18.3373,18.355,16.75,17.31,44993158.0
2021-01-13,18.27,18.71,18.2,18.4,9185867.0
2021-01-12,18.45,18.67,18.2,18.24,7677583.0
2021-01-11,18.2,18.66,18.12,18.47,6961189.0
2021-01-08,18.42,18.6,18.03,18.3,6893458.0
2021-01-07,18.52,18.69,18.36,18.52,7195092.0
2021-01-06,18.17,18.675,18.1,18.49,8625061.0
2021-01-05,18.49,18.605,17.81,18.1,12217787.0
2021-01-04,18.66,18.77,18.21,18.54,12215605.0
2020-12-31,18.22,18.86,18.03,18.74,14375983.0
2020-12-30,17.61,18.18,17.58,18.13,10332307.0
2020-12-29,17.6607,17.8,17.52,17.75,4811911.0
2020-12-28,17.8561,17.88,17.62,17.74,4929334.0
2020-12-24,17.8,17.92,17.67,17.77,1946680.0
2020-12-23,17.7467,18.04,17.66,17.88,6303385.0
2020-12-22,17.43,17.84,17.27,17.74,11415468.0
2020-12-21,17.4,17.55,17.25,17.39,14799820.0
2020-12-18,17.7,17.8,17.515,17.75,18226276.0
2020-12-17,17.75,17.89,17.55,17.72,14484983.0
2020-12-16,17.62,18.27,17.56,17.86,17203789.0
2020-12-15,17.4,17.87,17.2,17.73,13189112.0
2020-12-14,17.34,17.53,17.08,17.33,16694055.0
2020-12-11,17.5,17.75,17.08,17.34,15842674.0
2020-12-10,17.32,17.85,17.3,17.69,9422490.0
2020-12-09,17.85,17.975,17.5,17.52,12701883.0
2020-12-08,17.41,17.93,17.405,17.84,9303086.0
2020-12-07,17.61,18.0,17.52,17.57,10008659.0
2020-12-04,17.33,17.7,17.25,17.6,15946922.0
2020-12-03,17.1358,17.47,16.94,17.37,16848384.0
2020-12-02,16.9342,17.27,16.84,17.125,22173216.0
2020-12-01,16.88,17.15,16.74,17.01,15032761.0
2020-11-30,17.03,17.16,16.8,16.82,21166326.0
2020-11-27,17.1,17.37,16.9,17.05,11024657.0
2020-11-25,16.68,17.31,16.55,17.07,15353777.0
2020-11-24,16.735,17.0,16.29,16.9,22966745.0
2020-11-23,17.2355,17.25,16.5,16.77,20717971.0
2020-11-20,18.4,18.42,17.0,17.13,38015407.0
2020-11-19,16.0,18.2,15.99,18.11,35794059.0
2020-11-18,16.46,16.99,15.95,16.19,31517441.0
2020-11-17,15.39,17.93,15.3,16.34,60532936.0
2020-11-16,15.64,16.15,15.34,15.86,26574200.0
