date,MACD_Signal,MACD_Hist,MACD
2021-02-02,-2.6971,0.7112,-1.9859
2021-02-01,-3.0528,-0.0054,-3.0581
2021-01-29,-2.1142,-1.4696,-3.5838
2021-01-28,-1.7468,-1.3056,-3.0525
2021-01-27,-1.4204,-1.4155,-2.8360000000000003
2021-01-26,-1.0666,-1.1209,-2.1874
2021-01-25,-0.7863,-1.2583,-2.0446
2021-01-22,-0.4718,-1.256,-1.7278
2021-01-21,-0.1578,-1.2463,-1.4041
2021-01-20,0.1538,-1.442,-1.2882
2021-01-19,0.5143,-1.7245,-1.2102
2021-01-15,0.9454,-1.5954,-0.65
2021-01-14,1.3443,-1.2628,0.0815
2021-01-13,1.66,-0.6734,0.9865
2021-01-12,1.8283,-0.4637,1.3647
2021-01-11,1.9442,-0.0669,1.8774
2021-01-08,1.961,0.1332,2.0941
2021-01-07,1.9277,0.152,2.0797
2021-01-06,1.8897,0.3083,2.198
2021-01-05,1.8126,0.6256,2.4382
2021-01-04,1.6562,0.8607,2.5168
2020-12-31,1.4409999999999998,0.8087,2.2497
2020-12-30,1.2388,0.5385,1.7773
2020-12-29,1.1042,0.0819,1.1861
2020-12-28,1.0837,-0.2632,0.8206
2020-12-24,1.1495,-0.6303,0.5192
2020-12-23,1.3071,-0.7799,0.5272
2020-12-22,1.5019999999999998,-0.6262,0.8759
2020-12-21,1.6586,-0.4054,1.2532
2020-12-18,1.7599,-0.3661,1.3938
2020-12-17,1.8515,-0.5327,1.3188
2020-12-16,1.9846,-0.7675,1.2172
2020-12-15,2.1765,-0.8105,1.366
2020-12-14,2.3791,-0.8522,1.5269
2020-12-11,2.5922,-0.769,1.8232
2020-12-10,2.7844,-0.5068,2.2776
2020-12-09,2.9111,-0.2262,2.685
2020-12-08,2.9677,-0.0024,2.9653
2020-12-07,2.9683,-0.0131,2.9551
2020-12-04,2.9716,-0.0601,2.9114
2020-12-03,2.9866,-0.1763,2.8103
2020-12-02,3.0307,0.081,3.1116
2020-12-01,3.0104,0.2238,3.2342
2020-11-30,2.9545,0.2852,3.2397
2020-11-27,2.8832,0.403,3.2862
2020-11-25,2.7824,0.4491,3.2315
2020-11-24,2.6701,0.4558,3.1259
2020-11-23,2.5562,0.5127,3.0689
2020-11-20,2.428,0.6782,3.1062
2020-11-19,2.2585,1.286,3.5445
2020-11-18,1.937,1.7396,3.6766
2020-11-17,1.5021,2.2632,3.7653
2020-11-16,0.9363,2.5942,3.5304
2020-11-13,0.2877,2.689,2.9767
2020-11-12,-0.3845,2.8373,2.4527
2020-11-11,-1.0938,3.0681,1.9743
2020-11-10,-1.8609,2.7769,0.9161
2020-11-09,-2.5551,2.0451,-0.51
2020-11-06,-3.0664,0.8078,-2.2586
2020-11-05,-3.2683,0.2552,-3.0131
2020-11-04,-3.3321,-0.5157,-3.8478
2020-11-03,-3.2032,-1.281,-4.4842
2020-11-02,-2.883,-1.776,-4.6589
2020-10-30,-2.439,-2.0092,-4.4481
2020-10-29,-1.9367,-1.8697,-3.8063
2020-10-28,-1.4693,-1.7838,-3.2531
2020-10-27,-1.0233,-1.0696,-2.0929
2020-10-26,-0.7559,-0.7601,-1.516
2020-10-23,-0.5659,-0.4977,-1.0636
2020-10-22,-0.4414,-0.5315,-0.9729
2020-10-21,-0.3086,-0.5324,-0.841
2020-10-20,-0.1755,-0.5296,-0.7051
2020-10-19,-0.0431,-0.4041,-0.4471
2020-10-16,0.058,-0.0951,-0.0372
2020-10-15,0.0817,0.0704,0.1521
2020-10-14,0.0641,0.3996,0.4637
2020-10-13,-0.0358,0.6211,0.5853
2020-10-12,-0.191,0.7075,0.5164
2020-10-09,-0.3679,0.5774,0.2095
2020-10-08,-0.5123,0.3027,-0.2096
2020-10-07,-0.5879,0.2185,-0.3694
2020-10-06,-0.6425,0.1263,-0.5162
2020-10-05,-0.6741,0.1834,-0.4907
2020-10-02,-0.72,-0.0452,-0.7652
2020-10-01,-0.7087,-0.1843,-0.8929
2020-09-30,-0.6626,-0.5725,-1.2351
2020-09-29,-0.5195,-0.7907,-1.3102
2020-09-28,-0.3218,-1.0114,-1.3332
2020-09-25,-0.0689,-1.3636,-1.4325
2020-09-24,0.272,-1.4984,-1.2265
2020-09-23,0.6466,-1.4162,-0.7697
2020-09-22,1.0006,-1.1609,-0.1603
2020-09-21,1.2908,-1.1985,0.0923
2020-09-18,1.5905,-0.8609,0.7295
2020-09-17,1.8057,-0.7981,1.0076
2020-09-16,2.0052,-0.9277,1.0775
2020-09-15,2.2371,-1.0719,1.1653
2020-09-14,2.5051,-1.2712,1.2339
2020-09-11,2.8229,-1.4776,1.3453
2020-09-10,3.1923,-1.2873,1.905
2020-09-09,3.5141,-1.0099,2.5042
2020-09-08,3.7666,-0.7901,2.9765
2020-09-04,3.9641,-0.0277,3.9365
2020-09-03,3.9711,0.6719,4.643
2020-09-02,3.8031,1.237,5.0401
2020-09-01,3.4939,1.2152,4.7091
2020-08-31,3.1901,1.3463,4.5363
2020-08-28,2.8535,1.5346,4.3881
2020-08-27,2.4698,1.287,3.7569
2020-08-26,2.1481,1.2243,3.3724
2020-08-25,1.842,1.0688,2.9108
2020-08-24,1.5748,0.9242,2.499
2020-08-21,1.3437,0.7651,2.1088
2020-08-20,1.1525,0.6594,1.8119
2020-08-19,0.9876,0.4169,1.4045
2020-08-18,0.8834,0.302,1.1854
2020-08-17,0.8079,0.2819,1.0898
2020-08-14,0.7374,0.1717,0.9091
2020-08-13,0.6945,0.2545,0.949
2020-08-12,0.6309,0.2597,0.8906
2020-08-11,0.5660000000000001,0.1497,0.7157
2020-08-10,0.5285,0.052000000000000005,0.5806
2020-08-07,0.5155,-0.0164,0.4991
2020-08-06,0.5196,-0.0881,0.4315
2020-08-05,0.5417,-0.4473,0.0944
2020-08-04,0.6535,-0.7198,-0.0663
2020-08-03,0.8335,-0.7172,0.1163
2020-07-31,1.0128,-0.5027,0.5101
2020-07-30,1.1384,-0.1037,1.0347
2020-07-29,1.1644,0.1534,1.3178
2020-07-28,1.126,0.0751,1.2011
2020-07-27,1.1073,0.1142,1.2215
2020-07-24,1.0787,0.1337,1.2124
2020-07-23,1.0453,0.3167,1.3619
2020-07-22,0.9661,0.3354,1.3015
2020-07-21,0.8822,0.1781,1.0603
2020-07-20,0.8377,0.1409,0.9786
2020-07-17,0.8025,-0.1444,0.6581
2020-07-16,0.8386,-0.2561,0.5825
2020-07-15,0.9026,-0.2637,0.6389
2020-07-14,0.9686,-0.5765,0.3921
2020-07-13,1.1127,-0.7145,0.3982
2020-07-10,1.2913,-0.4536,0.8377
2020-07-09,1.4047,-0.3766,1.0281
2020-07-08,1.4989,-0.2082,1.2907
2020-07-07,1.5509,-0.2341,1.3168
2020-07-06,1.6094,-0.1901,1.4193
2020-07-02,1.6569999999999998,-0.4889,1.1681
2020-07-01,1.7792,-0.7366,1.0426
2020-06-30,1.9633,-0.9042,1.0592
2020-06-29,2.1894,-1.0626,1.1268
2020-06-26,2.455,-1.0766,1.3784
2020-06-25,2.7241,-0.8304,1.8937
2020-06-24,2.9318,-0.8859999999999999,2.0458
2020-06-23,3.1533,-0.6823,2.471
2020-06-22,3.3238,-1.012,2.3118
2020-06-19,3.5768,-1.1962,2.3806
2020-06-18,3.8759,-1.1619,2.714
2020-06-17,4.1664,-1.2399,2.9264
2020-06-16,4.4763,-1.2858,3.1905
2020-06-15,4.7978,-1.2475,3.5503
2020-06-12,5.1097,-1.0382,4.0714
2020-06-11,5.3692,-0.7426,4.6267
2020-06-10,5.5549,0.0563,5.6111
2020-06-09,5.5408,0.0678,5.6086
2020-06-08,5.5238,0.142,5.6658
2020-06-05,5.4884,0.1154,5.6037
2020-06-04,5.4595,-0.0176,5.4419
2020-06-03,5.4639,0.2984,5.7623
2020-06-02,5.3893,0.3702,5.7595
2020-06-01,5.2968,0.4271,5.7239
2020-05-29,5.19,0.6092,5.7992
2020-05-28,5.0377,0.6829999999999999,5.7207
2020-05-27,4.867,0.7697,5.6367
2020-05-26,4.6745,0.9192,5.5937
2020-05-22,4.4447,0.9721,5.4168
2020-05-21,4.2017,1.1502,5.3519
2020-05-20,3.9142,1.3013,5.2155
2020-05-19,3.5888,1.0479,4.6367
2020-05-18,3.3269,0.9604,4.2872
2020-05-15,3.0868,0.487,3.5738
2020-05-14,2.965,0.4471,3.4121
2020-05-13,2.8532,0.5658,3.419
2020-05-12,2.7118,1.053,3.7648
2020-05-11,2.4485,1.4922,3.9407
2020-05-08,2.0755,1.6179,3.6934
2020-05-07,1.671,1.4979,3.169
2020-05-06,1.2965,1.3971,2.6937
2020-05-05,0.9473,1.4998,2.4471
2020-05-04,0.5723,1.5589,2.1312
2020-05-01,0.1826,1.7466,1.9292
2020-04-30,-0.2541,1.956,1.702
2020-04-29,-0.7431,1.8111,1.068
2020-04-28,-1.1959,1.128,-0.0678
2020-04-27,-1.4779,1.0294,-0.4485
2020-04-24,-1.7352,0.7558,-0.9794
2020-04-23,-1.9242,0.7312,-1.193
2020-04-22,-2.1069,0.754,-1.3530000000000002
2020-04-21,-2.2954,0.7367,-1.5587
2020-04-20,-2.4796,1.295,-1.1846
2020-04-17,-2.8034,1.7396,-1.0638
2020-04-16,-3.2383,1.8051,-1.4332
2020-04-15,-3.6895,2.5272,-1.1623
2020-04-14,-4.3213,3.1629,-1.1585
2020-04-13,-5.112,3.0978,-2.0142
2020-04-09,-5.8865,3.3798,-2.5067
2020-04-08,-6.7314,3.1564,-3.5751
2020-04-07,-7.5205,2.5072,-5.0134
2020-04-06,-8.1473,2.0146,-6.1327
2020-04-03,-8.651,1.0926,-7.5584
2020-04-02,-8.9241,1.4385,-7.4856
2020-04-01,-9.2838,1.4385,-7.8453
2020-03-31,-9.6434,1.8869,-7.7565
2020-03-30,-10.1151,1.7731,-8.342
2020-03-27,-10.5584,1.1394,-9.419
2020-03-26,-10.8432,0.593,-10.2502
2020-03-25,-10.9914,-0.9125,-11.9039
2020-03-24,-10.7633,-2.3586,-13.1219
2020-03-23,-10.1737,-3.5774,-13.751
2020-03-20,-9.2793,-3.1705,-12.4499
2020-03-19,-8.4867,-3.2452,-11.7319
2020-03-18,-7.6754,-3.5186,-11.194
2020-03-17,-6.7958,-3.1669,-9.9626
2020-03-16,-6.004,-3.1956,-9.1996
2020-03-13,-5.2052,-2.2909,-7.4961
2020-03-12,-4.6324,-2.9941,-7.6265
2020-03-11,-3.8839,-2.2022,-6.0861
2020-03-10,-3.3333,-2.0022,-5.3356
2020-03-09,-2.8328,-2.4451,-5.2779
2020-03-06,-2.2215,-1.7437,-3.9652
2020-03-05,-1.7856,-1.7872,-3.5728
2020-03-04,-1.3388,-1.9446,-3.2833
2020-03-03,-0.8526,-2.7564,-3.609
2020-03-02,-0.1635,-2.9411,-3.1047
2020-02-28,0.5717,-3.6564,-3.0847
2020-02-27,1.4858,-3.429,-1.9432
2020-02-26,2.3431,-2.6236,-0.2805
2020-02-25,2.999,-1.883,1.116
2020-02-24,3.4698,-0.7081,2.7617
2020-02-21,3.6468,0.1224,3.7691
2020-02-20,3.6162,0.3686,3.9848
