date,MFI
2008-04-09,59.1118
2008-04-10,46.834
2008-04-11,59.7672
2008-04-14,55.9285
2008-04-15,50.19
2008-04-16,48.9592
2008-04-17,53.2964
2008-04-18,63.2775
2008-04-21,72.6866
2008-04-22,79.5449
2008-04-23,70.5726
2008-04-24,76.9581
2008-04-25,79.96
2008-04-28,82.505
2008-04-29,90.9972
2008-04-30,94.3204
2008-05-01,94.8909
2008-05-02,82.908
2008-05-05,85.3039
2008-05-06,86.0239
2008-05-07,86.9811
2008-05-08,79.6357
2008-05-09,73.2919
2008-05-12,65.3043
2008-05-13,67.9308
2008-05-14,68.3204
2008-05-15,64.6009
2008-05-16,62.3232
2008-05-19,58.0435
2008-05-20,50.3653
2008-05-21,42.6069
2008-05-22,45.1221
2008-05-23,39.1473
2008-05-27,37.7717
2008-05-28,33.7961
2008-05-29,45.3985
2008-05-30,55.28
2008-06-02,63.1731
2008-06-03,63.0791
2008-06-04,56.8876
2008-06-05,61.3959
2008-06-06,56.0926
2008-06-09,49.9393
2008-06-10,50.3131
2008-06-11,49.4355
2008-06-12,58.1097
2008-06-13,63.1414
2008-06-16,61.8127
2008-06-17,60.7666
2008-06-18,50.3298
2008-06-19,40.119
2008-06-20,47.525
2008-06-23,39.8456
2008-06-24,39.3562
2008-06-25,41.7684
2008-06-26,39.6021
2008-06-27,56.5664
2008-06-30,62.151
2008-07-01,63.0494
2008-07-02,57.9296
2008-07-03,53.932
2008-07-07,46.5153
2008-07-08,50.1725
2008-07-09,49.1299
2008-07-10,48.4565
2008-07-11,42.957
2008-07-14,42.5464
2008-07-15,41.5096
2008-07-16,43.3296
2008-07-17,50.7626
2008-07-18,36.6718
2008-07-21,30.3081
2008-07-22,29.7864
2008-07-23,35.065
2008-07-24,34.871
2008-07-25,36.7877
2008-07-28,31.3875
2008-07-29,38.2578
2008-07-30,47.2214
2008-07-31,42.1505
2008-08-01,41.3192
2008-08-04,47.9991
2008-08-05,44.4927
2008-08-06,37.3823
2008-08-07,37.6122
2008-08-08,43.142
2008-08-11,51.0998
2008-08-12,45.4007
2008-08-13,49.8773
2008-08-14,54.3433
2008-08-15,53.8339
2008-08-18,48.4028
2008-08-19,40.1536
2008-08-20,54.6258
2008-08-21,60.0875
2008-08-22,58.1421
2008-08-25,52.0874
2008-08-26,54.929
2008-08-27,63.5382
2008-08-28,62.7296
2008-08-29,58.5712
2008-09-02,68.7084
2008-09-03,58.361
2008-09-04,48.7609
2008-09-05,50.5935
2008-09-08,61.3343
2008-09-09,57.5028
2008-09-10,59.772
2008-09-11,65.8113
2008-09-12,66.2553
2008-09-15,63.6836
2008-09-16,56.8648
2008-09-17,49.4908
2008-09-18,41.4181
2008-09-19,45.3795
2008-09-22,40.1051
2008-09-23,39.8678
2008-09-24,44.032
2008-09-25,39.2156
2008-09-26,31.3439
2008-09-29,30.597
2008-09-30,29.5743
2008-10-01,27.044
2008-10-02,22.6321
2008-10-03,22.3019
2008-10-06,22.7297
2008-10-07,22.9379
2008-10-08,23.7375
2008-10-09,18.9582
2008-10-10,18.6726
2008-10-13,25.4919
2008-10-14,28.0381
2008-10-15,26.5672
2008-10-16,33.1235
2008-10-17,39.5957
2008-10-20,34.504
2008-10-21,30.7047
2008-10-22,30.7622
2008-10-23,31.5736
2008-10-24,33.9029
2008-10-27,41.3283
2008-10-28,50.7743
2008-10-29,51.6978
2008-10-30,62.4179
2008-10-31,61.7666
2008-11-03,55.4737
2008-11-04,67.4741
2008-11-05,59.5398
2008-11-06,52.6525
2008-11-07,57.7906
2008-11-10,57.9389
2008-11-11,63.4477
2008-11-12,63.5077
2008-11-13,69.2443
2008-11-14,69.2972
2008-11-17,63.3264
2008-11-18,61.984
2008-11-19,52.9353
2008-11-20,44.9997
2008-11-21,41.6151
2008-11-24,37.571
2008-11-25,45.5083
2008-11-26,52.5777
2008-11-28,50.6946
2008-12-01,50.4787
2008-12-02,49.7237
2008-12-03,57.4362
2008-12-04,56.6417
2008-12-05,56.7716
2008-12-08,64.5814
2008-12-09,58.3419
2008-12-10,58.8913
