date,1. open,2. high,3. low,4. close,5. volume
2021-02-02,7.7,7.92,7.7,7.9,806404.0
2021-02-01,7.49,7.65,7.46,7.56,780511.0
2021-01-29,7.58,7.71,7.5,7.5,839359.0
2021-01-28,7.6,7.79,7.57,7.7,642478.0
2021-01-27,7.8,7.92,7.5,7.6,1099060.0
2021-01-26,8.0,8.0,7.9,7.92,507060.0
2021-01-25,7.97,8.13,7.81,8.01,771266.0
2021-01-22,7.96,8.02,7.79,7.93,538953.0
2021-01-21,8.25,8.25,7.97,7.97,890400.0
2021-01-20,8.0,8.22,8.0,8.19,969200.0
2021-01-19,7.78,7.99,7.75,7.99,598300.0
2021-01-18,7.77,7.82,7.61,7.78,381900.0
2021-01-15,7.8,7.83,7.6,7.62,588700.0
2021-01-14,7.7,7.93,7.67,7.79,808600.0
2021-01-13,7.58,7.72,7.51,7.69,677800.0
2021-01-12,7.64,7.79,7.51,7.52,701800.0
2021-01-11,7.55,7.71,7.46,7.56,628100.0
2021-01-08,7.81,7.86,7.55,7.64,568100.0
2021-01-07,7.6,7.84,7.3,7.71,832700.0
2021-01-06,7.9,7.91,7.58,7.61,1139800.0
2021-01-05,7.9,7.99,7.83,7.93,592400.0
2021-01-04,8.11,8.11,7.72,7.85,1044200.0
2020-12-31,8.11,8.13,7.93,8.05,447600.0
2020-12-30,8.16,8.16,8.06,8.14,340100.0
2020-12-29,8.34,8.39,8.05,8.12,812700.0
2020-12-24,8.29,8.29,8.07,8.18,299000.0
2020-12-23,8.25,8.44,8.03,8.2,1109900.0
2020-12-22,7.95,8.4,7.94,8.12,2098100.0
2020-12-21,7.65,8.0,7.53,7.84,1737500.0
2020-12-18,7.25,7.72,7.21,7.65,1704200.0
2020-12-17,7.12,7.3,7.11,7.2,1096200.0
2020-12-16,6.86,7.09,6.75,7.08,1117300.0
2020-12-15,6.95,6.98,6.86,6.88,785300.0
2020-12-14,7.0,7.14,6.85,6.92,1084500.0
2020-12-11,6.91,6.95,6.83,6.9,600900.0
2020-12-10,6.99,7.05,6.9,6.95,450000.0
2020-12-09,7.37,7.47,6.98,6.99,1037000.0
2020-12-08,6.94,7.33,6.91,7.32,1847400.0
2020-12-07,6.86,6.98,6.81,6.89,570700.0
2020-12-04,7.02,7.03,6.86,6.9,511900.0
2020-12-03,7.01,7.25,6.9,6.97,1059500.0
2020-12-02,6.84,6.925,6.75,6.89,668700.0
2020-12-01,7.05,7.18,6.82,6.87,1058800.0
2020-11-30,6.96,7.06,6.76,7.03,3814700.0
2020-11-27,6.93,6.99,6.81,6.96,738700.0
2020-11-26,6.96,6.96,6.76,6.91,485900.0
2020-11-25,6.82,6.99,6.75,6.88,811100.0
2020-11-24,7.01,7.01,6.7,6.72,1743300.0
2020-11-23,7.28,7.34,6.96,7.01,1018300.0
2020-11-20,7.19,7.32,7.12,7.25,989200.0
2020-11-19,6.61,7.17,6.51,7.12,1818400.0
2020-11-18,7.2,7.2,6.7,6.72,3405500.0
2020-11-17,7.31,7.38,7.21,7.21,736900.0
2020-11-16,7.5,7.5,7.2,7.31,1178400.0
2020-11-13,7.64,7.64,7.41,7.55,854000.0
2020-11-12,7.7,7.83,7.27,7.38,1158300.0
2020-11-11,7.12,7.37,7.12,7.23,1628500.0
2020-11-10,7.44,7.47,7.03,7.14,1429300.0
2020-11-09,7.8,7.86,6.58,7.43,2397900.0
2020-11-06,7.95,8.03,7.78,7.97,726200.0
2020-11-05,8.05,8.07,7.79,7.9,886600.0
2020-11-04,7.99,8.27,7.81,7.93,1180300.0
2020-11-03,7.47,7.87,7.4,7.83,1156800.0
2020-11-02,7.4,7.57,7.21,7.3,996700.0
2020-10-30,7.6,7.63,7.33,7.35,1110300.0
2020-10-29,7.63,7.7,7.5,7.63,573900.0
2020-10-28,7.75,7.77,7.43,7.5,1118000.0
2020-10-27,7.5,7.92,7.4,7.9,1274100.0
2020-10-26,7.51,7.66,7.35,7.5,957200.0
2020-10-23,7.85,7.96,7.565,7.59,1241000.0
2020-10-22,7.75,7.82,7.61,7.64,1181900.0
2020-10-21,8.0,8.09,7.55,7.94,1977100.0
2020-10-20,8.39,8.39,7.95,7.99,2072700.0
2020-10-19,8.62,8.7,8.05,8.23,2690000.0
2020-10-16,8.18,8.53,8.06,8.41,1525600.0
2020-10-15,8.17,8.2,8.0,8.09,1032200.0
2020-10-14,8.08,8.25,8.06,8.22,1288400.0
2020-10-13,7.83,8.07,7.72,7.99,1191100.0
2020-10-09,7.75,7.88,7.61,7.77,857700.0
2020-10-08,8.0,8.04,7.68,7.71,1134400.0
2020-10-07,7.75,8.15,7.68,7.89,1637800.0
2020-10-06,7.4,7.92,7.25,7.6,2024900.0
2020-10-05,7.09,7.3,7.03,7.28,859300.0
2020-10-02,6.77,7.02,6.7,6.98,747800.0
2020-10-01,7.06,7.17,6.77,7.05,1481000.0
2020-09-30,7.19,7.33,7.11,7.21,991500.0
2020-09-29,7.15,7.25,6.98,7.11,1217000.0
2020-09-28,6.82,7.18,6.7,7.05,1439700.0
2020-09-25,6.39,6.7,6.16,6.55,1119200.0
2020-09-24,6.5,6.5,6.1,6.25,1203700.0
2020-09-23,6.83,6.83,6.48,6.56,926000.0
2020-09-22,6.8,6.98,6.73,6.74,924200.0
2020-09-21,6.75,6.86,6.51,6.77,843500.0
2020-09-18,6.98,7.05,6.76,6.91,1428500.0
2020-09-17,6.89,7.13,6.8,6.92,984300.0
2020-09-16,7.43,7.44,6.96,7.01,1634900.0
2020-09-15,6.41,7.39,6.37,7.25,2497500.0
2020-09-14,6.35,6.54,6.26,6.44,831900.0
2020-09-11,6.35,6.39,6.16,6.32,635600.0
2020-09-10,6.52,6.55,6.28,6.28,907800.0
2020-09-09,6.45,6.5,6.29,6.47,1010700.0
2020-09-08,6.2,6.54,5.9,6.25,1525000.0
