date,MACD,MACD_Hist,MACD_Signal
2021-02-12,0.8976,0.1807,0.7169
2021-02-11,0.8564,0.2298,0.6266
2021-02-10,0.8836,0.3719,0.5116
2021-02-09,0.708,0.3824,0.3257
2021-02-08,0.5702,0.4357,0.1345
2021-02-05,0.1973,0.2806,-0.0833
2021-02-04,-0.0095,0.2141,-0.2236
2021-02-03,-0.2627,0.0679,-0.3307
2021-02-02,-0.5514,-0.1868,-0.3646
2021-02-01,-0.5872,-0.316,-0.2713
2021-01-29,0.4626,-0.5144,0.977
2021-01-28,0.6877,-0.4179,1.1056
2021-01-27,0.8275,-0.3826,1.2101
2021-01-26,1.0419,-0.2639,1.3058
2021-01-25,1.2443,-0.1275,1.3717
2021-01-22,1.3939,-0.0097,1.4036
2021-01-21,1.5208,0.1148,1.406
2021-01-20,1.6382,0.2609,1.3773
2021-01-19,1.6136,0.3016,1.3121
2021-01-15,1.5751,0.3384,1.2367
2021-01-14,1.5905,0.4384,1.1521
2021-01-13,1.4109,0.3684,1.0425
2021-01-12,1.2914,0.341,0.9504
2021-01-11,1.0856,0.2204,0.8652
2021-01-08,0.9568,0.1467,0.8101
2021-01-07,0.8446,0.0712,0.7734
2021-01-06,0.684,-0.0716,0.7556
2021-01-05,0.5302,-0.2433,0.7735
2021-01-04,0.4493,-0.385,0.8343
2020-12-31,0.5127,-0.4178,0.9306
2020-12-30,0.5923,-0.4427,1.035
2020-12-29,0.6526,-0.4931,1.1457
2020-12-28,0.7802,-0.4888,1.269
2020-12-24,0.9063,-0.4849,1.3912
2020-12-23,1.0295,-0.4829,1.5124
2020-12-22,1.1516,-0.4816,1.6331
2020-12-21,1.375,-0.3785,1.7535
2020-12-18,1.5751,-0.273,1.8481
2020-12-17,1.7323,-0.1841,1.9164
2020-12-16,1.8403,-0.1221,1.9624
2020-12-15,1.9324,-0.0605,1.9929
2020-12-14,2.0018,-0.0063,2.008
2020-12-11,2.1395,0.1299,2.0096
2020-12-10,2.1395,0.1624,1.9771
2020-12-09,2.0603,0.1237,1.9365
2020-12-08,2.0536,0.1481,1.9056
2020-12-07,2.0244,0.1558,1.8686
2020-12-04,2.0168,0.1872,1.8296
2020-12-03,1.8825,0.0996,1.7828
2020-12-02,1.8945,0.1366,1.7579
2020-12-01,1.9225,0.1987,1.7238
2020-11-30,2.0508,0.3767,1.6741
2020-11-27,2.2018,0.6218,1.5799
2020-11-25,2.1465,0.722,1.4244
2020-11-24,1.9985,0.7546,1.2439
2020-11-23,1.6862,0.6309,1.0553
2020-11-20,1.4609,0.5633,0.8976
2020-11-19,1.4062,0.6494,0.7567
2020-11-18,1.2968,0.7024,0.5944
2020-11-17,1.1966,0.7778,0.4188
2020-11-16,0.9449,0.7206,0.2243
2020-11-13,0.647,0.6028,0.0442
2020-11-12,0.4814,0.5879,-0.1065
2020-11-11,0.3825,0.636,-0.2535
2020-11-10,0.1412,0.5537,-0.4125
2020-11-09,-0.2039,0.34700000000000003,-0.5509
2020-11-06,-0.534,0.1037,-0.6377
2020-11-05,-0.5327,0.1309,-0.6636
2020-11-04,-0.5875,0.1088,-0.6963
2020-11-03,-0.649,0.0745,-0.7235
2020-11-02,-0.7140000000000001,0.0281,-0.7421
2020-10-30,-0.8037,-0.0545,-0.7491
2020-10-29,-0.8079999999999999,-0.0725,-0.7355
2020-10-28,-0.7857,-0.0683,-0.7174
2020-10-27,-0.6604,0.0399,-0.7003
2020-10-26,-0.6124,0.0979,-0.7103
2020-10-23,-0.5804,0.1544,-0.7348
2020-10-22,-0.6406,0.1328,-0.7734
2020-10-21,-0.7232,0.0834,-0.8066
2020-10-20,-0.6966,0.1308,-0.8274
2020-10-19,-0.7097,0.1504,-0.8601
2020-10-16,-0.6809999999999999,0.2167,-0.8977
2020-10-15,-0.6987,0.2532,-0.9519
2020-10-14,-0.7815,0.2337,-1.0152
2020-10-13,-0.8387,0.235,-1.0736
2020-10-12,-0.8863,0.2461,-1.1324
2020-10-09,-0.9825,0.2114,-1.1939
2020-10-08,-1.0829,0.1639,-1.2467
2020-10-07,-1.2455,0.0422,-1.2877
2020-10-06,-1.3214,-0.0232,-1.2983
2020-10-05,-1.357,-0.0645,-1.2925
2020-10-02,-1.4278,-0.1515,-1.2763
2020-10-01,-1.409,-0.1705,-1.2385
2020-09-30,-1.3364,-0.1406,-1.1958
2020-09-29,-1.3167,-0.156,-1.1607
2020-09-28,-1.2815,-0.1598,-1.1217
2020-09-25,-1.3032,-0.2215,-1.0817
2020-09-24,-1.2407,-0.2144,-1.0264
2020-09-23,-1.1449,-0.1722,-0.9728
2020-09-22,-1.007,-0.0773,-0.9297
2020-09-21,-0.9599,-0.0495,-0.9104
2020-09-18,-0.9191,-0.021,-0.898
2020-09-17,-0.9618,-0.069,-0.8928
2020-09-16,-1.0399,-0.1644,-0.8755
2020-09-15,-1.1195,-0.2851,-0.8344
2020-09-14,-1.0755,-0.3123,-0.7632
2020-09-11,-1.0274,-0.3423,-0.6851
2020-09-10,-0.9263,-0.3268,-0.5995
2020-09-09,-0.7808,-0.263,-0.5178
2020-09-08,-0.7063,-0.2542,-0.4521
2020-09-04,-0.5781,-0.1896,-0.3885
2020-09-03,-0.5316,-0.1905,-0.3411
2020-09-02,-0.4753,-0.1818,-0.2935
2020-09-01,-0.4223,-0.1743,-0.248
2020-08-31,-0.3653,-0.1608,-0.2045
2020-08-28,-0.3108,-0.1466,-0.1643
2020-08-27,-0.3149,-0.1873,-0.1276
2020-08-26,-0.2523,-0.1715,-0.0808
2020-08-25,-0.1618,-0.1238,-0.0379
2020-08-24,-0.1199,-0.113,-0.006999999999999999
2020-08-21,-0.1162,-0.1374,0.0213
2020-08-20,-0.0119,-0.0675,0.0556
2020-08-19,0.0986,0.0261,0.0725
2020-08-18,0.1593,0.0933,0.066
2020-08-17,0.1919,0.1493,0.0426
2020-08-14,0.1834,0.17800000000000002,0.0053
2020-08-13,0.14800000000000002,0.1872,-0.0392
2020-08-12,0.1364,0.2224,-0.086
2020-08-11,0.0454,0.187,-0.1416
2020-08-10,-0.0338,0.1545,-0.1883
2020-08-07,-0.1473,0.0797,-0.227
2020-08-06,-0.1764,0.0705,-0.2469
2020-08-05,-0.206,0.0585,-0.2645
2020-08-04,-0.2705,0.0086,-0.2791
2020-08-03,-0.3103,-0.0291,-0.2813
2020-07-31,-0.2697,0.0043,-0.274
2020-07-30,-0.2012,0.0739,-0.2751
2020-07-29,-0.1275,0.166,-0.2935
2020-07-28,-0.1778,0.1572,-0.335
2020-07-27,-0.1634,0.211,-0.3744
2020-07-24,-0.2058,0.2213,-0.4271
2020-07-23,-0.253,0.2294,-0.4824
2020-07-22,-0.3303,0.2095,-0.5398
2020-07-21,-0.4311,0.1611,-0.5922
2020-07-20,-0.5999,0.0326,-0.6324
2020-07-17,-0.5912,0.0493,-0.6406
2020-07-16,-0.6319,0.021,-0.6529
2020-07-15,-0.7259,-0.0678,-0.6582
2020-07-14,-0.8522,-0.211,-0.6412
2020-07-13,-0.923,-0.3345,-0.5885
2020-07-10,-0.8774,-0.3725,-0.5048
2020-07-09,-0.8252,-0.4135,-0.4117
2020-07-08,-0.6379,-0.3296,-0.3083
2020-07-07,-0.5664,-0.3405,-0.2259
2020-07-06,-0.4699,-0.329,-0.1408
2020-07-02,-0.4574,-0.3988,-0.0586
2020-07-01,-0.4239,-0.465,0.0411
2020-06-30,-0.3345,-0.4918,0.1574
2020-06-29,-0.3063,-0.5867,0.2803
2020-06-26,-0.182,-0.609,0.4270000000000001
2020-06-25,0.0276,-0.5516,0.5792
2020-06-24,0.1655,-0.5517,0.7171
2020-06-23,0.4092,-0.4459,0.8551
2020-06-22,0.4989,-0.4676,0.9665
2020-06-19,0.6101,-0.4733,1.0834
2020-06-18,0.7609,-0.4409,1.2018
2020-06-17,0.8827,-0.4293,1.3119999999999998
2020-06-16,1.0732,-0.3461,1.4193
2020-06-15,1.1642,-0.3417,1.5059
2020-06-12,1.3755,-0.2158,1.5913
2020-06-11,1.6369,-0.0083,1.6452
