date,1. open,2. high,3. low,4. close,5. volume
2021-01-07,142.66,150.005,142.45,149.71,2597611.0
2021-01-06,141.98,144.73,138.83,141.22,3342012.0
2021-01-05,142.29,144.34,141.27,144.23,2617602.0
2021-01-04,142.2293,149.26,141.2,142.43,2416558.0
2020-12-31,142.1,142.59,140.07,141.77,1236254.0
2020-12-30,140.28,143.36,139.53,142.1,2892686.0
2020-12-29,141.95,143.32,138.5601,139.9,1489992.0
2020-12-28,144.08,144.335,140.81,141.52,1879728.0
2020-12-24,143.14,143.56,141.44,141.99,1167533.0
2020-12-23,144.05,144.12,141.74,141.99,1766470.0
2020-12-22,145.31,145.47,141.1304,144.16,1899949.0
2020-12-21,146.8,148.06,141.7,145.28,1799540.0
2020-12-18,152.25,153.03,146.79,149.19,4584178.0
2020-12-17,152.65,153.545,150.855,151.86,1275382.0
2020-12-16,151.86,152.79,149.89,151.75,1564788.0
2020-12-15,150.98,154.12,149.61,152.11,3142075.0
2020-12-14,144.61,149.965,144.315,149.03,2709360.0
2020-12-11,143.7,144.97,141.46,143.83,1120952.0
2020-12-10,140.75,144.92,140.31,143.86,1969222.0
2020-12-09,145.63,148.8,140.54,141.4,2540134.0
2020-12-08,147.97,149.34,144.71,146.19,1682214.0
2020-12-07,149.4,149.4,146.59,148.27,1821247.0
2020-12-04,144.92,148.9299,142.28,147.91,2264599.0
2020-12-03,147.668,148.5,143.9105,144.39,1895682.0
2020-12-02,145.8,151.54,145.59,147.11,2332311.0
2020-12-01,145.0,147.48,142.42,145.8,2716127.0
2020-11-30,137.4889,145.84,136.65,145.55,4899985.0
2020-11-27,137.23,137.8,135.54,137.49,962572.0
2020-11-25,134.0,137.33,133.9233,135.56,1992621.0
2020-11-24,134.12,134.5668,130.32,133.22,1053677.0
2020-11-23,133.4393,136.85,132.31,133.3,2438437.0
2020-11-20,132.74,134.0,131.88,132.38,3402916.0
2020-11-19,128.46,133.35,127.965,132.96,4078992.0
2020-11-18,130.21,131.5,128.82,129.08,2305357.0
2020-11-17,131.25,132.87,129.93,130.41,1901416.0
2020-11-16,127.73,131.53,127.07,131.31,3885652.0
2020-11-13,129.09,130.06,126.42,127.65,1753005.0
2020-11-12,127.18,129.74,125.875,127.65,2254581.0
2020-11-11,124.37,127.7,123.85,127.06,3050962.0
2020-11-10,128.34,128.85,121.235,122.45,4923076.0
2020-11-09,132.72,136.5,129.75,130.35,6252554.0
2020-11-06,130.22,134.95,129.61,134.12,5077608.0
2020-11-05,130.15,131.44,128.87,129.93,5462030.0
2020-11-04,126.43,129.145,124.56,128.26,8513325.0
2020-11-03,118.87,121.66,118.3,120.82,5052827.0
2020-11-02,119.98,120.39,116.76,118.48,4992890.0
2020-10-30,121.52,122.36,116.95,118.69,6826584.0
2020-10-29,119.9251,124.915,119.86,122.9,7660744.0
2020-10-28,122.99,124.37,119.3018,119.76,10568092.0
2020-10-27,129.295,130.4,122.57,124.35,32093331.0
2020-10-26,115.43,115.6,112.32,114.55,2563486.0
2020-10-23,113.5,117.105,113.27,116.82,2829709.0
2020-10-22,113.01,115.0,112.07,113.04,3089481.0
2020-10-21,114.94,115.87,111.23,111.3,3781648.0
2020-10-20,116.09,116.93,114.12,114.73,3299444.0
2020-10-19,118.0,118.47,115.51,116.38,2689620.0
2020-10-16,118.5,119.84,117.95,118.02,3518106.0
2020-10-15,115.97,118.9,115.91,118.23,2532632.0
2020-10-14,117.36,118.75,116.5,117.75,2473543.0
2020-10-13,117.35,118.9,117.35,117.92,2457433.0
2020-10-12,117.25,120.0,117.25,118.9,4829517.0
2020-10-09,122.56,123.78,116.52,120.94,24073794.0
2020-10-08,106.4,106.63,105.59,105.99,1082438.0
2020-10-07,104.82,106.29,104.3,105.83,1385317.0
2020-10-06,104.57,105.73,103.2,103.94,1386092.0
2020-10-05,103.335,104.87,103.17,104.74,989680.0
2020-10-02,103.14,104.3,101.96,102.59,1760803.0
2020-10-01,105.84,107.665,105.37,105.91,1713643.0
2020-09-30,103.36,105.85,103.28,104.24,1982446.0
2020-09-29,103.19,104.56,102.97,103.63,932235.0
2020-09-28,101.64,103.91,101.4,103.8,1437772.0
2020-09-25,98.65,100.64,97.31,100.35,1307724.0
2020-09-24,97.31,99.65,96.71,99.01,1510910.0
2020-09-23,99.36,100.38,97.11,97.29,1698213.0
2020-09-22,99.83,100.13,98.0308,100.02,1307916.0
2020-09-21,99.71,99.81,97.47,99.41,1580248.0
2020-09-18,102.05,102.35,99.15,100.72,2669626.0
2020-09-17,100.13,101.89,99.51,101.4,1383635.0
2020-09-16,103.17,104.66,102.2,102.33,1248267.0
2020-09-15,103.05,104.43,102.62,102.83,1628947.0
2020-09-14,99.9,102.25,99.52,101.72,1866489.0
2020-09-11,99.37,100.42,97.83,98.65,1068032.0
2020-09-10,100.6901,101.54,98.41,98.8,1500653.0
2020-09-09,100.0,101.1,98.2,100.39,2894484.0
2020-09-08,98.9602,100.53,97.64,97.69,2006103.0
2020-09-04,102.01,103.61,99.75,101.64,2561238.0
2020-09-03,107.44,107.44,102.54,103.1,2494663.0
2020-09-02,105.55,109.3,105.53,108.86,2370343.0
2020-09-01,104.16,105.37,103.64,105.31,1793203.0
2020-08-31,104.79,105.1327,103.61,104.16,1611185.0
2020-08-28,103.63,105.37,102.66,104.91,1860960.0
2020-08-27,105.22,105.3,103.08,103.72,1818221.0
2020-08-26,103.7,105.31,103.56,104.98,1831461.0
2020-08-25,102.5,103.5,102.025,103.39,1351508.0
2020-08-24,103.0,103.279,101.76,102.47,1723193.0
2020-08-21,101.23,102.0,100.5,102.0,1981926.0
2020-08-20,101.81,102.0,100.63,101.38,1883533.0
2020-08-19,103.46,103.67,102.07,102.39,1714177.0
2020-08-18,105.0,105.19,103.0,103.22,2112198.0
2020-08-17,106.5,106.53,104.56,104.64,1263859.0
2020-08-14,105.5,106.29,104.98,105.31,995295.0
2020-08-13,106.0,106.49,104.7,105.5,2291071.0
2020-08-12,104.67,106.66,104.12,106.04,2072392.0
