date,MACD,MACD_Signal,MACD_Hist
2021-01-29,-1.7901,-0.4174,-1.3727
2021-01-28,-1.107,-0.0742,-1.0329
2021-01-27,-0.5246,0.184,-0.7086
2021-01-26,0.197,0.3612,-0.1642
2021-01-25,0.0429,0.4022,-0.3593
2021-01-22,-0.2307,0.492,-0.7227
2021-01-21,-0.3525,0.6727,-1.0252
2021-01-20,-0.3217,0.929,-1.2507
2021-01-19,0.0441,1.2417,-1.1976
2021-01-15,0.3718,1.5411,-1.1693
2021-01-14,1.0657,1.8334,-0.7677
2021-01-13,1.5898,2.0254,-0.4356
2021-01-12,2.1164,2.1342,-0.0179
2021-01-11,2.1977,2.1387,0.059
2021-01-08,1.8205,2.124,-0.3035
2021-01-07,1.6272,2.1998,-0.5726
2021-01-06,1.1818,2.343,-1.1612
2021-01-05,1.4604,2.6333,-1.1729
2021-01-04,1.4884,2.9265,-1.4382
2020-12-31,1.6857,3.2861,-1.6004
2020-12-30,1.9801,3.6862,-1.706
2020-12-29,2.2936,4.1127,-1.8191
2020-12-28,2.8844,4.5674,-1.6831
2020-12-24,3.4315,4.9882,-1.5567
2020-12-23,4.0321,5.3774,-1.3453
2020-12-22,4.74,5.7137,-0.9738
2020-12-21,5.3536,5.9572,-0.6036
2020-12-18,5.9449,6.1081,-0.1632
2020-12-17,6.215,6.1489,0.0662
2020-12-16,6.1976,6.1323,0.0652
2020-12-15,6.0963,6.116,-0.0197
2020-12-14,5.8418,6.1209,-0.2792
2020-12-11,5.7455,6.1907,-0.4452
2020-12-10,6.0685,6.302,-0.2335
2020-12-09,6.3895,6.3604,0.0291
2020-12-08,6.9567,6.3531,0.6036
2020-12-07,7.0918,6.2022,0.8896
2020-12-04,6.9492,5.9798,0.9695
2020-12-03,6.7029,5.7374,0.9655
2020-12-02,6.6494,5.4961,1.1533
2020-12-01,6.2074,5.2077,0.9996
2020-11-30,5.6863,4.9578,0.7285
2020-11-27,4.964,4.7757,0.1883
2020-11-25,4.7905,4.7287,0.0618
2020-11-24,4.6959,4.7132,-0.0173
2020-11-23,4.7451,4.7175,0.0276
2020-11-20,4.7308,4.7106,0.0201
2020-11-19,4.7373,4.7056,0.0317
2020-11-18,4.6177,4.6977,-0.08
2020-11-17,4.7929,4.7177,0.0752
2020-11-16,4.8114,4.6989,0.1125
2020-11-13,4.6734,4.6707,0.0027
2020-11-12,4.8019,4.6701,0.1319
2020-11-11,4.8961,4.6371,0.259
2020-11-10,5.0053,4.5724,0.4329
2020-11-09,5.5411,4.4641,1.077
2020-11-06,5.3401,4.1949,1.1452
2020-11-05,4.6616,3.9086,0.753
2020-11-04,4.1533,3.7204,0.4329
2020-11-03,3.6136,3.6121,0.0014
2020-11-02,3.6275,3.6118,0.0157
2020-10-30,3.83,3.6078,0.2221
2020-10-29,4.0115,3.5523,0.4592
2020-10-28,3.7574,3.4375,0.3198
2020-10-27,3.6971,3.3576,0.3396
2020-10-26,3.1005,3.2727,-0.1722
2020-10-23,3.2888,3.3157,-0.0269
2020-10-22,3.2508,3.3224,-0.0716
2020-10-21,3.5389,3.3403,0.1985
2020-10-20,4.0317,3.2907,0.741
2020-10-19,4.2538,3.1055,1.1484
2020-10-16,4.308,2.8184,1.4896
2020-10-15,4.1479,2.446,1.7019
2020-10-14,3.862,2.0205,1.8415
2020-10-13,3.4896,1.5601,1.9294
2020-10-12,2.9462,1.0778,1.8685
2020-10-09,2.1104,0.6106,1.4997
2020-10-08,0.8057,0.2357,0.57
2020-10-07,0.6465,0.0932,0.5533
2020-10-06,0.4502,-0.0451,0.4953
