date,1. open,2. high,3. low,4. close,5. volume
2020-05-01,98.59,98.77,96.95,97.83,10101033.0
2020-04-30,99.76,100.38,99.21,99.73,12768042.0
2020-04-29,101.06,101.06,99.54,100.19,9933932.0
2020-04-28,102.26,102.26,99.41,99.53,11517506.0
2020-04-27,100.99,102.01,100.83,101.58,8022079.0
2020-04-24,99.56,100.49,98.94,100.29,7853292.0
2020-04-23,98.94,100.49,98.74,98.96,16012401.0
2020-04-22,98.35,99.03,97.74,98.42,11994070.0
2020-04-21,98.27,98.83,96.62,96.94,9290276.0
2020-04-20,99.82,101.41,99.71,99.98,10371156.0
2020-04-17,101.13,101.13,99.39,100.78,11321020.0
2020-04-16,97.34,98.975,97.03,98.73,11321001.0
2020-04-15,95.83,97.19,95.285,96.62,11019032.0
2020-04-14,95.84,97.47,95.515,97.12,12827928.0
2020-04-13,94.49,94.82,92.66,94.0,9602888.0
2020-04-09,95.17,95.35,93.97,94.83,12982453.0
2020-04-08,91.36,94.86,90.22,94.31,32624261.0
2020-04-07,93.65,93.82,90.49,90.58,16699211.0
2020-04-06,89.54,91.85,89.14,91.33,13471432.0
2020-04-03,87.29,88.12,85.8,86.78,12934184.0
2020-04-02,84.78,87.77,83.93,87.57,13587991.0
2020-04-01,85.62,86.39,84.39,85.21,15255166.0
2020-03-31,89.05,89.53,87.64,88.58,13584734.0
2020-03-30,86.52,89.1399,86.51,88.97,13762132.0
2020-03-27,84.34,87.23,84.28,84.99,13043178.0
2020-03-26,82.17,87.31,82.01,86.85,18821448.0
2020-03-25,79.84,84.09,78.87,81.44,16850962.0
2020-03-24,78.1299,80.53,77.57,80.37,16772394.0
2020-03-23,78.2,78.31,73.54,74.62,33632175.0
2020-03-20,82.96,83.81,78.64,79.09,22004905.0
2020-03-19,83.03,84.26,81.33,82.25,27118496.0
2020-03-18,82.4,85.3,79.92,83.97,28929934.0
2020-03-17,83.41,87.55,82.35,86.85,27892214.0
2020-03-16,82.52,87.05,80.67,81.72,21474469.0
2020-03-13,88.72,90.9,84.16,90.66,29158218.0
2020-03-12,86.01,89.73,82.9,84.78,20650949.0
2020-03-11,93.01,93.67,90.45,91.62,23192025.0
2020-03-10,94.76,95.4201,90.94,95.26,26473043.0
2020-03-09,91.395,94.28,90.01,92.1,21927527.0
2020-03-06,94.99,97.5,94.6,97.15,17916914.0
2020-03-05,97.85,99.19,96.56,97.67,17865265.0
2020-03-04,97.38,100.15,97.18,99.99,26418672.0
2020-03-03,97.19,98.89,93.27,94.54,33378458.0
