date,MACD_Hist,MACD,MACD_Signal
2021-02-12,0.1926,0.2083,0.0157
2021-02-11,0.1158,0.0352,-0.0806
2021-02-10,0.0916,-0.0469,-0.1385
2021-02-09,0.0577,-0.1266,-0.1843
2021-02-08,0.0138,-0.1993,-0.2131
2021-02-05,-0.0451,-0.2651,-0.22
2021-02-04,-0.1247,-0.3222,-0.1975
2021-02-03,-0.2099,-0.345,-0.1351
2021-02-02,-0.2171,-0.2473,-0.0302
2021-02-01,-0.3408,-0.2624,0.0784
2021-01-29,-0.4549,0.9866,1.4416
2021-01-28,-0.3526,1.2027,1.5553
2021-01-27,-0.2822,1.3613,1.6435
2021-01-26,-0.0001,1.7139,1.714
2021-01-25,0.0604,1.7745,1.714
2021-01-22,0.0823,1.7812,1.6989
2021-01-21,0.1639,1.8423,1.6783
2021-01-20,0.2205,1.8578,1.6374
2021-01-19,0.2114,1.7936,1.5822
2021-01-15,0.2223,1.7518,1.5294
2021-01-14,0.2886,1.7624,1.4738
2021-01-13,0.3854,1.7871,1.4017
2021-01-12,0.4496,1.7549,1.3053
2021-01-11,0.5279,1.7209,1.1929
2021-01-08,0.4611,1.5221,1.0609
2021-01-07,0.3565,1.3022,0.9456
2021-01-06,0.2031,1.0596,0.8565
2021-01-05,0.0816,0.8873,0.8057
2021-01-04,0.028,0.8133,0.7853
2020-12-31,0.0122,0.7905,0.7784
2020-12-30,-0.0752,0.7001,0.7753
2020-12-29,-0.0995,0.6946,0.7941
2020-12-28,-0.1436,0.6754,0.8190000000000001
2020-12-24,-0.1598,0.6951,0.8549
2020-12-23,-0.1561,0.7387,0.8948
2020-12-22,-0.1178,0.8161,0.9339
2020-12-21,-0.0521,0.9112,0.9633
2020-12-18,0.0083,0.9847,0.9763
2020-12-17,-0.0243,0.95,0.9743
2020-12-16,-0.0793,0.901,0.9803
2020-12-15,-0.053,0.9472,1.0002
2020-12-14,-0.0546,0.9588,1.0134
2020-12-11,0.0542,1.0813,1.0271
2020-12-10,0.1233,1.1368,1.0135
2020-12-09,0.1639,1.1465,0.9827
2020-12-08,0.1813,1.123,0.9417
2020-12-07,0.1406,1.037,0.8964
2020-12-04,0.1372,0.9984,0.8612
2020-12-03,0.0378,0.8647,0.8269
2020-12-02,-0.0154,0.8021,0.8175
2020-12-01,-0.1251,0.6963,0.8213
2020-11-30,-0.2173,0.6353,0.8526
2020-11-27,-0.2654,0.6415,0.9069
2020-11-25,-0.3028,0.6705,0.9733
2020-11-24,-0.2499,0.7991,1.0490000000000002
2020-11-23,-0.2003,0.9112,1.1115
2020-11-20,-0.0882,1.0733,1.1615
2020-11-19,0.0527,1.2363,1.1836
2020-11-18,0.2306,1.401,1.1704
2020-11-17,0.47,1.5828,1.1127
2020-11-16,0.5866,1.5818,0.9952
2020-11-13,0.635,1.4836,0.8486
2020-11-12,0.6275,1.3173,0.6899
2020-11-11,0.695,1.2279,0.5329999999999999
2020-11-10,0.6952,1.0544,0.3592
2020-11-09,0.618,0.8034,0.1854
2020-11-06,0.4728,0.5038,0.031
2020-11-05,0.3057,0.2185,-0.0873
2020-11-04,0.0189,-0.1448,-0.1637
2020-11-03,-0.4157,-0.5841,-0.1684
2020-11-02,-0.5993,-0.6638,-0.0645
2020-10-30,-0.6881,-0.6027,0.0854
2020-10-29,-0.5878,-0.3305,0.2574
2020-10-28,-0.3855,0.0188,0.4043
2020-10-27,-0.1216,0.3791,0.5007
2020-10-26,-0.0383,0.4929,0.5311
2020-10-23,0.0161,0.5568,0.5407
2020-10-22,-0.028,0.5087,0.5366
2020-10-21,-0.0632,0.4804,0.5436
2020-10-20,0.0401,0.5996,0.5594
2020-10-19,0.1398,0.6892,0.5494
2020-10-16,0.2933,0.8077,0.5145
2020-10-15,0.3328,0.7739,0.4412
2020-10-14,0.469,0.8270000000000001,0.358
2020-10-13,0.5629,0.8036,0.2407
2020-10-12,0.5982,0.6982,0.1
2020-10-09,0.5189,0.4693,-0.0495
2020-10-08,0.4247,0.2454,-0.1793
2020-10-07,0.3399,0.0544,-0.2854
2020-10-06,0.233,-0.1374,-0.3704
2020-10-05,0.2491,-0.1795,-0.4287
2020-10-02,0.1173,-0.3736,-0.4909
2020-10-01,0.1213,-0.399,-0.5203
2020-09-30,0.0278,-0.5228,-0.5506
2020-09-29,-0.1523,-0.7098,-0.5575
2020-09-28,-0.2503,-0.7698,-0.5195
2020-09-25,-0.3915,-0.8484,-0.4569
2020-09-24,-0.4831,-0.8421,-0.359
2020-09-23,-0.4182,-0.6565,-0.2383
2020-09-22,-0.3281,-0.4618,-0.1337
2020-09-21,-0.2623,-0.314,-0.0517
2020-09-18,-0.157,-0.1431,0.0139
2020-09-17,-0.1721,-0.119,0.0531
2020-09-16,-0.1988,-0.1027,0.0962
2020-09-15,-0.2615,-0.1157,0.1459
2020-09-14,-0.36,-0.1487,0.2113
2020-09-11,-0.4759,-0.1747,0.3013
2020-09-10,-0.474,-0.0537,0.4203
2020-09-09,-0.396,0.1428,0.5388
2020-09-08,-0.4098,0.228,0.6378
2020-09-04,-0.221,0.5192,0.7402
2020-09-03,-0.0878,0.7077,0.7954
2020-09-02,0.0438,0.8611,0.8174
2020-09-01,-0.0629,0.7436,0.8064
2020-08-31,-0.0224,0.7998,0.8222
2020-08-28,-0.0658,0.762,0.8278
2020-08-27,-0.1153,0.7289,0.8442
2020-08-26,-0.1728,0.7003,0.873
2020-08-25,-0.1778,0.7384,0.9162
2020-08-24,-0.1975,0.7632,0.9607
2020-08-21,-0.1535,0.8565,1.01
2020-08-20,-0.1348,0.9136,1.0484
2020-08-19,-0.0978,0.9843,1.0821
2020-08-18,-0.0807,1.0259,1.1066
2020-08-17,-0.0981,1.0287,1.1268
2020-08-14,-0.13699999999999998,1.0143,1.1513
2020-08-13,-0.1407,1.0448,1.1855
2020-08-12,-0.1734,1.0473,1.2207
2020-08-11,-0.2429,1.0212,1.2641
2020-08-10,-0.1731,1.1517,1.3248
2020-08-07,-0.1342,1.2338,1.3681
2020-08-06,-0.1172,1.2844,1.4016
2020-08-05,-0.0663,1.3646,1.4309
2020-08-04,-0.058,1.3895,1.4475
2020-08-03,-0.0114,1.4506,1.462
2020-07-31,-0.0048,1.46,1.4649
2020-07-30,0.0949,1.5609,1.4661
2020-07-29,0.163,1.6054,1.4423
2020-07-28,0.1624,1.564,1.4016
2020-07-27,0.2396,1.6005,1.361
2020-07-24,0.3107,1.6118,1.3011
2020-07-23,0.4591,1.6825,1.2234
2020-07-22,0.5215,1.6301,1.1086
2020-07-21,0.5128,1.4911,0.9783
2020-07-20,0.5378,1.3879,0.8501
2020-07-17,0.5133,1.2289,0.7156
2020-07-16,0.4187,1.006,0.5873
2020-07-15,0.3688,0.8514,0.4826
2020-07-14,0.234,0.6244,0.3904
2020-07-13,0.1291,0.461,0.3319
2020-07-10,0.1491,0.4487,0.2997
2020-07-09,0.2217,0.4841,0.2624
2020-07-08,0.2909,0.4979,0.207
2020-07-07,0.2933,0.4275,0.1342
2020-07-06,0.2716,0.3325,0.0609
2020-07-02,0.1234,0.1164,-0.006999999999999999
2020-07-01,-0.0191,-0.057,-0.0379
2020-06-30,-0.1676,-0.2007,-0.0331
2020-06-29,-0.3123,-0.3035,0.0088
2020-06-26,-0.3476,-0.2606,0.0869
2020-06-25,-0.2871,-0.1133,0.1738
2020-06-24,-0.2903,-0.0447,0.2456
2020-06-23,-0.1777,0.1404,0.3181
2020-06-22,-0.2525,0.11,0.3626
2020-06-19,-0.3126,0.1131,0.4257
2020-06-18,-0.4272,0.0766,0.5039
2020-06-17,-0.4852,0.1255,0.6107
2020-06-16,-0.5801,0.1519,0.732
2020-06-15,-0.7037,0.1733,0.877
2020-06-12,-0.6125,0.4404,1.0529
2020-06-11,-0.4089,0.7971,1.206
2020-06-10,-0.0041,1.3041,1.3083
2020-06-09,0.0488,1.3581,1.3093
2020-06-08,0.094,1.3911,1.2971
2020-06-05,0.0309,1.3045,1.2736
2020-06-04,-0.0196,1.2463,1.2659
2020-06-03,0.048,1.3188,1.2708
2020-06-02,0.052000000000000005,1.3107,1.2588
2020-06-01,0.0155,1.2613,1.2458
2020-05-29,-0.0028,1.2391,1.2419
2020-05-28,-0.1524,1.0902,1.2426
2020-05-27,-0.2727,1.008,1.2807
2020-05-26,-0.3287,1.0201,1.3489
2020-05-22,-0.3067,1.1244,1.431
2020-05-21,-0.2847,1.223,1.5077
2020-05-20,-0.2267,1.3521,1.5789
2020-05-19,-0.2127,1.4229,1.6356
2020-05-18,-0.1841,1.5047,1.6887
2020-05-15,-0.2704,1.4644,1.7348
