date,MFI
2021-01-22,61.1358
2021-01-21,65.2147
2021-01-20,69.3363
2021-01-19,68.7987
2021-01-15,68.2558
2021-01-14,75.2065
2021-01-13,74.72800000000002
2021-01-12,80.9478
2021-01-11,83.4543
2021-01-08,83.6154
2021-01-07,82.7993
2021-01-06,76.3792
2021-01-05,72.9031
2021-01-04,72.0264
2020-12-31,79.1184
2020-12-30,72.2287
2020-12-29,73.5039
2020-12-28,74.3926
2020-12-24,68.1753
2020-12-23,70.279
2020-12-22,72.0174
2020-12-21,70.6788
2020-12-18,78.5436
2020-12-17,79.4576
2020-12-16,79.4663
2020-12-15,75.2346
2020-12-14,76.1577
2020-12-11,69.4559
2020-12-10,74.4624
2020-12-09,71.6053
2020-12-08,64.3597
2020-12-07,57.5615
2020-12-04,62.7196
2020-12-03,62.3359
2020-12-02,55.4728
2020-12-01,55.9614
2020-11-30,46.0032
2020-11-27,49.2515
2020-11-25,43.4708
2020-11-24,51.9539
2020-11-23,56.715
2020-11-20,61.8823
2020-11-19,62.3588
2020-11-18,62.5111
2020-11-17,60.6809
2020-11-16,60.0646
2020-11-13,55.894
2020-11-12,51.5966
2020-11-11,55.6168
2020-11-10,54.5136
2020-11-09,57.0663
2020-11-06,47.9847
2020-11-05,49.4412
2020-11-04,47.3356
2020-11-03,33.1373
2020-11-02,25.7175
2020-10-30,17.4833
2020-10-29,23.1832
2020-10-28,31.3823
2020-10-27,39.6513
2020-10-26,47.7097
2020-10-23,47.9471
2020-10-22,48.4218
2020-10-21,40.8096
2020-10-20,48.4431
2020-10-19,55.9656
2020-10-16,57.7503
2020-10-15,57.218
2020-10-14,63.8776
2020-10-13,62.595
2020-10-12,62.2816
2020-10-09,55.6163
2020-10-08,48.5475
2020-10-07,41.6837
2020-10-06,34.3243
2020-10-05,34.4947
2020-10-02,33.8177
2020-10-01,40.4711
2020-09-30,31.6518
2020-09-29,23.8236
2020-09-28,30.9351
2020-09-25,24.1359
2020-09-24,16.8285
2020-09-23,16.0835
2020-09-22,22.9842
2020-09-21,22.3462
2020-09-18,28.1335
2020-09-17,33.2164
2020-09-16,39.5846
2020-09-15,39.6438
2020-09-14,39.4129
2020-09-11,34.4445
2020-09-10,35.0586
2020-09-09,36.3019
2020-09-08,29.6967
2020-09-04,31.1281
2020-09-03,39.0148
2020-09-02,47.5689
2020-09-01,39.26300000000001
2020-08-31,50.6093
2020-08-28,41.7038
2020-08-27,35.7203
2020-08-26,32.822
2020-08-25,33.5177
2020-08-24,32.9125
2020-08-21,33.0372
2020-08-20,43.1895
2020-08-19,42.1816
2020-08-18,42.7274
2020-08-17,48.8131
2020-08-14,49.7757
2020-08-13,50.9864
2020-08-12,50.4938
2020-08-11,49.7566
2020-08-10,58.1043
2020-08-07,64.938
2020-08-06,65.9345
2020-08-05,72.7069
2020-08-04,66.3861
2020-08-03,73.995
2020-07-31,74.4461
2020-07-30,82.0882
2020-07-29,78.4435
2020-07-28,70.1334
2020-07-27,64.8996
2020-07-24,59.5409
2020-07-23,65.2865
2020-07-22,65.0371
2020-07-21,66.5121
2020-07-20,66.8593
2020-07-17,66.9069
2020-07-16,56.3745
2020-07-15,54.8224
2020-07-14,45.3386
2020-07-13,42.9406
2020-07-10,36.0173
2020-07-09,44.9805
2020-07-08,46.2516
2020-07-07,52.0689
2020-07-06,59.0089
2020-07-02,51.3855
2020-07-01,43.1263
2020-06-30,30.6301
2020-06-29,25.4363
2020-06-26,21.1
2020-06-25,26.6689
2020-06-24,34.0494
2020-06-23,34.8898
2020-06-22,36.5758
2020-06-19,42.288
2020-06-18,36.6484
2020-06-17,44.0389
2020-06-16,44.8097
2020-06-15,37.9297
2020-06-12,43.8485
2020-06-11,51.0257
2020-06-10,59.1435
2020-06-09,59.3959
2020-06-08,59.4295
2020-06-05,59.9709
2020-06-04,60.0078
2020-06-03,66.6605
2020-06-02,59.8673
2020-06-01,50.617
2020-05-29,57.0298
2020-05-28,54.7865
2020-05-27,48.7017
2020-05-26,50.4694
2020-05-22,50.6548
2020-05-21,44.9645
2020-05-20,45.5932
2020-05-19,44.871
2020-05-18,45.0478
2020-05-15,38.3866
2020-05-14,35.6758
2020-05-13,34.0049
2020-05-12,43.2798
2020-05-11,52.9336
2020-05-08,44.7689
2020-05-07,37.6408
2020-05-06,44.7909
2020-05-05,51.6921
2020-05-04,44.3129
2020-05-01,51.3674
2020-04-30,51.6624
2020-04-29,59.9189
2020-04-28,70.4611
2020-04-27,77.6643
2020-04-24,78.1717
2020-04-23,78.5758
2020-04-22,78.0769
2020-04-21,71.0083
2020-04-20,76.4173
2020-04-17,82.3448
2020-04-16,82.324
2020-04-15,82.7853
2020-04-14,88.572
2020-04-13,88.6268
2020-04-09,81.7162
2020-04-08,73.9849
2020-04-07,62.2165
2020-04-06,52.649
2020-04-03,55.0478
2020-04-02,48.708
2020-04-01,51.5948
2020-03-31,50.6525
2020-03-30,44.278
2020-03-27,46.835
2020-03-26,41.4178
2020-03-25,35.6028
2020-03-24,30.3839
2020-03-23,33.328
2020-03-20,42.9749
2020-03-19,49.3103
2020-03-18,48.8321
2020-03-17,49.3157
2020-03-16,43.1168
2020-03-13,42.8211
2020-03-12,35.4236
2020-03-11,36.7989
2020-03-10,38.5647
2020-03-09,34.1395
2020-03-06,35.7688
2020-03-05,37.6401
2020-03-04,39.8171
2020-03-03,33.2513
2020-03-02,25.1073
2020-02-28,14.2371
2020-02-27,16.2275
2020-02-26,23.3601
2020-02-25,34.9078
2020-02-24,46.591
2020-02-21,59.3617
2020-02-20,55.4582
2020-02-19,54.1876
2020-02-18,48.6536
2020-02-14,55.7624
2020-02-13,52.8194
2020-02-12,48.4062
2020-02-11,43.5735
2020-02-10,43.2472
2020-02-07,47.2477
2020-02-06,51.8043
2020-02-05,51.5738
2020-02-04,49.1578
2020-02-03,48.3047
2020-01-31,40.684
2020-01-30,49.9008
2020-01-29,57.3073
2020-01-28,63.0733
2020-01-27,62.5141
2020-01-24,71.1536
2020-01-23,76.5518
2020-01-22,84.5057
2020-01-21,78.8507
2020-01-17,72.71
