date,1. open,2. high,3. low,4. close,5. volume
2021-01-29,4.825,5.18,4.55,4.57,3167682.0
2021-01-28,4.72,4.815,4.46,4.65,2145413.0
2021-01-27,4.38,5.09,4.3167,4.72,4174329.0
2021-01-26,4.47,4.63,4.3,4.61,2860065.0
2021-01-25,4.46,4.61,4.13,4.48,3695706.0
2021-01-22,3.88,4.43,3.87,4.32,3613820.0
2021-01-21,3.87,4.05,3.68,3.99,2636826.0
2021-01-20,4.07,4.21,3.75,3.93,3330454.0
2021-01-19,3.87,4.24,3.85,4.13,3815280.0
2021-01-15,3.9033,4.0499,3.58,3.85,4975312.0
2021-01-14,4.07,4.17,3.86,3.93,4407239.0
2021-01-13,3.89,4.04,3.67,3.83,4537333.0
2021-01-12,3.84,4.25,3.77,4.12,6709711.0
2021-01-11,3.6988,4.0,3.55,3.71,5983609.0
2021-01-08,5.97,6.035,4.12,4.3,24236901.0
2021-01-07,4.2844,5.82,3.95,4.99,55899320.0
2021-01-06,3.15,3.68,3.15,3.37,10586596.0
2021-01-05,2.98,3.23,2.92,3.15,2138230.0
2021-01-04,3.01,3.19,2.91,3.01,3558245.0
2020-12-31,3.0,3.0,2.865,2.89,1757762.0
2020-12-30,2.96,3.0,2.905,2.98,1538645.0
2020-12-29,3.23,3.23,2.83,2.88,2609572.0
2020-12-28,3.02,3.27,2.97,3.16,5333918.0
2020-12-24,3.04,3.05,2.92,2.93,356659.0
2020-12-23,3.08,3.095,2.97,3.05,734611.0
2020-12-22,3.05,3.14,3.02,3.02,930320.0
2020-12-21,2.99,3.15,2.92,3.01,1177562.0
2020-12-18,3.02,3.1,2.98,3.04,1102256.0
2020-12-17,3.12,3.28,3.05,3.09,2535304.0
2020-12-16,3.05,3.44,2.94,3.04,9435441.0
2020-12-15,2.8,2.92,2.76,2.91,1325589.0
2020-12-14,2.86,2.86,2.7738,2.79,802677.0
2020-12-11,2.88,2.88,2.79,2.79,785077.0
2020-12-10,2.85,2.91,2.77,2.89,1155526.0
2020-12-09,3.02,3.08,2.83,2.85,1724787.0
2020-12-08,2.86,3.1,2.86,3.07,1571753.0
2020-12-07,2.92,2.97,2.84,2.9,1141236.0
2020-12-04,2.96,2.98,2.88,2.92,1167495.0
2020-12-03,3.05,3.07,2.91,2.96,1655186.0
2020-12-02,3.15,3.22,2.86,2.97,3077288.0
