date,MACD_Hist,MACD_Signal,MACD
2021-01-29,-0.1488,0.3806,0.2318
2021-01-28,-0.0852,0.4178,0.3326
2021-01-27,-0.06,0.4391,0.3791
2021-01-26,0.0165,0.454,0.4706
2021-01-25,0.0226,0.4499,0.4726
2021-01-22,0.0189,0.4443,0.4631
2021-01-21,0.0201,0.4395,0.4596
2021-01-20,0.0028,0.4345,0.4373
2021-01-19,-0.0314,0.4338,0.4024
2021-01-18,-0.0316,0.4417,0.4101
2021-01-15,-0.0092,0.4496,0.4404
2021-01-14,0.0269,0.4519,0.4788
2021-01-13,0.0461,0.4451,0.4913
2021-01-12,0.0512,0.4336,0.4848
2021-01-11,0.0548,0.4208,0.4756
2021-01-08,0.0539,0.4071,0.461
2021-01-07,0.0155,0.3936,0.4092
2021-01-06,-0.0293,0.3898,0.3605
2021-01-05,-0.0429,0.3971,0.3542
2021-01-04,-0.0423,0.4078,0.3655
2020-12-31,-0.0122,0.4184,0.4062
2020-12-30,-0.0345,0.4214,0.387
2020-12-29,-0.0467,0.43,0.3833
2020-12-24,-0.0637,0.4417,0.378
2020-12-23,-0.0667,0.4577,0.391
2020-12-22,-0.0624,0.4743,0.4119
2020-12-21,-0.0461,0.4899,0.4438
2020-12-18,-0.0345,0.5015,0.467
2020-12-17,-0.0375,0.5101,0.4726
2020-12-16,-0.0558,0.5195,0.4637
2020-12-15,-0.0676,0.5334,0.4658
2020-12-14,-0.0804,0.5503,0.4699
2020-12-11,-0.0516,0.5704,0.5188
2020-12-10,-0.0258,0.5833,0.5575
2020-12-09,0.0009,0.5898,0.5907
2020-12-08,0.0289,0.5895,0.6184
2020-12-07,0.0312,0.5823,0.6135
2020-12-04,0.0358,0.5745,0.6104
2020-12-03,0.0248,0.5656,0.5904
2020-12-02,0.0324,0.5593,0.5918
2020-12-01,0.0306,0.5512,0.5818
2020-11-30,0.0252,0.5436,0.5688
2020-11-27,0.0471,0.5373,0.5844
2020-11-26,0.054,0.5255,0.5795
2020-11-25,0.0661,0.512,0.5781
2020-11-24,0.0703,0.4955,0.5658
2020-11-23,0.0559,0.4779,0.5339
2020-11-20,0.08,0.4639,0.5439
2020-11-19,0.1292,0.4439,0.5731
2020-11-18,0.1652,0.4116,0.5768
2020-11-17,0.218,0.3703,0.5883
2020-11-16,0.231,0.3158,0.5468
2020-11-13,0.2117,0.2581,0.4698
2020-11-12,0.2029,0.2052,0.4081
2020-11-11,0.2246,0.1544,0.3791
2020-11-10,0.2008,0.0983,0.2991
2020-11-09,0.1729,0.0481,0.2209
2020-11-06,0.1121,0.0049,0.117
2020-11-05,0.0472,-0.0232,0.0241
2020-11-04,-0.064,-0.035,-0.0989
2020-11-03,-0.1617,-0.019,-0.1806
2020-11-02,-0.2238,0.0214,-0.2024
2020-10-30,-0.2359,0.0774,-0.1585
2020-10-29,-0.2021,0.1364,-0.0657
2020-10-28,-0.1716,0.1869,0.0153
2020-10-27,-0.069,0.2298,0.1608
2020-10-26,-0.0312,0.247,0.2159
2020-10-23,0.017,0.2548,0.2718
2020-10-22,0.0219,0.2506,0.2725
2020-10-21,0.0345,0.2451,0.2796
2020-10-20,0.0692,0.2365,0.3057
2020-10-19,0.1054,0.2192,0.3246
2020-10-16,0.1662,0.1928,0.3591
2020-10-15,0.189,0.1513,0.3402
2020-10-14,0.2062,0.104,0.3102
2020-10-13,0.2109,0.0525,0.2634
2020-10-09,0.1747,-0.0003,0.1745
2020-10-08,0.1408,-0.0439,0.0969
2020-10-07,0.106,-0.0792,0.0268
2020-10-06,0.0719,-0.1056,-0.0337
2020-10-05,0.0769,-0.1236,-0.0468
2020-10-02,0.0305,-0.1428,-0.1123
2020-10-01,0.0229,-0.1505,-0.1276
2020-09-30,-0.0274,-0.1562,-0.1836
2020-09-29,-0.0809,-0.1493,-0.2302
2020-09-28,-0.1279,-0.1291,-0.257
2020-09-25,-0.2076,-0.0971,-0.3047
2020-09-24,-0.2593,-0.0452,-0.3045
2020-09-23,-0.2577,0.0196,-0.2381
2020-09-22,-0.2218,0.084,-0.1378
2020-09-21,-0.2362,0.1395,-0.0967
2020-09-18,-0.205,0.1985,-0.0065
2020-09-17,-0.1845,0.2497,0.0653
2020-09-16,-0.1824,0.2959,0.1134
2020-09-15,-0.2046,0.3415,0.1369
2020-09-14,-0.243,0.3926,0.1496
2020-09-11,-0.2694,0.4534,0.1839
2020-09-10,-0.2471,0.5207,0.2736
2020-09-09,-0.1934,0.5825,0.3892
2020-09-08,-0.1697,0.6309,0.4612
2020-09-04,-0.053,0.6733,0.6202
2020-09-03,0.0245,0.6865,0.7111
2020-09-02,0.1018,0.6804,0.7822
2020-09-01,0.0692,0.655,0.7242
2020-08-31,0.0636,0.6376,0.7012
2020-08-28,0.0713,0.6218,0.6931
2020-08-27,0.0555,0.6039,0.6595
2020-08-26,0.0432,0.59,0.6333
2020-08-25,0.0195,0.5792,0.5987
2020-08-24,0.0069,0.5744,0.5813
2020-08-21,-0.009,0.5727,0.5637
2020-08-20,-0.0064,0.5749,0.5685
2020-08-19,0.005,0.5765,0.5815
2020-08-18,0.0246,0.5752,0.5998
2020-08-17,0.0322,0.5691,0.6013
2020-08-14,0.0394,0.561,0.6005
