date,1. open,2. high,3. low,4. close,5. volume
2020-05-01,225.48,226.995,222.6,225.55,348673.0
2020-04-30,229.13,236.77,225.0,229.66,578500.0
2020-04-29,232.49,248.21,231.51,244.97,640792.0
2020-04-28,235.55,238.225,227.08,228.48,915633.0
2020-04-27,210.46,223.66,209.91,220.93,560398.0
2020-04-24,202.34,208.795,200.675,208.62,418502.0
2020-04-23,200.36,207.865,200.36,200.97,436891.0
2020-04-22,198.19,200.42,194.17,199.41,498841.0
2020-04-21,197.89,199.46,192.42,192.85,379183.0
2020-04-20,201.45,207.395,201.0,202.35,380115.0
2020-04-17,204.67,208.605,201.42,202.98,382433.0
2020-04-16,199.71,202.79,196.72,201.6,387726.0
2020-04-15,202.34,202.98,196.24,196.81,389083.0
2020-04-14,204.37,210.28,200.15,206.88,358835.0
2020-04-13,201.02,202.6,195.0,197.91,331738.0
2020-04-09,198.83,202.49,197.17,201.22,529255.0
2020-04-08,195.74,198.96,192.2335,196.65,252288.0
2020-04-07,199.7,200.38,191.61,192.36,413610.0
2020-04-06,184.775,193.6,184.51,191.85,306396.0
2020-04-03,173.02,179.76,172.01,178.08,598571.0
2020-04-02,173.87,179.75,170.63,174.24,599818.0
2020-04-01,177.56,179.13,174.02,176.46,606045.0
2020-03-31,186.79,189.49,182.1,183.6,520980.0
2020-03-30,186.21,190.36,180.68,188.35,323920.0
2020-03-27,192.71,192.71,180.63,184.57,390691.0
2020-03-26,187.83,197.92,185.96,197.51,505465.0
2020-03-25,180.03,195.19,175.6047,186.23,505364.0
2020-03-24,180.09,181.8,167.17,180.55,813418.0
2020-03-23,179.85,181.95,163.4411,170.72,1176140.0
2020-03-20,186.07,189.86,177.08,179.38,1701578.0
2020-03-19,181.86,186.22,169.3,185.07,1202036.0
2020-03-18,167.74,186.94,166.34,185.47,803182.0
2020-03-17,170.2,182.7375,167.3301,180.66,564428.0
2020-03-16,155.0,172.18,150.06,166.08,800298.0
2020-03-13,174.51,184.1,163.445,184.02,659397.0
2020-03-12,177.23,178.9705,161.42,161.51,1028548.0
2020-03-11,196.3,199.67,187.685,191.3,516915.0
2020-03-10,192.22,202.5,189.15,202.19,909918.0
2020-03-09,188.4,190.94,183.89,185.26,770284.0
2020-03-06,197.88,204.19,195.926,202.74,647281.0
2020-03-05,209.5,212.73,200.81,203.76,564893.0
2020-03-04,211.93,216.09,205.52,216.04,559020.0
2020-03-03,220.27,227.11,208.34,209.31,950121.0
2020-03-02,212.67,221.87,210.34,221.71,603012.0
2020-02-28,206.71,211.82,204.73,210.97,946160.0
2020-02-27,212.11,217.95,206.49,213.93,1021289.0
2020-02-26,222.16,225.06,216.9,217.81,549472.0
2020-02-25,230.45,231.65,219.57,220.0,544755.0
2020-02-24,229.99,232.675,227.4,227.4,572678.0
2020-02-21,241.4,242.08,235.12,238.39,500907.0
2020-02-20,240.61,243.34,237.39,242.72,443071.0
2020-02-19,238.43,242.54,236.86,240.5,423380.0
2020-02-18,239.14,239.66,232.7,236.66,521626.0
2020-02-14,238.59,241.85,235.1,238.77,921801.0
2020-02-13,232.0,237.75,226.18,233.32,1783575.0
2020-02-12,249.29,252.27200000000002,246.41,251.99,378070.0
