date,MACD_Signal,MACD,MACD_Hist
2021-01-19,11.0427,11.5985,0.5558
2021-01-15,10.9037,12.1444,1.2406
2021-01-14,10.5936,12.3203,1.7267
2021-01-13,10.1619,12.0847,1.9227
2021-01-12,9.6812,11.5602,1.879
2021-01-11,9.2115,11.1809,1.9694
2021-01-08,8.7191,9.9395,1.2204
2021-01-07,8.414,9.0575,0.6435
2021-01-06,8.2531,7.4305,-0.8227
2021-01-05,8.4588,6.6997,-1.7591
2021-01-04,8.8986,7.1204,-1.7782
2020-12-31,9.3431,7.8022,-1.5409
2020-12-30,9.7284,7.9277,-1.8007
2020-12-29,10.1785,8.0316,-2.1469
2020-12-28,10.7153,8.6288,-2.0864
2020-12-24,11.2369,8.8023,-2.4346
2020-12-23,11.8455,9.476,-2.3695
2020-12-22,12.4379,9.9079,-2.5299
2020-12-21,13.0704,10.2927,-2.7777
2020-12-18,13.7648,11.0465,-2.7183
2020-12-17,14.4444,12.1441,-2.3003
2020-12-16,15.0194,13.1211,-1.8983
2020-12-15,15.494,13.9756,-1.5184
2020-12-14,15.8736,14.248,-1.6256
2020-12-11,16.28,14.3875,-1.8926
2020-12-10,16.7532,14.9569,-1.7963
2020-12-09,17.2023,15.7125,-1.4898
2020-12-08,17.5747,16.2723,-1.3024
2020-12-07,17.9003,16.8549,-1.0454
2020-12-04,18.1616,17.5581,-0.6035
2020-12-03,18.3125,17.7278,-0.5847
2020-12-02,18.4587,18.3076,-0.1511
2020-12-01,18.4965,19.3067,0.8102
2020-11-30,18.2939,19.7961,1.5022
2020-11-27,17.9184,19.4965,1.5781
2020-11-25,17.5239,18.975,1.4511
2020-11-24,17.1611,18.4682,1.3071
2020-11-23,16.8343,17.4774,0.6431
2020-11-20,16.6735,17.0561,0.3825
2020-11-19,16.5779,17.0543,0.4763
2020-11-18,16.4588,16.4577,-0.0011
2020-11-17,16.4591,17.5757,1.1166
2020-11-16,16.18,18.4202,2.2403
2020-11-13,15.6199,18.7018,3.0819
2020-11-12,14.8494,18.8013,3.9519
2020-11-11,13.8614,19.1722,5.3108
2020-11-10,12.5337,17.7895,5.2557
2020-11-09,11.2198,16.9113,5.6915
2020-11-06,9.7969,14.7615,4.9646
2020-11-05,8.5558,12.4423,3.8865
2020-11-04,7.5841,9.9436,2.3595
2020-11-03,6.9943,7.7236,0.7294
2020-11-02,6.8119,5.7919,-1.02
2020-10-30,7.0669,5.9046,-1.1623
2020-10-29,7.3575,6.9227,-0.4348
2020-10-28,7.4662,7.2734,-0.1928
2020-10-27,7.5144,8.3045,0.79
2020-10-26,7.3169,9.0843,1.7674
2020-10-23,6.8751,9.3549,2.4798
2020-10-22,6.2551,8.6866,2.4314
2020-10-21,5.6472,7.9933,2.346
2020-10-20,5.0607,7.9136,2.8528
2020-10-19,4.3475,7.3943,3.0468
2020-10-16,3.5858,6.956,3.3702
2020-10-15,2.7433,6.1497,3.4064
2020-10-14,1.8917,5.6105,3.7189
2020-10-13,0.962,5.0993,4.1374
